"Start Time","End Time","Transcript"
"00;00;21;29","00;00;22;08","Hello"
"00;00;22;08","00;00;22;22","everyone."
"00;00;22;22","00;00;23;10","Welcome"
"00;00;23;10","00;00;23;24","to"
"00;00;23;24","00;00;24;11","active"
"00;00;24;11","00;00;24;19","live"
"00;00;24;19","00;00;24;29","stream"
"00;00;24;29","00;00;25;12","number"
"00;00;25;12","00;00;27;19","47.2."
"00;00;27;19","00;00;28;06","It is"
"00;00;28;06","00;00;28;28","August"
"00;00;28;28","00;00;30;01","17th,"
"00;00;30;01","00;00;31;29","2022."
"00;00;31;29","00;00;32;06","And"
"00;00;32;06","00;00;32;13","I'll"
"00;00;32;13","00;00;32;24","just"
"00;00;32;24","00;00;33;15","quickly"
"00;00;33;15","00;00;34;05","update"
"00;00;34;05","00;00;38;11","the video."
"00;00;39;29","00;00;40;05","Now"
"00;00;40;05","00;00;40;09","it's"
"00;00;40;09","00;00;40;17","really"
"00;00;40;17","00;00;41;01","August"
"00;00;41;01","00;00;42;00","17th."
"00;00;42;02","00;00;42;16","We're"
"00;00;42;16","00;00;42;26","having"
"00;00;42;26","00;00;43;00","our"
"00;00;43;00","00;00;43;09","third"
"00;00;43;09","00;00;43;29","discussion"
"00;00;43;29","00;00;44;09","of"
"00;00;44;09","00;00;44;26","the set"
"00;00;44;26","00;00;45;02","of"
"00;00;45;02","00;00;46;02","papers"
"00;00;46;02","00;00;46;07","in"
"00;00;46;07","00;00;46;16","active,"
"00;00;46;16","00;00;47;01","dynamic"
"00;00;47;01","00;00;47;13","social"
"00;00;47;13","00;00;48;01","cognition"
"00;00;48;01","00;00;48;06","and"
"00;00;48;06","00;00;48;15","active"
"00;00;48;15","00;00;49;04","inference"
"00;00;49;04","00;00;49;28","and"
"00;00;49;28","00;00;50;10","active"
"00;00;50;10","00;00;50;26","inference"
"00;00;50;26","00;00;51;06","and"
"00;00;51;06","00;00;53;15","abduction."
"00;00;54;09","00;00;54;19","Welcome"
"00;00;54;19","00;00;55;03","to the"
"00;00;55;03","00;00;55;14","Active"
"00;00;55;14","00;00;55;25","Inference"
"00;00;55;25","00;00;56;25","Institute."
"00;00;56;26","00;00;57;02","We're"
"00;00;57;02","00;00;57;04","a"
"00;00;57;04","00;00;58;02","participatory"
"00;00;58;02","00;00;58;18","online"
"00;00;58;18","00;00;59;09","institute"
"00;00;59;09","00;00;59;21","that is"
"00;00;59;21","00;01;00;13","communicating,"
"00;01;00;13","00;01;00;28","learning"
"00;01;00;28","00;01;01;07","and"
"00;01;01;07","00;01;02;00","practicing"
"00;01;02;00","00;01;02;12","apply"
"00;01;02;12","00;01;02;15","to"
"00;01;02;15","00;01;02;25","active"
"00;01;02;25","00;01;03;14","inference."
"00;01;03;14","00;01;04;00","You can find"
"00;01;04;00","00;01;04;15","us at"
"00;01;04;15","00;01;04;25","links"
"00;01;04;25","00;01;05;16","here."
"00;01;05;28","00;01;07;03","This is a recorded"
"00;01;07;03","00;01;07;10","and an"
"00;01;07;10","00;01;07;24","archived"
"00;01;07;24","00;01;08;20","livestream,"
"00;01;08;20","00;01;08;27","so"
"00;01;08;27","00;01;09;05","please"
"00;01;09;05","00;01;09;16","provide"
"00;01;09;16","00;01;10;02","feedback"
"00;01;10;02","00;01;10;09","so"
"00;01;10;09","00;01;10;16","we can"
"00;01;10;16","00;01;10;29","improve"
"00;01;10;29","00;01;11;03","our"
"00;01;11;03","00;01;11;27","work."
"00;01;12;08","00;01;12;15","All"
"00;01;12;15","00;01;13;05","backgrounds"
"00;01;13;05","00;01;13;10","and"
"00;01;13;10","00;01;14;00","perspectives"
"00;01;14;00","00;01;14;05","are"
"00;01;14;05","00;01;14;24","welcome"
"00;01;14;24","00;01;15;07","and"
"00;01;15;07","00;01;15;11","we'll"
"00;01;15;11","00;01;15;15","be"
"00;01;15;15","00;01;16;08","following"
"00;01;16;08","00;01;16;20","video"
"00;01;16;20","00;01;17;16","etiquette"
"00;01;17;16","00;01;17;20","for"
"00;01;17;20","00;01;18;21","livestreams"
"00;01;19;12","00;01;19;24","at"
"00;01;19;24","00;01;20;06","active"
"00;01;20;06","00;01;20;17","inference"
"00;01;20;17","00;01;20;24","dot"
"00;01;20;24","00;01;21;12","org."
"00;01;21;12","00;01;21;17","You"
"00;01;21;17","00;01;21;22","can"
"00;01;21;22","00;01;22;02","find"
"00;01;22;02","00;01;22;07","out"
"00;01;22;07","00;01;22;22","more"
"00;01;22;22","00;01;23;03","about"
"00;01;23;03","00;01;24;01","participating"
"00;01;24;01","00;01;24;13","in"
"00;01;24;13","00;01;25;03","projects"
"00;01;25;03","00;01;25;12","like"
"00;01;25;12","00;01;25;15","The"
"00;01;25;15","00;01;25;22","Live"
"00;01;25;22","00;01;26;06","Stream"
"00;01;26;06","00;01;26;09","and"
"00;01;26;09","00;01;26;20","also"
"00;01;26;20","00;01;26;26","a lot"
"00;01;26;26","00;01;26;29","of"
"00;01;26;29","00;01;27;17","other"
"00;01;27;17","00;01;27;26","learning"
"00;01;27;26","00;01;28;10","groups"
"00;01;28;10","00;01;28;16","and"
"00;01;28;16","00;01;29;01","projects"
"00;01;29;01","00;01;29;18","ongoing."
"00;01;31;03","00;01;31;09","We're"
"00;01;31;09","00;01;31;15","here"
"00;01;31;15","00;01;32;02","today"
"00;01;32;02","00;01;32;15","in our"
"00;01;32;15","00;01;32;26","third"
"00;01;32;26","00;01;33;22","discussion"
"00;01;33;22","00;01;34;14","around"
"00;01;34;14","00;01;34;25","this"
"00;01;34;25","00;01;35;13","dyad"
"00;01;35;13","00;01;35;18","of"
"00;01;35;18","00;01;36;19","papers,"
"00;01;36;19","00;01;36;28","both"
"00;01;36;28","00;01;37;04","from"
"00;01;37;04","00;01;38;16","2021"
"00;01;38;16","00;01;38;27","active"
"00;01;38;27","00;01;39;10","inference"
"00;01;39;10","00;01;39;16","and"
"00;01;39;16","00;01;40;06","abduction"
"00;01;40;06","00;01;40;18","and"
"00;01;40;18","00;01;41;04","inactive"
"00;01;41;04","00;01;41;19","dynamics,"
"00;01;41;19","00;01;41;29","social"
"00;01;41;29","00;01;42;17","cognition"
"00;01;42;17","00;01;42;20","and"
"00;01;42;20","00;01;43;00","active"
"00;01;43;00","00;01;43;29","inference."
"00;01;43;29","00;01;44;11","So"
"00;01;44;11","00;01;44;28","check out"
"00;01;44;28","00;01;46;13","47.0"
"00;01;46;13","00;01;46;20","and"
"00;01;46;20","00;01;48;23","47.1"
"00;01;48;23","00;01;48;29","for"
"00;01;48;29","00;01;49;12","more"
