"Start Time","End Time","Text","Layer ID"
"00;00;00;00","00;00;00;01","a","1"
"00;00;29;19","00;00;29;23","All","1"
"00;00;29;23","00;00;30;09","right.","1"
"00;00;30;09","00;00;30;20","Welcome,","1"
"00;00;30;20","00;00;31;16","everyone.","1"
"00;00;31;16","00;00;31;28","It is","1"
"00;00;31;28","00;00;32;16","September","1"
"00;00;32;16","00;00;33;14","7th,","1"
"00;00;33;14","00;00;34;29","2022.","1"
"00;00;34;29","00;00;35;05","We're","1"
"00;00;35;05","00;00;35;13","here","1"
"00;00;35;13","00;00;35;23","in","1"
"00;00;35;23","00;00;36;10","active","1"
"00;00;36;10","00;00;36;18","live","1"
"00;00;36;18","00;00;37;03","stream","1"
"00;00;37;03","00;00;37;12","number","1"
"00;00;37;12","00;00;39;01","48.1.","1"
"00;00;39;01","00;00;39;12","In the","1"
"00;00;39;12","00;00;39;21","second","1"
"00;00;39;21","00;00;40;12","discussion","1"
"00;00;40;12","00;00;40;22","on the","1"
"00;00;40;22","00;00;41;07","paper,","1"
"00;00;41;07","00;00;42;03","communication","1"
"00;00;42;03","00;00;42;12","as","1"
"00;00;42;12","00;00;42;27","socially","1"
"00;00;42;27","00;00;43;15","extended","1"
"00;00;43;15","00;00;43;27","active","1"
"00;00;43;27","00;00;44;15","inference","1"
"00;00;44;15","00;00;44;21","an","1"
"00;00;44;21","00;00;45;11","ecological","1"
"00;00;45;11","00;00;45;24","approach","1"
"00;00;45;24","00;00;45;29","to","1"
"00;00;45;29","00;00;46;19","communicative","1"
"00;00;46;19","00;00;47;16","behavior.","1"
"00;00;48;17","00;00;48;27","Welcome","1"
"00;00;48;27","00;00;49;16","to the","1"
"00;00;49;16","00;00;49;28","Active","1"
"00;00;49;28","00;00;50;11","Inference","1"
"00;00;50;11","00;00;51;13","Institute,","1"
"00;00;51;17","00;00;52;00","where","1"
"00;00;52;09","00;00;52;22","we are","1"
"00;00;52;22","00;00;52;24","a","1"
"00;00;52;24","00;00;53;18","participatory","1"
"00;00;53;18","00;00;54;01","online","1"
"00;00;54;01","00;00;54;23","institute","1"
"00;00;54;23","00;00;55;05","that is","1"
"00;00;55;05","00;00;55;25","communicating,","1"
"00;00;55;25","00;00;56;07","learning","1"
"00;00;56;07","00;00;56;11","and","1"
"00;00;56;11","00;00;57;10","practicing","1"
"00;00;57;10","00;00;57;22","applied","1"
"00;00;57;22","00;00;58;01","active","1"
"00;00;58;01","00;00;59;02","inference.","1"
"00;00;59;04","00;00;59;12","This","1"
"00;00;59;12","00;00;59;16","is","1"
