docLabel	start	end	count	rank	text
cFPIP-05W	2426430	2575536	4	0.07	classical information processing
cFPIP-05W	964130	2724680	11	0.07	classical information
cFPIP-05W	2486730	2576272	2	0.07	classical information processing capabilities
cFPIP-05W	2483550	2550940	3	0.07	quantum information processing
cFPIP-05W	2788630	3068810	2	0.06	quantum information theory
cFPIP-05W	4770586	4771872	1	0.06	information goal
cFPIP-05W	2483550	2486170	1	0.06	quantum information processing capabilities
cFPIP-05W	2483550	3454582	7	0.06	quantum information
cFPIP-05W	1272262	1273580	1	0.06	classical information sharing
cFPIP-05W	13272	3049570	17	0.06	information processing
cFPIP-05W	2521606	2523920	1	0.06	reversible information processing
cFPIP-05W	13272	15214	1	0.05	information processing discussion
cFPIP-05W	3426074	3427118	1	0.05	imperfect information
cFPIP-05W	3355130	3385706	2	0.05	information carrying
cFPIP-05W	3423590	3424700	1	0.05	perfect information
