"Start Time","End Time","Transcript"
"00;00;07;14","00;00;07;23","Hello,"
"00;00;07;23","00;00;08;11","everybody."
"00;00;08;11","00;00;08;26","Welcome"
"00;00;08;26","00;00;09;07","to"
"00;00;09;07","00;00;09;12","the"
"00;00;09;12","00;00;09;21","Active"
"00;00;09;21","00;00;10;03","Inference"
"00;00;10;03","00;00;10;24","Lab."
"00;00;10;24","00;00;11;09","This is"
"00;00;11;09","00;00;11;17","live"
"00;00;11;17","00;00;11;27","stream"
"00;00;11;27","00;00;12;05","number"
"00;00;12;05","00;00;13;15","29.0"
"00;00;13;15","00;00;14;21","on"
"00;00;14;21","00;00;15;29","September 14th."
"00;00;15;29","00;00;16;08","Is it"
"00;00;16;08","00;00;17;16","September 14th?"
"00;00;17;16","00;00;17;24","Not"
"00;00;17;24","00;00;17;27","any"
"00;00;17;27","00;00;18;21","more."
"00;00;19;03","00;00;19;17","September"
"00;00;19;17","00;00;20;17","17."
"00;00;20;17","00;00;21;25","17"
"00;00;22;21","00;00;22;26","at"
"00;00;22;26","00;00;23;02","least"
"00;00;23;02","00;00;23;06","where"
"00;00;23;06","00;00;23;12","we're"
"00;00;23;12","00;00;24;19","at on"
"00;00;24;19","00;00;25;21","September 17th."
"00;00;25;21","00;00;26;06","20,"
"00;00;26;06","00;00;27;01","21."
"00;00;28;01","00;00;28;11","Welcome"
"00;00;28;11","00;00;28;29","to the"
"00;00;28;29","00;00;29;07","Active"
"00;00;29;07","00;00;29;17","Inference"
"00;00;29;17","00;00;30;05","Lab."
"00;00;30;14","00;00;30;24","We are"
"00;00;30;24","00;00;30;26","a"
"00;00;30;26","00;00;31;25","participatory"
"00;00;31;25","00;00;32;10","online"
"00;00;32;10","00;00;32;27","lab"
"00;00;32;27","00;00;33;09","that is"
"00;00;33;09","00;00;34;08","communicating,"
"00;00;34;08","00;00;35;02","learning"
"00;00;35;02","00;00;35;09","and"
"00;00;35;09","00;00;35;26","practicing"
"00;00;35;26","00;00;36;07","applied"
"00;00;36;07","00;00;36;14","active"
"00;00;36;14","00;00;37;03","inference."
"00;00;37;03","00;00;37;06","You"
"00;00;37;06","00;00;37;11","can"
"00;00;37;11","00;00;37;23","find us"
"00;00;37;23","00;00;38;00","at the"
"00;00;38;00","00;00;38;12","links"
"00;00;38;12","00;00;38;19","here"
"00;00;38;19","00;00;38;28","on this"
"00;00;38;28","00;00;39;19","slide."
"00;00;40;04","00;00;41;02","This is a recorded"
"00;00;41;02","00;00;41;07","and"
"00;00;41;07","00;00;41;26","an archived"
"00;00;41;26","00;00;42;02","live"
"00;00;42;02","00;00;42;13","stream."
"00;00;42;13","00;00;42;18","So"
"00;00;42;18","00;00;42;29","please"
"00;00;42;29","00;00;43;09","provide"
"00;00;43;09","00;00;43;12","us"
"00;00;43;12","00;00;44;04","with feedback"
"00;00;44;04","00;00;44;10","so"
"00;00;44;10","00;00;44;14","that"
"00;00;44;14","00;00;44;21","we can"
"00;00;44;21","00;00;45;01","improve"
"00;00;45;01","00;00;45;28","our work"
"00;00;46;10","00;00;46;15","all"
"00;00;46;15","00;00;47;06","backgrounds"
"00;00;47;06","00;00;47;12","and"
"00;00;47;12","00;00;47;29","perspectives"
"00;00;47;29","00;00;48;04","are"
"00;00;48;04","00;00;48;25","welcome"
"00;00;48;25","00;00;49;07","and"
"00;00;49;07","00;00;49;11","we'll"
"00;00;49;11","00;00;49;14","be"
"00;00;49;14","00;00;50;07","following"
"00;00;50;07","00;00;50;15","good"
"00;00;50;15","00;00;50;24","video"
"00;00;50;24","00;00;51;09","etiquette"
"00;00;51;09","00;00;51;14","for"
"00;00;51;14","00;00;52;18","livestreams."
"00;00;53;15","00;00;53;20","At"
"00;00;53;20","00;00;54;00","the short"
"00;00;54;00","00;00;54;08","link"
"00;00;54;08","00;00;54;13","on"
"00;00;54;13","00;00;54;29","this slide,"
"00;00;54;29","00;00;55;22","you can see"
"00;00;55;22","00;00;56;20","the past,"
"00;00;56;20","00;00;57;04","present"
"00;00;57;04","00;00;57;07","and"
"00;00;57;07","00;00;57;25","future"
"00;00;57;25","00;00;58;05","live"
"00;00;58;05","00;00;59;05","streams."
"00;00;59;06","00;00;59;16","And"
"00;00;59;16","00;00;59;22","just"
"00;00;59;22","00;01;00;02","to"
"00;01;00;02","00;01;00;12","call"
"00;01;00;12","00;01;00;17","your"
"00;01;00;17","00;01;01;02","attention"
"00;01;01;02","00;01;01;10","to"
"00;01;01;10","00;01;02;00","the tabs"
"00;01;02;00","00;01;02;05","on"
"00;01;02;05","00;01;03;04","the bottom,"
"00;01;03;04","00;01;03;17","the first"
"00;01;03;17","00;01;04;03","tab"
"00;01;04;03","00;01;04;18","are"
"00;01;04;18","00;01;04;25","our"
"00;01;04;25","00;01;05;11","regular"
"00;01;05;11","00;01;06;01","Tuesday"
"00;01;06;01","00;01;06;10","live"
"00;01;06;10","00;01;06;29","streams."
"00;01;06;29","00;01;07;12","So for"
"00;01;07;12","00;01;07;26","these ones"
"00;01;07;26","00;01;08;09","we do"
"00;01;08;09","00;01;09;18","the dot"
"00;01;09;18","00;01;09;27","zero"
"00;01;09;27","00;01;10;22","contextualizing"
"00;01;10;22","00;01;11;06","video."
"00;01;11;06","00;01;11;15","That's"
"00;01;11;15","00;01;11;23","what"
"00;01;11;23","00;01;11;28","you're"
"00;01;11;28","00;01;12;08","watching"
"00;01;12;08","00;01;13;01","now."
"00;01;13;03","00;01;13;09","And"
"00;01;13;09","00;01;13;14","then"
"00;01;13;14","00;01;13;22","we have"
"00;01;13;22","00;01;14;01","a dot"
"00;01;14;01","00;01;14;12","one"
"00;01;14;12","00;01;14;17","and"
"00;01;14;17","00;01;14;26","a dot"
"00;01;14;26","00;01;15;09","to"
"00;01;15;09","00;01;15;22","wear"
"00;01;15;22","00;01;16;06","on two"
"00;01;16;06","00;01;16;22","successive"
"00;01;16;22","00;01;17;13","weeks."
"00;01;17;13","00;01;18;01","We try"
"00;01;18;01","00;01;18;07","to have"
"00;01;18;07","00;01;18;10","the"
"00;01;18;10","00;01;18;28","authors"
"00;01;18;28","00;01;19;03","try"
"00;01;19;03","00;01;19;05","to"
"00;01;19;05","00;01;19;09","have"
"00;01;19;09","00;01;19;16","a lot"
"00;01;19;16","00;01;19;18","of"
"00;01;19;18","00;01;20;00","different"
"00;01;20;00","00;01;20;17","people"
"00;01;20;17","00;01;20;24","on"
"00;01;20;24","00;01;21;08","a panel"
"00;01;21;08","00;01;21;16","just"
"00;01;21;16","00;01;21;27","talking"
"00;01;21;27","00;01;22;04","about"
"00;01;22;04","00;01;23;07","the paper."
"00;01;23;12","00;01;23;23","The guest"
"00;01;23;23","00;01;24;05","stream"
"00;01;24;05","00;01;24;10","is"
"00;01;24;10","00;01;24;16","sort"
"00;01;24;16","00;01;24;20","of"
"00;01;24;20","00;01;25;06","a wild"
"00;01;25;06","00;01;25;25","card"
"00;01;25;25","00;01;26;06","slash"
"00;01;26;06","00;01;26;15","anything"
"00;01;26;15","00;01;26;29","goes."
"00;01;26;29","00;01;27;06","We have"
"00;01;27;06","00;01;27;12","a lot"
"00;01;27;12","00;01;27;14","of"
"00;01;27;14","00;01;27;22","different"
"00;01;27;22","00;01;29;02","topics."
"00;01;29;10","00;01;29;21","Model"
"00;01;29;21","00;01;30;15","streams"
"00;01;30;15","00;01;31;02","reflect"
"00;01;31;02","00;01;31;11","machine"
"00;01;31;11","00;01;32;03","learning,"
"00;01;32;03","00;01;32;13","different"
"00;01;32;13","00;01;32;21","kinds"
"00;01;32;21","00;01;32;26","of"
"00;01;32;26","00;01;33;15","modeling"
"00;01;33;15","00;01;33;26","and"
"00;01;33;26","00;01;34;12","walkthroughs"
"00;01;34;12","00;01;34;15","of"
"00;01;34;15","00;01;34;28","code"
"00;01;34;28","00;01;35;04","and"
"00;01;35;04","00;01;35;13","the math"
"00;01;35;13","00;01;36;06","stream"
"00;01;36;06","00;01;36;19","is for"
"00;01;36;19","00;01;36;27","talking"
"00;01;36;27","00;01;37;04","about"
"00;01;37;04","00;01;37;15","math"
"00;01;37;15","00;01;37;19","and"
"00;01;37;19","00;01;38;00","different"
"00;01;38;00","00;01;38;09","formal"
"00;01;38;09","00;01;39;02","frameworks."
"00;01;39;02","00;01;39;17","So"
"00;01;39;17","00;01;39;26","if you"
"00;01;39;26","00;01;40;06","are"
"00;01;40;06","00;01;40;23","interested"
"00;01;40;23","00;01;41;08","in co"
"00;01;41;08","00;01;41;27","organizing"
"00;01;41;27","00;01;42;05","or"
