"Start Time","End Time","Transcript"
"00;00;01;26","00;00;02;13","No"
"00;00;07;01","00;00;07;05","All"
"00;00;07;05","00;00;07;20","right."
"00;00;07;25","00;00;08;09","Hello,"
"00;00;08;09","00;00;08;27","everyone,"
"00;00;08;27","00;00;09;07","and"
"00;00;09;07","00;00;09;20","welcome"
"00;00;09;20","00;00;10;05","to"
"00;00;10;05","00;00;10;19","Active"
"00;00;10;19","00;00;11;09","Flab"
"00;00;11;09","00;00;11;18","Live"
"00;00;11;18","00;00;11;26","stream"
"00;00;11;26","00;00;12;05","number"
"00;00;12;05","00;00;13;21","24.2."
"00;00;13;21","00;00;14;07","Today"
"00;00;14;07","00;00;14;20","is"
"00;00;14;20","00;00;16;28","June 29th 2021."
"00;00;16;28","00;00;18;06","And"
"00;00;18;08","00;00;18;12","we're"
"00;00;18;12","00;00;18;19","looking"
"00;00;18;19","00;00;18;29","forward"
"00;00;18;29","00;00;19;03","to"
"00;00;19;03","00;00;19;18","this"
"00;00;19;18","00;00;20;02","follow"
"00;00;20;02","00;00;20;23","up or"
"00;00;20;23","00;00;21;02","jump"
"00;00;21;02","00;00;21;12","off"
"00;00;21;12","00;00;22;13","discussion"
"00;00;22;13","00;00;22;25","with"
"00;00;22;25","00;00;23;02","some of"
"00;00;23;02","00;00;23;04","the"
"00;00;23;04","00;00;23;21","authors"
"00;00;23;21","00;00;23;24","as"
"00;00;23;24","00;00;24;00","well"
"00;00;24;00","00;00;24;15","as"
"00;00;24;15","00;00;24;25","other"
"00;00;24;25","00;00;25;03","lab"
"00;00;25;03","00;00;25;24","participants."
"00;00;25;24","00;00;26;00","On"
"00;00;26;00","00;00;26;08","this"
"00;00;26;08","00;00;26;19","awesome"
"00;00;26;19","00;00;27;03","paper."
"00;00;27;03","00;00;27;09","An"
"00;00;27;09","00;00;28;00","Empirical"
"00;00;28;00","00;00;28;22","Evaluation"
"00;00;28;22","00;00;28;25","of"
"00;00;28;25","00;00;29;05","Active"
"00;00;29;05","00;00;30;00","Inference"
"00;00;30;00","00;00;30;06","in"
"00;00;30;06","00;00;30;18","Multi"
"00;00;30;18","00;00;30;27","Arm"
"00;00;30;27","00;00;32;00","Bandits."
"00;00;32;27","00;00;33;09","Welcome"
"00;00;33;09","00;00;33;24","to the"
"00;00;33;24","00;00;34;03","Active"
"00;00;34;03","00;00;34;14","Inference"
"00;00;34;14","00;00;35;04","Lab."
"00;00;35;12","00;00;35;26","We are"
"00;00;35;26","00;00;35;28","a"
"00;00;35;28","00;00;36;29","participatory"
"00;00;36;29","00;00;37;13","online"
"00;00;37;13","00;00;37;22","lab"
"00;00;37;22","00;00;38;01","that is"
"00;00;38;01","00;00;38;24","communicating,"
"00;00;38;24","00;00;39;07","learning"
"00;00;39;07","00;00;39;11","and"
"00;00;39;11","00;00;40;04","practicing"
"00;00;40;04","00;00;40;15","applied"
"00;00;40;15","00;00;40;22","active"
"00;00;40;22","00;00;41;23","inference."
"00;00;41;23","00;00;41;28","You"
"00;00;41;28","00;00;42;03","can"
"00;00;42;03","00;00;42;11","find"
"00;00;42;11","00;00;42;17","out"
"00;00;42;17","00;00;42;28","more"
"00;00;42;28","00;00;43;13","about us"
"00;00;43;13","00;00;43;20","at the"
"00;00;43;20","00;00;44;02","links"
"00;00;44;02","00;00;44;15","on this"
"00;00;44;15","00;00;45;10","slide."
"00;00;45;21","00;00;46;02","This is a"
"00;00;46;02","00;00;46;18","recorded"
"00;00;46;18","00;00;46;25","in an"
"00;00;46;25","00;00;47;10","archived"
"00;00;47;10","00;00;47;16","live"
"00;00;47;16","00;00;48;04","stream,"
"00;00;48;10","00;00;48;17","so"
"00;00;48;17","00;00;48;26","please"
"00;00;48;26","00;00;49;05","provide"
"00;00;49;05","00;00;49;08","us"
"00;00;49;08","00;00;50;02","with feedback"
"00;00;50;02","00;00;50;08","so"
"00;00;50;08","00;00;50;11","that"
"00;00;50;11","00;00;50;24","we can"
"00;00;50;24","00;00;51;02","be"
"00;00;51;02","00;00;51;18","improving"
"00;00;51;18","00;00;51;24","on"
"00;00;51;24","00;00;52;21","our work"
"00;00;53;01","00;00;53;27","all backgrounds"
"00;00;53;27","00;00;54;05","and"
"00;00;54;05","00;00;54;29","perspectives"
"00;00;54;29","00;00;55;08","are"
"00;00;55;08","00;00;55;20","welcome"
"00;00;55;20","00;00;56;04","here"
"00;00;56;04","00;00;56;14","and"
"00;00;56;14","00;00;56;18","we'll"
"00;00;56;18","00;00;57;00","be"
"00;00;57;00","00;00;57;23","following"
"00;00;57;23","00;00;58;01","good"
"00;00;58;01","00;00;58;08","video"
"00;00;58;08","00;00;58;20","etiquette"
"00;00;58;20","00;00;58;25","for"
"00;00;58;25","00;00;59;00","live"
"00;00;59;00","00;00;59;14","streams."
"00;00;59;14","00;00;59;21","It's"
"00;00;59;21","00;00;59;29","great"
"00;00;59;29","00;01;00;05","that"
"00;01;00;05","00;01;00;18","there's"
"00;01;00;18","00;01;00;25","so"
"00;01;00;25","00;01;01;04","many"
"00;01;01;04","00;01;01;22","on the call"
"00;01;01;22","00;01;01;26","and"
"00;01;01;26","00;01;01;29","I'm"
"00;01;01;29","00;01;02;06","sure"
"00;01;02;06","00;01;02;11","we'll"
"00;01;02;11","00;01;02;21","have"
"00;01;02;21","00;01;03;10","many"
"00;01;03;10","00;01;03;27","questions"
"00;01;03;27","00;01;04;01","and"
"00;01;04;01","00;01;04;22","opportunities"
"00;01;04;22","00;01;05;02","to"
"00;01;05;02","00;01;05;10","raise"
"00;01;05;10","00;01;05;21","our hand"
"00;01;05;21","00;01;05;25","as"
"00;01;05;25","00;01;06;01","well"
"00;01;06;01","00;01;07;01","as for"
"00;01;07;01","00;01;07;09","those"
"00;01;07;09","00;01;07;14","in the"
"00;01;07;14","00;01;07;20","live"
"00;01;07;20","00;01;07;29","chat"
"00;01;07;29","00;01;08;16","to ask"
"00;01;08;16","00;01;09;10","questions"
"00;01;09;10","00;01;09;21","whenever"
"00;01;09;21","00;01;10;10","they"
"00;01;10;10","00;01;10;16","feel"
"00;01;10;16","00;01;10;22","like"
"00;01;10;22","00;01;10;25","it."
"00;01;12;08","00;01;12;13","We're"
"00;01;12;13","00;01;12;26","closing"
"00;01;12;26","00;01;13;01","out"
"00;01;13;01","00;01;13;25","June"
"00;01;13;25","00;01;14;04","with"
"00;01;14;04","00;01;14;13","this"
"00;01;14;13","00;01;15;05","dot to"
"00;01;15;05","00;01;16;05","discussion"
"00;01;16;05","00;01;16;14","on"
"00;01;16;14","00;01;16;22","paper"
"00;01;16;22","00;01;16;29","number"
"00;01;16;29","00;01;18;05","24."
"00;01;18;06","00;01;18;20","So"
"00;01;18;20","00;01;19;11","last week"
"00;01;19;11","00;01;20;19","we also spoke"
"00;01;20;19","00;01;20;22","with"
"00;01;20;22","00;01;21;05","Sara"
"00;01;21;05","00;01;21;14","and"
"00;01;21;14","00;01;22;02","Dmitri"
"00;01;22;02","00;01;22;05","and"
"00;01;22;05","00;01;22;17","others."
"00;01;22;17","00;01;22;21","That"
"00;01;22;21","00;01;22;26","was"
"00;01;22;26","00;01;23;10","very"
"00;01;23;10","00;01;23;29","informative"
"00;01;23;29","00;01;24;12","and"
"00;01;24;12","00;01;24;21","now"
"00;01;24;21","00;01;24;24","we're"
"00;01;24;24","00;01;24;27","in"
"00;01;24;27","00;01;25;06","the dot"
"00;01;25;06","00;01;25;17","to"
"00;01;25;17","00;01;25;21","we're"
"00;01;25;21","00;01;25;28","able"
"00;01;25;28","00;01;26;06","to"
"00;01;26;06","00;01;26;13","take"
"00;01;26;13","00;01;26;18","it to"
"00;01;26;18","00;01;26;25","a few"
"00;01;26;25","00;01;27;04","different"
"00;01;27;04","00;01;27;25","places"
"00;01;27;25","00;01;28;03","and"
"00;01;28;03","00;01;28;13","raise"
"00;01;28;13","00;01;28;18","up"
"00;01;28;18","00;01;29;13","a few questions"
"00;01;29;13","00;01;29;16","that"
"00;01;29;16","00;01;29;22","were"
"00;01;29;22","00;01;30;07","asked"
"00;01;30;07","00;01;30;15","over"
"00;01;30;15","00;01;32;15","the last week."
"00;01;32;15","00;01;32;23","And"
"00;01;32;23","00;01;33;06","the goal"
"00;01;33;06","00;01;33;11","is"
"00;01;33;11","00;01;33;19","really"
"00;01;33;19","00;01;33;27","just"
"00;01;33;27","00;01;34;07","to"
"00;01;34;07","00;01;34;25","learn"
"00;01;34;25","00;01;35;07","and"
"00;01;35;07","00;01;35;26","discuss"
"00;01;35;26","00;01;36;03","this"
"00;01;36;03","00;01;36;26","paper"
"00;01;36;26","00;01;37;08","and"
"00;01;37;08","00;01;37;23","related"
"00;01;37;23","00;01;38;10","topics."
"00;01;38;10","00;01;38;17","We have"
"00;01;38;17","00;01;39;00","a few"
"00;01;39;00","00;01;39;10","cool"
"00;01;39;10","00;01;39;22","related"
"00;01;39;22","00;01;40;06","areas"
"00;01;40;06","00;01;40;09","that"
"00;01;40;09","00;01;40;12","we're"
"00;01;40;12","00;01;40;18","going"
"00;01;40;18","00;01;41;05","to be"
"00;01;41;05","00;01;41;16","going"
"00;01;41;16","00;01;42;08","into."
"00;01;43;00","00;01;43;06","So"
"00;01;43;06","00;01;43;13","we can"
"00;01;43;13","00;01;43;23","just"
"00;01;43;23","00;01;44;11","begin"
"00;01;44;11","00;01;45;11","with a"
"00;01;45;11","00;01;46;00","introduction"
"00;01;46;00","00;01;46;25","round."
"00;01;47;16","00;01;47;23","Each"
"00;01;47;23","00;01;48;02","person"
"00;01;48;02","00;01;48;13","can"
"00;01;48;13","00;01;48;27","say"
"00;01;48;27","00;01;49;09","hello"
"00;01;49;09","00;01;49;19","or"
"00;01;49;19","00;01;49;29","check"
"00;01;49;29","00;01;50;11","in,"
"00;01;50;11","00;01;50;18","say"
"00;01;50;18","00;01;50;28","anything"
"00;01;50;28","00;01;51;03","that"
"00;01;51;03","00;01;51;13","they're"
"00;01;51;13","00;01;51;23","thinking"
"00;01;51;23","00;01;52;03","about"
"00;01;52;03","00;01;52;29","today,"
"00;01;52;29","00;01;53;06","and"
"00;01;53;06","00;01;53;13","then"
"00;01;53;13","00;01;53;23","pass it"
"00;01;53;23","00;01;53;25","to"
"00;01;53;25","00;01;54;04","somebody"
"00;01;54;04","00;01;54;09","who"
"00;01;54;09","00;01;54;22","hasn't"
"00;01;54;22","00;01;55;03","spoken"
"00;01;55;03","00;01;55;14","yet."
"00;01;55;23","00;01;56;20","So I'm"
"00;01;56;20","00;01;57;04","Daniel."
"00;01;57;04","00;01;57;17","I'm a"
"00;01;57;17","00;01;58;07","postdoc"
"00;01;58;07","00;01;58;14","in"
"00;01;58;14","00;01;59;13","California"
"00;01;59;13","00;01;59;22","and"
"00;01;59;22","00;02;00;05","all"
"00;02;00;05","00;02;00;14","pass"
"00;02;00;14","00;02;00;18","it"
"00;02;00;18","00;02;00;27","first"
"00;02;00;27","00;02;01;01","to"
"00;02;01;01","00;02;01;10","Blue"
"00;02;05;00","00;02;05;10","Hi,"
"00;02;05;10","00;02;05;18","I'm"
"00;02;05;18","00;02;06;03","Blue."
"00;02;06;03","00;02;06;17","I"
"00;02;06;17","00;02;07;04","am an"
"00;02;07;04","00;02;07;21","independent"
"00;02;07;21","00;02;08;04","research"
"00;02;08;04","00;02;08;22","consultant"
"00;02;08;22","00;02;09;04","based"
"00;02;09;04","00;02;09;20","out of"
"00;02;09;20","00;02;09;24","New"
"00;02;09;24","00;02;10;22","Mexico,"
"00;02;10;22","00;02;11;05","and"
"00;02;11;05","00;02;11;26","I will"
"00;02;11;26","00;02;12;09","pass it"
"00;02;12;09","00;02;12;16","to"
"00;02;12;16","00;02;13;11","Ryan"
"00;02;14;27","00;02;15;03","Hi."
"00;02;15;03","00;02;15;14","I'm"
"00;02;15;16","00;02;15;24","Ryan"
"00;02;15;24","00;02;16;08","Smith."
"00;02;16;08","00;02;16;15","I'm"
"00;02;16;15","00;02;16;16","an"
"00;02;16;16","00;02;17;13","investigator"
"00;02;17;13","00;02;18;00","at the"
"00;02;18;00","00;02;18;10","Lauren"
"00;02;18;10","00;02;18;22","Institute"
"00;02;18;22","00;02;19;04","for"
"00;02;19;04","00;02;19;11","Brain"
"00;02;19;11","00;02;20;04","Research."
"00;02;21;06","00;02;23;24","And so"
"00;02;24;00","00;02;24;07","hi,"
"00;02;24;07","00;02;24;11","I'm"
"00;02;24;11","00;02;24;24","Sarah,"
"00;02;24;24","00;02;24;27","and"
"00;02;24;27","00;02;25;03","I'm"
"00;02;25;03","00;02;25;24","a person"
"00;02;25;24","00;02;26;03","at the"
"00;02;26;03","00;02;26;17","Technical"
"00;02;26;17","00;02;27;16","University"
"00;02;27;16","00;02;27;23","in"
"00;02;27;23","00;02;28;06","Arizona."
"00;02;28;06","00;02;28;11","And"
"00;02;28;11","00;02;28;15","I'm"
"00;02;28;15","00;02;28;27","looking"
"00;02;28;27","00;02;29;08","forward"
"00;02;29;08","00;02;29;19","to the"
"00;02;29;19","00;02;30;08","discussions"
"00;02;30;08","00;02;31;01","today."
"00;02;31;01","00;02;31;27","And I"
"00;02;31;27","00;02;32;07","want"
"00;02;32;07","00;02;33;04","to do"
"00;02;34;28","00;02;35;17","IRA."
"00;02;35;17","00;02;35;27","I'm"
"00;02;35;27","00;02;36;09","Dimitri"
"00;02;36;09","00;02;36;26","Markowitz,"
"00;02;36;26","00;02;37;10","postdoc"
"00;02;37;10","00;02;37;23","at"
"00;02;37;26","00;02;38;09","Technical"
"00;02;38;09","00;02;39;04","University"
"00;02;39;04","00;02;39;08","and"
"00;02;39;08","00;02;40;02","also"
"00;02;40;02","00;02;40;09","chair"
"00;02;40;09","00;02;40;12","of"
"00;02;40;12","00;02;41;23","neuroimaging."
"00;02;42;01","00;02;42;11","And"
"00;02;42;11","00;02;43;02","I best"
"00;02;43;02","00;02;43;16","to"
"00;02;43;16","00;02;44;10","they've"
"00;02;45;21","00;02;46;13","can be"
"00;02;46;13","00;02;46;27","topic"
"00;02;46;27","00;02;47;19","selection"
"00;02;47;19","00;02;48;09","no"
