"Start Time","End Time","Transcript"
"00;00;08;13","00;00;08;27","Hello,"
"00;00;08;27","00;00;09;15","everyone."
"00;00;09;15","00;00;09;29","Welcome"
"00;00;09;29","00;00;10;10","to"
"00;00;10;10","00;00;10;26","Active"
"00;00;10;26","00;00;11;19","Lab."
"00;00;11;21","00;00;12;08","Livestream"
"00;00;12;08","00;00;12;15","number"
"00;00;12;15","00;00;14;10","24.0."
"00;00;14;10","00;00;14;21","Today"
"00;00;14;21","00;00;14;26","is"
"00;00;14;26","00;00;16;10","June 16th."
"00;00;16;10","00;00;17;26","2021."
"00;00;17;26","00;00;18;09","And"
"00;00;18;09","00;00;18;13","we're"
"00;00;18;13","00;00;18;21","going"
"00;00;18;21","00;00;18;26","to be"
"00;00;18;26","00;00;19;10","talking"
"00;00;19;10","00;00;19;19","about"
"00;00;19;19","00;00;19;26","this"
"00;00;19;26","00;00;20;23","paper"
"00;00;20;27","00;00;21;03","in"
"00;00;21;03","00;00;21;20","empirical"
"00;00;21;20","00;00;22;15","evaluation"
"00;00;22;15","00;00;22;26","of"
"00;00;22;26","00;00;23;06","active"
"00;00;23;06","00;00;24;05","inference"
"00;00;24;05","00;00;24;15","in"
"00;00;24;15","00;00;24;25","multi"
"00;00;24;25","00;00;25;01","arm"
"00;00;25;01","00;00;25;08","band."
"00;00;25;08","00;00;25;23","It's"
"00;00;26;00","00;00;26;06","I'm"
"00;00;26;06","00;00;26;22","Daniel"
"00;00;26;22","00;00;27;01","and"
"00;00;27;01","00;00;27;04","I'm"
"00;00;27;04","00;00;27;10","here"
"00;00;27;10","00;00;27;19","with"
"00;00;27;19","00;00;28;08","Blue."
"00;00;28;29","00;00;29;15","Hi."
"00;00;30;10","00;00;31;07","Awesome."
"00;00;31;14","00;00;31;24","Welcome"
"00;00;31;24","00;00;32;03","to the"
"00;00;32;03","00;00;32;14","Active"
"00;00;32;14","00;00;32;26","Inference"
"00;00;32;26","00;00;33;05","Lab,"
"00;00;33;05","00;00;33;28","everyone."
"00;00;34;05","00;00;34;20","We are"
"00;00;34;20","00;00;34;22","a"
"00;00;34;22","00;00;35;21","participatory"
"00;00;35;21","00;00;36;08","online"
"00;00;36;08","00;00;36;25","lab"
"00;00;36;25","00;00;37;11","that is"
"00;00;37;11","00;00;38;04","communicating,"
"00;00;38;04","00;00;38;20","learning"
"00;00;38;20","00;00;38;26","and"
"00;00;38;26","00;00;39;15","practicing"
