docLabel	start	end	count	rank	text
gs055-1	789442	790750	1	0.07	different activity patterns
gs055-1	1046150	1046806	1	0.07	different patterns
gs055-1	4113256	4114500	1	0.07	different brain states
gs055-1	2048848	2049494	1	0.06	different maps
gs055-1	4618120	4619462	1	0.06	different task data
gs055-1	429148	5056072	6	0.06	different ways
gs055-1	1749296	1749878	1	0.06	different areas
gs055-1	744304	744966	1	0.06	different systems
gs055-1	353108	2530370	3	0.06	different scales
gs055-1	2101316	2101898	1	0.06	different sets
gs055-1	812170	813354	1	0.06	different frequencies
gs055-1	2946246	2947222	1	0.06	different populations
gs055-1	368376	369870	1	0.06	different cellular properties
gs055-1	4218072	4256586	2	0.06	different types
gs055-1	2344352	3500954	4	0.06	other anatomical modes
