start	end	relevance	label
8140	44804	0.013345964252948761	Technology&Computing>Computing>Internet>InternetOfThings
8140	44804	0.006563481409102678	Technology&Computing>Computing>InformationAndNetworkSecurity
8140	44804	0.006210897117853165	Technology&Computing>ArtificialIntelligence
8140	44804	0.004760476760566235	Technology&Computing>Computing>ComputerSoftwareAndApplications>AntivirusSoftware
8140	44804	0.002959026489406824	Hobbies&Interests>Beekeeping
8140	44804	0.0015720371156930923	Automotive>AutoTechnology>AutoNavigationSystems
8140	44804	0.0013572991592809558	Home&Garden>SmartHome
8140	44804	0.001316588488407433	Technology&Computing>Robotics
8140	44804	0.0009911871748045087	Hobbies&Interests>RadioControl
8140	44804	0.0009507979266345501	BusinessAndFinance>Business>Sales
44862	80748	0.11182469129562378	Technology&Computing>Computing>ComputerSoftwareAndApplications>DigitalAudio
44862	80748	0.03642701730132103	Technology&Computing>Computing>ComputerSoftwareAndApplications>VideoSoftware
44862	80748	0.02401195839047432	Hobbies&Interests>ContentProduction>AudioProduction
44862	80748	0.00592664023861289	Technology&Computing>Computing>ComputerSoftwareAndApplications>WebConferencing
44862	80748	0.0029472161550074816	Technology&Computing>Computing>ProgrammingLanguages
44862	80748	0.0020255232229828835	Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases
44862	80748	0.0017996038077399135	PersonalFinance>HomeUtilities>PhoneServices
44862	80748	0.0012223951052874327	Hobbies&Interests>ContentProduction>VideoProduction
44862	80748	0.001067890552803874	Technology&Computing>Computing>Internet>Email
44862	80748	0.0009408560581505299	Education>EducationalAssessment
80784	107144	0.039091482758522034	Hobbies&Interests>ContentProduction
80784	107144	0.027388375252485275	Technology&Computing>Computing>Internet>SocialNetworking
80784	107144	0.027110030874609947	BusinessAndFinance>Business>MarketingAndAdvertising
80784	107144	0.0066616954281926155	NewsAndPolitics>Politics>PoliticalIssues
80784	107144	0.004100005142390728	Shopping>SalesAndPromotions
80784	107144	0.003766440786421299	BusinessAndFinance>Business>Sales
80784	107144	0.003168848343193531	EventsAndAttractions>PoliticalEvent
80784	107144	0.0022984202951192856	BusinessAndFinance>Industries>MediaIndustry
80784	107144	0.0020146623719483614	BusinessAndFinance>Industries>Non-ProfitOrganizations
80784	107144	0.0012979548191651702	Education>OnlineEducation
107192	134648	0.9885212182998657	Technology&Computing>ArtificialIntelligence
107192	134648	0.035211462527513504	Technology&Computing>Robotics
107192	134648	0.011604968458414078	Automotive>AutoType>DriverlessCars
107192	134648	0.00632468331605196	Pets>VeterinaryMedicine
107192	134648	0.0038849469274282455	Pets>Dogs
107192	134648	0.0032416130416095257	Technology&Computing>Computing
107192	134648	0.0029604139272123575	Pets
107192	134648	0.002457022899761796	Technology&Computing
107192	134648	0.001809728448279202	VideoGaming>VideoGameGenres>SimulationVideoGames
107192	134648	0.0016648893943056464	Pets>PetAdoptions
134734	161852	0.07818234711885452	Technology&Computing>ArtificialIntelligence
134734	161852	0.021226491779088974	Technology&Computing>Computing>Internet>InternetOfThings
134734	161852	0.004414885304868221	Technology&Computing>Robotics
134734	161852	0.0031173548195511103	Technology&Computing>Computing>Internet>SocialNetworking
134734	161852	0.0016317780828103423	Hobbies&Interests>ParanormalPhenomena
134734	161852	0.001531684072688222	Science
134734	161852	0.0014838750939816236	Automotive>AutoTechnology>AutoNavigationSystems
134734	161852	0.001430992386303842	Home&Garden>SmartHome
134734	161852	0.0014174389652907848	Religion&Spirituality>Astrology
134734	161852	0.0013097671326249838	Technology&Computing>Computing>Internet>CloudComputing
161996	184760	0.005967480596154928	Technology&Computing>Computing>DataStorageAndWarehousing
161996	184760	0.0028122344519943	Science
161996	184760	0.0012582323979586363	PersonalFinance>PersonalInvesting
161996	184760	0.0010444412473589182	Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases
161996	184760	0.0005713333957828581	Technology&Computing>Computing>Internet>Search
161996	184760	0.0005522888386622071	Science>SpaceAndAstronomy
161996	184760	0.0004350881208665669	BusinessAndFinance>Business>MarketingAndAdvertising
161996	184760	0.0003666510747279972	Science>Physics
161996	184760	0.000299377046758309	PersonalFinance>PersonalInvesting>Options
161996	184760	0.00026404898380860686	Hobbies&Interests>ParanormalPhenomena
186220	214050	0.9989079236984253	Technology&Computing>ArtificialIntelligence
186220	214050	0.046359527856111526	Technology&Computing>Computing
186220	214050	0.025683941319584846	Technology&Computing>Robotics
186220	214050	0.009350556880235672	Technology&Computing
186220	214050	0.0070353602059185505	Technology&Computing>Computing>ProgrammingLanguages
186220	214050	0.0053643593564629555	Science
186220	214050	0.0036599594168365	VideoGaming>VideoGameGenres>SimulationVideoGames
186220	214050	0.002199421403929591	Hobbies&Interests>GamesAndPuzzles
186220	214050	0.0016453099669888616	Automotive>AutoType>DriverlessCars
186220	214050	0.0016042686766013503	Hobbies&Interests>ParanormalPhenomena
215140	237610	0.6947539448738098	Technology&Computing>ArtificialIntelligence
215140	237610	0.009834159165620804	Technology&Computing>Robotics
215140	237610	0.0076568699441850185	Technology&Computing>Computing>Internet>InternetOfThings
215140	237610	0.002637693425640464	Technology&Computing>Computing
215140	237610	0.0018434480298310518	Technology&Computing>Computing>InformationAndNetworkSecurity
215140	237610	0.0010726827895268798	Technology&Computing>Computing>ProgrammingLanguages
215140	237610	0.0010141698876395822	Home&Garden>SmartHome
215140	237610	0.0007825228967703879	Science
215140	237610	0.0006175960879772902	Technology&Computing>Computing>Internet>CloudComputing
215140	237610	0.0005409832228906453	Technology&Computing
