start	end	speaker	wconfidence	text
4410	4960	A	0.59545	You.
6930	7342	B	0.99	Hello
7396	7566	B	1.0	and
7588	7870	B	0.99997	welcome
7940	8462	B	0.96115	everyone.
8596	8986	B	0.92914	It's
9018	9354	B	0.88	July
9402	9946	B	0.58	13,
9978	11230	B	0.89	2023.
11380	11786	B	0.69305	We're
11818	12014	B	0.99963	here
12052	12302	B	0.9958	in
12356	12714	B	0.99983	physics
12762	13070	B	0.5599	as
13140	13614	B	0.99989	information
13732	14458	B	0.51693	processing
14554	14862	B	0.95538	with
14916	15278	B	0.99	the
15364	15710	B	0.83	third
15780	16378	B	0.99922	lecture
16474	16734	B	0.56044	by
16772	17066	B	0.61889	Chris
17098	17818	B	0.81944	Fields.
17914	18222	B	0.99935	So
18276	18542	B	0.99987	please
18596	18766	B	0.99999	check
18788	18974	B	0.75	out
19012	19262	B	1.0	the
19316	19774	B	0.65809	course
19892	20606	B	0.99878	website,
20788	21386	B	0.95467	Coda
21418	22234	B	0.98092	Document,
22362	22606	B	0.99987	where
22628	22766	B	0.69198	you
22788	22974	B	0.99924	can
23012	23402	B	0.89792	submit
23466	24030	B	0.9999	questions,
24180	24446	B	0.99993	check
24468	24606	B	1.0	out
24628	24766	B	1.0	the
24788	25274	B	0.99881	recordings
25322	25486	B	1.0	and
25508	25914	B	0.63981	descriptions
25962	26126	B	1.0	of
26148	26334	B	0.99957	all
26372	26842	B	0.9997	sessions,
26906	27134	B	1.0	and
27172	27754	B	0.99502	register
27882	28126	B	0.9997	if
28148	28238	B	0.99982	you
28244	28366	B	0.99783	want
28388	28526	B	1.0	to
28548	29298	B	0.99698	participate
29434	29734	B	0.99971	in
29772	29926	B	1.0	one
29948	30038	B	1.0	of
30044	30262	B	1.0	the
30316	30754	B	0.55448	discussion
30802	31474	B	0.99778	sections.
31602	32182	B	0.99958	So
32316	32614	B	0.9999	thank
32652	32806	B	0.99997	you
32828	33158	B	0.99995	again,
33244	33714	B	0.58584	Chris,
33762	33974	B	0.64	to
34012	34600	B	0.99898	you.
36410	36774	A	0.52837	Thank
36812	37014	A	0.99991	you
37052	37302	A	1.0	and
37356	37718	A	0.97853	welcome
37804	38150	A	0.88	to
38220	38770	A	0.96515	Physics
38850	39190	A	0.57757	as
39260	39734	A	0.99992	Information
39852	40562	A	0.9967	Processing,
40626	41090	A	0.97706	session
41170	41570	A	1.0	Three,
41660	41866	A	0.99906	which
41888	42026	A	0.99988	is
42048	42330	A	0.99993	about
42400	42982	A	0.99993	quantum
43046	43494	A	0.99218	reference
43542	44330	A	0.63395	frames.
45470	46026	A	0.9988	So
46128	46346	A	0.99939	in
46368	46602	A	0.99008	this
46656	47114	A	0.99822	course,
47232	47654	A	0.85922	we've
47702	47962	A	0.9999	talked
48016	48330	A	0.99998	about
48400	48886	A	0.99944	quantum
48918	49354	A	0.99975	information
49472	50330	A	0.54681	theory,
50670	51082	A	0.84882	which
51136	51402	A	0.99999	we
51456	52374	A	0.82009	characterized
52502	53180	A	0.99999	as
53630	54102	A	1.0	a
54176	54558	A	0.61447	general
54644	55450	A	0.82001	theory
55610	55982	A	1.0	that
56036	56714	A	0.99953	describes
56762	57214	A	0.62	the
57332	57834	A	0.57931	exchange
57882	58094	A	0.96	of
58132	58720	A	0.91723	information,
59250	59754	A	0.91237	exchange
59802	59966	A	1.0	of
59988	60490	A	0.86275	finite
60570	61200	A	1.0	information
62930	63486	A	0.7607	between
63588	63902	A	1.0	two
63956	64442	A	0.99995	finite
64506	64878	A	0.99984	agents
64964	65166	A	1.0	that
65188	65374	A	0.99999	are
65412	65882	A	0.99996	separated
65946	66222	A	1.0	by
66276	66602	A	0.99998	some
66676	67490	A	0.59628	boundary.
67830	68242	A	0.94	And
68296	68514	A	1.0	we
68552	69134	A	0.69615	emphasize
69182	69394	A	0.99869	that
69432	69586	A	1.0	this
69608	69746	A	0.99999	is
69768	69906	A	1.0	a
69928	70734	A	0.99967	topological
70782	71134	A	0.99999	theory,
71182	71394	A	0.99997	not
71432	71538	A	1.0	a
71544	72222	A	0.99984	geometric
72286	72990	A	0.99999	theory,
73150	73570	A	0.99997	so
73640	73922	A	0.56841	it
73976	74194	A	0.99999	makes
74232	74434	A	0.99588	no
74472	74942	A	0.9585	assumptions
75006	75330	A	0.99999	about
75400	75634	A	0.97947	an
75672	76270	A	0.99952	embedding
76350	77330	A	0.75596	spacetime.
79050	79414	A	0.87	And
79452	79750	A	0.99696	last
79820	80440	A	0.9999	time
81690	82054	A	0.99999	we
82092	82514	A	0.80196	showed
82562	82774	A	0.99986	how
82812	83062	A	1.0	to
83116	83938	A	0.97205	characterize
84034	84342	A	0.99995	this
84396	85266	A	0.80623	boundary
85458	85862	A	0.49	of
85916	86402	A	0.59331	script
86466	87080	A	1.0	B
88170	88918	A	1.0	as
89084	89414	A	0.99999	an
89452	89826	A	0.99461	array
89858	90390	A	0.88	of
90540	91240	A	0.58	N,
91710	92074	A	0.9943	some
92112	92582	A	0.95328	finite
92646	92922	A	0.77	N
92976	93462	A	0.55956	quantum
93526	93926	A	0.99945	bits
93958	94202	A	0.99995	or
94256	95050	A	0.66912	qubits,
95710	96074	A	1.0	and
96112	96266	A	0.99996	how
96288	96474	A	0.99	to
96512	97142	A	0.98681	characterize
97206	97434	A	0.99	the
97472	98294	A	0.99715	interaction
98422	98714	A	1.0	of
98752	99050	A	0.95	the
99120	99594	A	0.99981	agents
99712	99994	A	0.98	A
100032	100234	A	1.0	and
100272	100906	A	1.0	B
101088	101434	A	0.99629	with
101472	101674	A	1.0	the
101712	102490	A	0.98645	boundary
102990	103546	A	1.0	as
103648	104022	A	0.99916	an
104096	104810	A	0.98299	alternating
104890	105370	A	0.97532	cycle
105450	106030	A	0.94	of
106180	106826	A	0.9997	preparing
106858	107054	A	1.0	and
107092	107870	A	0.99995	measuring
108850	109166	A	1.0	the
109188	109674	A	0.99944	qubits
109722	109886	A	0.99955	in
109908	110094	A	0.99999	this
110132	110830	A	0.68735	array.
111410	111870	A	0.55	And
111940	112174	A	1.0	we
112212	112506	A	0.99996	showed
112538	112734	A	0.99999	that
112772	113070	A	0.99995	their
113140	113754	A	0.9937	interaction
113802	113966	A	0.99971	could
113988	114174	A	0.99999	be
114212	114826	A	0.99275	represented
114858	115054	A	0.97295	as
115092	115246	A	1.0	a
115268	115770	A	0.50226	sum
115850	116190	A	1.0	of
116260	117190	A	0.79889	operators,
117290	117506	A	0.99987	each
117528	117666	A	0.64	of
117688	117922	A	0.62878	which
117976	118290	A	0.87437	act
118360	118594	A	1.0	on
118632	118834	A	1.0	just
118872	119074	A	1.0	one
119112	119218	A	1.0	of
119224	119346	A	1.0	the
119368	120130	A	0.69646	qubits.
121350	121666	A	0.69	And
121688	121874	A	0.99683	we
121912	122210	A	1.0	also
122280	122706	A	0.99983	talked
122808	123460	A	0.99999	about
124390	124754	A	1.0	the
124792	125042	A	0.99998	need
125096	125362	A	1.0	for
125416	125634	A	1.0	each
125672	125778	A	1.0	of
125784	125954	A	1.0	the
125992	126338	A	0.99997	agents
126424	126626	A	1.0	A
126648	126834	A	0.82	and
126872	127506	A	1.0	B
127688	128034	A	1.0	to
128072	128370	A	0.99545	choose
128440	128626	A	1.0	a
128648	129114	A	0.99972	reference
129182	129890	A	0.98924	frame
130050	130326	A	0.99975	for
130348	130534	A	0.99998	their
130572	131106	A	0.99704	interaction
131138	131334	A	0.88944	with
131372	131526	A	1.0	the
131548	132310	A	0.49471	qubits
132730	133190	A	0.99999	that
133260	134230	A	0.96922	defined
134570	134934	A	0.9999	which
134972	135174	A	0.99995	way
135212	135414	A	0.99995	was
135452	136038	A	1.0	up.
136204	136920	A	0.99938	So
137450	137814	A	1.0	what
137852	138054	A	1.0	the
138092	138978	A	0.97806	orientations
139074	139286	A	1.0	of
139308	139398	A	1.0	the
139404	139970	A	0.99853	qubits
140050	140790	A	0.98184	meant
141630	142138	A	0.6	and
142224	142998	A	0.50477	emphasized
143094	143354	A	0.99999	that
143392	143546	A	1.0	the
143568	144042	A	0.72	two
144176	145210	A	0.72741	observers
145950	146266	A	0.98	A
146288	146474	A	0.72	and
146512	147098	A	1.0	B
147264	147594	A	0.99995	could
147632	148026	A	0.59155	choose
148128	148586	A	0.9907	different
148688	149174	A	0.99999	reference
149222	149766	A	0.94715	frames,
149878	150298	A	0.90961	so
150384	151114	A	1.0	different
151312	151722	A	0.99999	ways
151776	152042	A	0.68	of
152096	152822	A	0.93871	measuring
152966	153322	A	0.97	and
153376	153926	A	0.99746	preparing
153958	154166	A	0.99999	their
154208	154990	A	0.9824	qubits
155330	156126	A	0.55674	that
156308	156846	A	0.60693	use
156948	157454	A	0.61575	different
157572	158170	A	0.58707	meanings
158250	158494	A	0.63136	for
158532	158734	A	1.0	the
158772	159118	A	0.99567	idea
159204	159502	A	1.0	of
159556	160160	A	0.7	up
161090	161454	A	0.9999	for
161492	161694	A	0.99997	each
161732	162590	A	0.99703	qubit.
163570	164318	A	1.0	And
164484	164862	A	0.77874	we
164916	165226	A	0.99988	ended
165258	165406	A	1.0	the
165428	165710	A	0.73536	last
165780	166666	A	0.87287	session
166858	167262	A	1.0	with
167316	167498	A	1.0	a
167524	167982	A	0.66432	pointer
168046	168514	A	0.99823	forward
168632	169150	A	0.8535	toward
169230	169426	A	1.0	the
169448	169934	A	0.67285	quantum
169982	170574	A	0.99997	formulation
170622	170738	A	1.0	of
170744	170866	A	1.0	the
170888	171122	A	0.99985	free
171176	171490	A	0.99956	energy
171560	172290	A	0.69548	principle,
172950	173314	A	1.0	which
173352	173506	A	0.95393	can
173528	173714	A	0.99996	be
173752	174174	A	0.99998	stated
174222	174434	A	1.0	as
174472	174626	A	1.0	the
174648	174926	A	0.99956	claim
174958	175298	A	0.63389	that
175384	176014	A	0.99966	interacting
176062	176622	A	0.9171	systems
176686	177006	A	0.99991	behave
177038	177186	A	0.8544	in
177208	177298	A	1.0	a
177304	177426	A	0.99966	way
177448	177634	A	0.9914	that
177672	178126	A	0.80798	aligns
178158	178354	A	0.99995	their
178392	178734	A	0.9787	reference
178782	179490	A	0.87408	frames.
180490	181240	A	0.8	And
181610	182146	A	0.99852	pointed
182178	182470	A	1.0	out
182540	182726	A	1.0	at
182748	182982	A	0.99919	that
183036	183640	A	0.99851	time
184170	184630	A	0.99999	that
184700	184886	A	0.99995	what
184908	185142	A	0.64123	this
185196	185510	A	0.80248	means
185580	185814	A	0.99682	is
185852	186006	A	1.0	that
186028	186214	A	0.87	the
186252	186598	A	1.0	two
186684	187126	A	0.99997	agents
187228	187494	A	0.9	A
187532	187686	A	1.0	and
187708	188134	A	0.61	B
188252	188882	A	0.89076	approach
188946	189714	A	0.95979	entanglement
189762	190930	A	0.55157	asymptotically,
191090	191414	A	1.0	and
191452	191666	A	0.90133	that
191708	192102	A	0.87791	therefore
192166	192346	A	1.0	the
192368	192902	A	0.99341	FEP
192966	193194	A	0.72502	is
193232	193386	A	1.0	a
193408	193894	A	0.99976	classical
193942	194326	A	0.52621	limit
194358	194458	A	1.0	of
194464	194634	A	1.0	the
194672	194966	A	0.99684	principle
194998	195146	A	1.0	of
195168	196250	A	0.61396	unitarity,
196750	197066	A	0.9999	which
197088	197274	A	0.99798	is
197312	197418	A	1.0	the
197424	197686	A	0.93955	core
197718	198054	A	0.81231	principle
198102	198266	A	1.0	of
198288	198646	A	0.99998	quantum
198678	199014	A	0.99991	theory.
199062	199274	A	0.76284	So
199312	199558	A	0.89269	we'll
199574	199802	A	0.99594	see
199856	200026	A	0.99983	in
200048	200234	A	0.99997	this
200272	200950	A	0.99655	session
201110	201434	A	0.99858	why
201472	201674	A	0.78027	this
201712	201914	A	0.99969	is
201952	202540	A	0.99999	true.
204130	204734	A	0.99855	So
204852	205134	A	0.99997	what
205172	205386	A	0.99972	we'll
205418	205614	A	1.0	talk
205652	205902	A	1.0	about
205956	206560	A	1.0	today
207010	207854	A	0.99999	is
208052	208462	A	0.99998	what
208516	208874	A	0.99961	reference
208922	209370	A	0.86868	frames
209450	209886	A	0.978	are
209988	210254	A	0.99948	in
210292	210880	A	0.98939	general,
211970	212334	A	1.0	how
212372	212574	A	0.99773	they
212612	212958	A	0.99996	make
213044	213722	A	0.99863	observations
213786	214062	A	0.75	and
214116	214570	A	0.96149	actions
214650	215242	A	0.98806	meaningful,
215306	215534	A	0.99966	so
215572	215774	A	0.99145	how
215812	215966	A	1.0	they
215988	216222	A	0.99995	give
216276	216682	A	0.99978	physics
216746	216986	A	0.96	a
217028	217970	A	0.98499	semantics,
218470	218834	A	0.98	and
218872	219026	A	0.99999	then
219048	219246	A	0.99092	we'll
219278	219474	A	0.99982	talk
219512	219714	A	0.97973	about
219752	219906	A	1.0	the
219928	220114	A	0.98857	free
220152	220450	A	0.98867	energy
220520	221330	A	0.97145	principle.
223510	223874	A	0.97724	So
223912	224066	A	0.99834	what
224088	224274	A	0.92071	is
224312	224466	A	1.0	a
224488	224814	A	0.92643	reference
224862	225650	A	0.5296	frame?
226550	226914	A	1.0	The
226952	227540	A	0.99985	idea
228070	228578	A	0.64836	that
228664	229242	A	0.9976	physics
229326	229842	A	0.99883	involves
229906	230354	A	0.99999	reference
230402	230850	A	0.99976	frames
230930	231174	A	0.99999	goes
231212	231462	A	0.99999	back
231516	231638	A	1.0	at
231644	231814	A	0.99965	least
231852	232006	A	0.72	to
232028	233350	A	0.8121	Galileo,
234330	234694	A	0.52193	but
234732	234934	A	0.999	was
234972	235270	A	0.99998	probably
235340	235762	A	0.68544	familiar
235826	236102	A	0.78168	well
236156	236470	A	0.99999	before
236540	236822	A	1.0	that,
236876	237142	A	0.99999	just
237196	237510	A	0.99997	not
237580	238290	A	0.92361	formalized
238370	238566	A	0.99998	in
238588	238678	A	1.0	the
238684	238806	A	1.0	way
238828	238966	A	1.0	that
238988	239762	A	0.97843	Galileo
239826	240482	A	0.99951	formalized
240546	241160	A	0.99678	it.
242270	242778	A	0.88241	So
242864	243114	A	0.69	the
