start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
1770	1934	A	0.99987	1	1	1	Hello,
1972	2510	A	0.83996	1	2	2	everyone.
2660	2974	A	1.0	1	3	3	It
3012	3310	A	0.99978	1	4	4	is
3380	3658	A	1.0	1	5	5	June
3674	4042	A	0.51	1	6	6	9,
4106	4446	A	1.0	1	7	7	2022,
4468	6174	A	0.94	1	8	8	and
6292	7098	A	0.88252	1	9	9	it's
7274	7882	A	0.58068	1	10	10	chapter
7946	8560	A	1.0	1	11	11	three,
9170	9630	A	0.74	1	12	12	week
9700	10414	A	1.0	1	13	13	one,
10612	11118	A	1.0	1	14	14	and
11204	11498	A	0.99845	1	15	15	it's
11514	11646	A	0.72	1	16	16	the
11668	11902	A	1.0	1	17	17	first
11956	12426	A	0.98096	1	18	18	cohort
12458	12654	A	0.91	1	19	19	of
12692	12798	A	1.0	1	20	20	the
12804	13274	A	0.76469	1	21	21	textbook
13322	13920	A	1.0	1	22	22	group.
14770	15178	A	0.99328	1	23	23	We're
15194	15278	A	0.59387	1	24	24	going
15284	15358	A	1.0	1	25	25	to
15364	15486	A	0.99995	1	26	26	go
15508	15694	A	0.63	1	27	27	to
15732	16030	A	1.0	1	28	28	the
16100	16720	A	0.99974	1	29	29	questions.
17490	17806	A	0.9995	1	30	30	There
17828	18106	A	0.99858	1	31	31	weren't
18138	18382	A	0.99997	1	32	32	any
18436	19002	A	0.98579	1	33	33	ideas
19066	19482	A	0.98967	1	34	34	added
19546	19822	A	0.99496	1	35	35	for
19876	20190	A	0.99	1	36	36	three,
20260	20494	A	0.99991	1	37	37	but
20532	20734	A	0.99774	1	38	38	if
20772	21022	A	0.56619	1	39	39	people
21076	21294	A	0.78979	1	40	40	have
21332	21582	A	0.99958	1	41	41	any
21636	21854	A	0.99989	1	42	42	key
21892	22234	A	0.88276	1	43	43	themes
22282	22446	A	1.0	1	44	44	or
22468	22654	A	0.99983	1	45	45	any
22692	23066	A	0.84905	1	46	46	ideas
23098	23246	A	1.0	1	47	47	that
23268	23406	A	0.99998	1	48	48	they
23428	23626	A	0.87015	1	49	49	picked
23658	23806	A	1.0	1	50	50	up
23828	24062	A	0.99	1	51	51	on
24116	24334	A	0.99952	1	52	52	with
24372	24886	A	1.0	1	53	53	three,
25028	25286	A	0.72804	1	54	54	they
25308	25446	A	0.99104	1	55	55	can
25468	25606	A	0.94354	1	56	56	add
25628	25814	A	0.84	1	57	57	them
25852	26486	A	1.0	1	58	58	here.
26668	27282	A	0.93417	1	59	59	Otherwise
27346	27586	A	0.99968	1	60	60	we'll
27618	27814	A	0.99999	1	61	61	go
27852	28054	A	1.0	1	62	62	to
28092	28390	A	1.0	1	63	63	the
28460	29080	A	0.99978	1	64	64	questions.
30090	30840	A	0.98	2	1	65	And
32570	33030	A	0.78147	2	2	66	also
33100	33334	A	0.9998	2	3	67	if
33372	33622	A	0.99999	2	4	68	people
33676	33894	A	0.9998	2	5	69	have
33932	34230	A	0.99994	2	6	70	questions
34300	34438	A	0.99867	2	7	71	in
34444	34566	A	1.0	2	8	72	the
34588	34834	A	0.99185	2	9	73	chat,
34882	35430	A	0.54	2	10	74	or
35580	35846	A	1.0	2	11	75	it
35868	36006	A	0.99959	2	12	76	would
36028	36262	A	0.99981	2	13	77	be
36316	36582	A	0.99987	2	14	78	also
36636	36854	A	0.99996	2	15	79	great
36892	37046	A	1.0	2	16	80	just
37068	37206	A	0.93	2	17	81	to
37228	37522	A	0.95883	2	18	82	take
37596	38406	A	0.99766	2	19	83	notes
38598	39050	A	0.97	2	20	84	or
39120	39354	A	0.99257	2	21	85	add
39392	39690	A	0.99994	2	22	86	questions
39760	39994	A	1.0	2	23	87	and
40032	40234	A	0.99992	2	24	88	continue
40272	40426	A	0.72	2	25	89	to
40448	40774	A	0.98216	2	26	90	upload
40822	41322	A	1.0	2	27	91	them.
41456	41706	A	1.0	2	28	92	And
41728	41914	A	1.0	2	29	93	then
41952	42154	A	0.99997	2	30	94	next
42192	42346	A	1.0	2	31	95	week
42368	42646	A	0.54266	2	32	96	we'll
42678	42922	A	0.99997	2	33	97	continue
42976	43146	A	1.0	2	34	98	the
43168	43654	A	0.99702	2	35	99	discussion
43702	43914	A	1.0	2	36	100	on
43952	44394	A	1.0	2	37	101	three.
44512	45274	A	0.52637	2	38	102	So
45472	45834	A	0.82632	2	39	103	this
45872	46026	A	0.99998	2	40	104	is
46048	46282	A	1.0	2	41	105	just
46336	46842	A	0.93	2	42	106	the
46976	47622	A	0.9928	2	43	107	opening
47686	47914	A	0.99996	2	44	108	set
47952	48106	A	1.0	2	45	109	of
48128	48700	A	0.99996	2	46	110	questions,
50130	50542	A	0.7057	2	47	111	maybe
50596	50766	A	1.0	2	48	112	just
50788	51070	A	0.64	2	49	113	the
51140	51760	A	1.0	2	50	114	first
52450	53066	A	0.59367	2	51	115	ideas
53098	53246	A	1.0	2	52	116	of
53268	53358	A	1.0	2	53	117	the
53364	53822	A	0.5	2	54	118	book.
53956	54426	A	0.99991	2	55	119	Turning
54458	54702	A	0.53	2	56	120	to
54756	55360	A	0.9998	2	57	121	questions,
56130	56446	A	1.0	2	58	122	now
56468	56654	A	0.9	2	59	123	that
56692	57390	A	0.99393	2	60	124	we've
57730	58046	A	1.0	2	61	125	at
58068	58640	A	0.99999	2	62	126	least
59170	59534	A	0.99997	2	63	127	gone
59572	59774	A	0.77219	2	64	128	through
59812	60186	A	0.99999	2	65	129	chapter
60218	60462	A	1.0	2	66	130	two
60516	60782	A	0.99989	2	67	131	once
60836	61150	A	1.0	2	68	132	and
61220	61454	A	0.99999	2	69	133	part
61492	61646	A	1.0	2	70	134	of
61668	61994	A	0.99992	2	71	135	chapter
62042	62254	A	1.0	2	72	136	three,
62292	62506	A	1.0	2	73	137	or
62548	62706	A	0.93	2	74	138	the
62728	62866	A	0.99999	2	75	139	whole
62888	63026	A	0.99999	2	76	140	thing
63048	63186	A	1.0	2	77	141	of
63208	63486	A	0.9999	2	78	142	chapter
63518	64194	A	0.85	2	79	143	three,
64392	64706	A	0.99997	2	80	144	what
64728	64914	A	0.69602	2	81	145	is
64952	65106	A	1.0	2	82	146	the
65128	65266	A	0.99865	2	83	147	high
65288	65570	A	0.99305	2	84	148	road
65640	65970	A	1.0	2	85	149	to
66040	66398	A	0.99935	2	86	150	active
66414	67250	A	0.64503	2	87	151	inference?
78740	79104	A	0.99999	3	1	152	What
79142	79296	A	0.99997	3	2	153	does
79318	79552	A	0.99971	3	3	154	anyone
79606	79824	A	0.99999	3	4	155	think
79862	80112	A	0.99999	3	5	156	about
80166	80336	A	1.0	3	6	157	the
80358	80496	A	0.99796	3	7	158	high
80518	80656	A	0.99973	3	8	159	road
80678	80816	A	0.99	3	9	160	to
80838	81116	A	0.99954	3	10	161	active
81148	81920	A	0.9582	3	11	162	inference
