start	end	sentNum	speaker	confidence	text
7500	8408	2	Daniel Friedman	0.98641	Hello everyone.
8494	14696	3	Daniel	0.99989	Welcome to the Active inference Institute quarterly roundtable number two in 2023.
14798	25480	4	Daniel	0.97349	It's June 30, 2023, and this is going to be our quarterly updates and ways that you can participate at the institute and in the active ecosystem.
25900	28756	5	Daniel	0.99759	So welcome to the active inference institute.
28868	34732	6	Daniel	0.90913	We're a participant battori online institute that is communicating, learning, and practicing applied active inference.
34796	47280	7	Daniel	1	You can find us at the links on this page and note that we'll be transitioning our emails over from activeinference@gmail.com towards Atactiveinference institute domains.
47640	53684	8	Daniel	0.99216	This is recorded in an archive Livestream, so please provide us with feedback so that we can improve our work.
53882	65096	9	Daniel	1	All backgrounds and perspectives are welcome, and we'll be following video etiquette for live streams today in the quarterly meeting number two of the year.
65278	75836	10	Daniel	0.86265	We'll start at the institute scale, give some updates at the institute level, and then we'll look a little bit deeper into primarily education, but also research.
76018	83276	11	Daniel	1	And then I'll have some closing thoughts by way of a presidential address about where we're at with active inference.
83388	91650	12	Daniel	1	And if you're watching live, please write comments and questions in the live chat and we will look to address those during.
94120	102580	13	Daniel	0.9782	Okay, so starting with the institute scale, some updates coming from the institute.
105000	111256	14	Daniel	0.98142	Here's one way that we can visualize the active inference institute in June 2023.
111438	121256	15	Daniel	0.99995	We are within the active inference ecosystem as well as within other ecosystems, and we have a nested structure.
121368	123630	16	Daniel	0.65197	Alex, would you like to describe this?
127820	139980	17	Alex Vyatkin	0.81961	Yeah, I think for these moments, it's great to see this structure and understand what is actually in place and working and acting and adapting.
140480	151036	18	Alex	0.6	And from very beginning we consider it from perspective of systems thinking and from perspective of active inference.
151068	162128	19	Alex	0.87631	We always think about some kind of nested and hierarchical structure which can be builded and structured accordingly.
162304	170536	20	Alex	0.83816	So having it right now embodied, it's great to see it totally agree.
170638	180248	21	Daniel	1	At the institute scale where these first updates are going to come from, we have the officers, the board of directors, and the scientific advisory board.
180414	187016	22	Daniel	0.99998	We have two organizational units which steward the development and support participation in projects.
187208	193464	23	Daniel	1	And projects and learning groups are really where it happens on the ground.
193512	195424	24	Daniel	0.99	And so we're going to talk a lot more about these.
195462	200960	25	Daniel	1	But this is the nesting and our own relationship with the ecosystem.
202180	208480	26	Daniel	0.99998	Another way to see this is in terms of people and positions at the institute.
208640	216272	27	Daniel	0.99959	So starting from the left, we have casual engagement with our products and services into the niche.
216336	220724	28	Daniel	0.99991	So this might be the very video that you're listening to or watching right now.
220762	223876	29	Daniel	0.99922	It could be the transcript of this video that you're reading.
223988	226340	30	Daniel	0.9994	It might be the active inference ontology.
226420	229028	31	Daniel	0.99958	It might be the active block, for instance, software package.
229124	233992	32	Daniel	0.92384	There's all these different open source products and services that we provide to the niche.
234136	246316	33	Daniel	0.98	And one moment you will decide to participate in a project or a learning group, and that can be more towards the learning, more towards the doing and leveraging your contributions at the institute.
246508	259440	34	Daniel	1	And some participants will choose to solidify their participation through volunteering or engaging with the internship program, both of which are new and really excitingly.
259520	268580	35	Daniel	0.79758	Developing well and then we haven't listed any names of the many of you who are in all of these different stages.
269340	279364	36	Daniel	1	And you may want to play another role or another position in the Institute, such as the Scientific Advisory Board, board of Directors or the officers.
279412	287900	37	Daniel	0.85063	So a lot of appreciation and thanks to everybody who's shown and not shown on this slide.
289280	295680	38	Daniel	0.6019	We are really appreciative of how you all show up for the institute.
296340	298450	39	Daniel	0.99782	Alex, want to add anything on that?
303940	318150	40	Alex	0.9877	Yeah, even from this slide, we can see that a lot of people already involved in activity and provide great insights and different perspective and backgrounds and experience.
319800	327450	41	Alex	0.99	And yes, a lot of people not shown here, but we know them through our community platforms and so on.
328300	337340	42	Alex	0.93812	So you can see this progress in terms of participation in activities and that's also great progress.
339840	341548	43	Daniel	0.96	All right, moving on.
341634	355372	44	Daniel	0.81128	We are excited that for our third applied active inference symposium to be held in August, we will have the theme of enacting ecosystems of shared intelligence, active inference as a cognitive kernel.
355516	361232	45	Daniel	0.99999	We have a really broad and global co organizer team, which is very exciting.
361296	368908	46	Daniel	0.98425	So thanks to everybody who's in the co organizing team for this symposium, we're just getting started on the organization.
369104	377960	47	Daniel	0.99966	So in the coming days and weeks, we'll be providing more information on participating in a more formal call for presenters.
379100	391710	48	Daniel	0.99991	However, if you're listening to this message now and you are really excited to do a presentation or a workshop or mentorship and be a part of the active inference ecosystem, then please reach out to us.
392080	393950	49	Daniel	0.99987	Alex, anything you want to add here?
398680	424940	50	Alex	0.93456	But actually, yes, I think I can remember that there will be a third symposium and it's cool that we have that yearly written for this type of activity and hopefully this event bring us and for people who will participate, new insights, connections, and ground for future developments.
427200	427950	51	Alex	0.67186	Cool.
428420	433772	52	Daniel	0.94	All right, just to summarize and update a few of the institute level programs.
433916	439152	53	Daniel	0.99137	So volunteering at the institute, it's a way to engage.
