start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
19260	19520	1	A	0.98657	1	1	Hello
19590	19920	1	A	0.78	2	2	and
19990	20610	1	A	1.0	3	3	welcome.
21140	21836	2	A	0.99722	1	4	It's
21948	22348	2	A	0.99883	2	5	Active
22364	22716	2	A	0.99714	3	6	Inference
22748	23036	2	A	0.88693	4	7	guest
23068	23404	2	A	0.99068	5	8	stream
23452	23664	2	A	0.99991	6	9	number
23702	25136	2	A	0.99	7	10	51.1
25238	25552	2	A	0.99995	8	11	on
25606	25964	2	A	1.0	9	12	July
26012	26524	2	A	0.82	10	13	28,
26572	27936	2	A	0.98	11	14	2023.
28118	28416	3	A	0.99999	1	15	We
28438	28624	3	A	0.65218	2	16	are
28662	28816	3	A	0.99998	3	17	here
28838	29024	3	A	1.0	4	18	with
29062	29644	3	A	0.82125	5	19	Tomaso
29692	30716	3	A	0.80675	6	20	Salvatore
30828	31152	3	A	1.0	7	21	and
31206	31376	3	A	0.99996	8	22	we
31398	31584	3	A	0.99962	9	23	will
31622	31872	3	A	0.99998	10	24	be
31926	32240	3	A	0.99999	11	25	having
32310	32592	3	A	1.0	12	26	a
32646	33308	3	A	0.98692	13	27	presentation
33404	33664	3	A	1.0	14	28	and
33702	33856	3	A	1.0	15	29	a
33878	34508	3	A	0.99999	16	30	discussion
34604	35008	3	A	0.99995	17	31	on
35094	35344	3	A	0.73	18	32	the
35382	35724	3	A	0.99998	19	33	recent
35772	36272	3	A	0.99997	20	34	work
36406	37004	3	A	0.99903	21	35	Causal
37052	37564	3	A	0.95914	22	36	Inference
37612	37884	3	A	0.98894	23	37	via
37932	38396	3	A	0.99842	24	38	Predictive
38428	39108	3	A	0.95654	25	39	Coding.
39244	39688	4	A	0.98366	1	40	So
39774	40024	4	A	0.99962	2	41	thanks
40062	40264	4	A	0.57724	3	42	so
40302	40696	4	A	0.99994	4	43	much
40798	41304	4	A	0.99978	5	44	for
41422	42004	4	A	0.96036	6	45	joining.
42052	42216	5	A	0.99962	1	46	For
42238	42328	5	A	0.99989	2	47	those
42334	42456	5	A	0.98668	3	48	who
42478	42616	5	A	0.99944	4	49	are
42638	42920	5	A	0.99996	5	50	watching
42990	43320	5	A	0.99995	6	51	Live,
43390	43624	5	A	0.9999	7	52	feel
43662	43864	5	A	0.99999	8	53	free
43902	44104	5	A	1.0	9	54	to
44142	44392	5	A	0.99984	10	55	write
44446	44808	5	A	0.99992	11	56	questions
44894	45144	5	A	0.99987	12	57	in
45182	45336	5	A	1.0	13	58	the
45358	45544	5	A	0.99998	14	59	live
45582	46116	5	A	0.9999	15	60	chat
46228	46840	5	A	0.99	16	61	and
46990	47304	5	A	0.99965	17	62	off
47342	47496	5	A	1.0	18	63	to
47518	47896	5	A	0.99898	19	64	you.
47998	48264	6	A	0.99932	1	65	Thank
48302	48890	6	A	0.99969	2	66	you.
50300	50664	7	B	0.99956	1	67	Thank
50702	50808	7	B	0.99993	2	68	you
50814	50984	7	B	0.73269	3	69	very
51022	51176	7	B	0.99937	4	70	much,
51198	51572	7	B	0.94242	5	71	Daniel,
51636	52104	7	B	0.99998	6	72	for
52222	52724	7	B	0.99942	7	73	inviting
52772	53370	7	B	0.92701	8	74	me.
54320	54732	8	B	0.99991	1	75	Always
54786	55052	8	B	0.99918	2	76	been
55106	55228	8	B	1.0	3	77	a
55234	55404	8	B	0.99995	4	78	big
55442	55656	8	B	0.99986	5	79	fan
55688	55788	8	B	1.0	6	80	of
55794	55916	8	B	1.0	7	81	the
55938	56172	8	B	0.99995	8	82	channel
56226	56396	8	B	1.0	9	83	and
56418	56616	8	B	0.97195	10	84	I've
56648	56796	8	B	0.99994	11	85	been
56818	57100	8	B	0.99952	12	86	watching
57170	57308	8	B	0.99	13	87	a
57314	57436	8	B	0.99766	14	88	lot
57458	57548	8	B	1.0	15	89	of
57554	57772	8	B	0.96132	16	90	videos,
57826	58430	8	B	0.90926	17	91	so
58880	59304	8	B	0.75619	18	92	I'm
59352	59564	8	B	0.99998	19	93	quite
59602	59896	8	B	0.99999	20	94	excited
59928	60076	8	B	1.0	21	95	to
60098	60236	8	B	0.99986	22	96	be
60258	60732	8	B	0.99983	23	97	here
60866	61164	8	B	0.95	24	98	and
61202	61356	8	B	0.99996	25	99	be
61378	61516	8	B	1.0	26	100	the
61538	61724	8	B	1.0	27	101	one
61762	62108	8	B	1.0	28	102	speaking
62194	62444	8	B	0.99998	29	103	this
62482	63070	8	B	0.99985	30	104	time.
64260	64768	9	B	0.99125	1	105	So
64854	65068	9	B	0.99367	2	106	I'm
65084	65216	9	B	0.99978	3	107	going
65238	65328	9	B	1.0	4	108	to
65334	65504	9	B	0.99999	5	109	talk
65542	65744	9	B	0.99999	6	110	about
65782	66080	9	B	0.99809	7	111	this
66150	66556	9	B	0.51667	8	112	recent
66588	67180	9	B	0.65423	9	113	preprint
67260	67744	9	B	0.80846	10	114	that
67862	68048	9	B	0.99	11	115	I
68054	68176	9	B	0.99851	12	116	put
68198	68384	9	B	0.56	13	117	out,
68422	68576	9	B	0.99996	14	118	which
68598	68736	9	B	0.99974	15	119	has
68758	68896	9	B	0.99999	16	120	been
68918	69056	9	B	1.0	17	121	the
69078	69312	9	B	0.99982	18	122	work
69366	69584	9	B	1.0	19	123	of
69622	69776	9	B	1.0	20	124	the
69798	70416	9	B	0.99978	21	125	last
70598	70944	9	B	0.99998	22	126	couple
70982	71136	9	B	1.0	23	127	of
71158	71730	9	B	0.99893	24	128	months.
72260	73010	10	B	0.9	1	129	And
73620	74028	10	B	0.99816	2	130	it's
74044	74128	10	B	1.0	3	131	a
74134	74732	10	B	0.80657	4	132	collaboration
74796	75410	10	B	0.53441	5	133	with
76020	76508	10	B	0.29866	6	134	Luca
76524	77356	10	B	0.11879	7	135	Binketti,
77468	77884	10	B	0.9409	8	136	Amin,
77932	78604	10	B	0.24378	9	137	Mccarrak
78652	79356	10	B	0.10758	10	138	Berenmille
79388	79488	10	B	0.93	11	139	and
79494	79708	10	B	0.97592	12	140	Thomas
79724	80800	10	B	0.13586	13	141	Lukasiavic.
81700	82208	11	B	0.96	1	142	And
82294	82588	11	B	0.66481	2	143	it's
82604	82832	11	B	0.99997	3	144	basically
82886	83056	11	B	0.66	4	145	a
83078	83404	11	B	0.99995	5	146	joint
83452	83712	11	B	0.99981	6	147	work
83766	84080	11	B	0.99995	7	148	between
84150	84664	11	B	0.53575	8	149	Verses,
84732	84916	11	B	0.99946	9	150	which
84938	85076	11	B	0.98474	10	151	is
85098	85332	11	B	1.0	11	152	the
85386	85652	11	B	0.99988	12	153	company
85706	85876	11	B	0.97	13	154	I
85898	86084	11	B	0.99609	14	155	work
86122	86612	11	B	0.99971	15	156	for,
86746	87188	11	B	1.0	16	157	the
87274	87776	11	B	0.99926	17	158	University
87808	87956	11	B	0.93	18	159	of
87978	88512	11	B	0.77324	19	160	Oxford
88576	89140	11	B	0.93	20	161	and
89290	90500	11	B	0.11327	21	162	Teovien.
91660	92410	12	B	0.8918	1	163	So
94300	94664	12	B	0.98983	2	164	during
94702	94904	12	B	0.95445	3	165	this
94942	95530	12	B	0.73869	4	166	talk,
98220	98536	12	B	0.82441	5	167	this
98558	98696	12	B	0.57701	6	168	is
98718	99000	12	B	0.99963	7	169	basically
99070	99256	12	B	0.99	8	170	the
99278	99684	12	B	0.99998	9	171	outline
99732	99848	12	B	1.0	10	172	of
99854	99976	12	B	0.9	11	173	the
99998	100472	12	B	0.99831	12	174	talk,
100606	100856	12	B	1.0	13	175	I
100878	101064	12	B	0.99862	14	176	will
101102	101544	12	B	1.0	15	177	start
101662	102040	12	B	0.99991	16	178	talking
102110	102392	12	B	0.99999	17	179	about
102446	102616	12	B	0.99995	18	180	what
