start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
19260	19520	A	0.98657	1	1	1	Hello
19590	19920	A	0.78	1	2	2	and
19990	20610	A	1.0	1	3	3	welcome.
21140	21836	A	0.99722	1	4	4	It's
21948	22348	A	0.99883	1	5	5	Active
22364	22716	A	0.99714	1	6	6	Inference
22748	23036	A	0.88693	1	7	7	guest
23068	23404	A	0.99068	1	8	8	stream
23452	23664	A	0.99991	1	9	9	number
23702	25136	A	0.99	1	10	10	51.1
25238	25552	A	0.99995	1	11	11	on
25606	25964	A	1.0	1	12	12	July
26012	26524	A	0.82	1	13	13	28,
26572	27936	A	0.98	1	14	14	2023.
28118	28416	A	0.99999	1	15	15	We
28438	28624	A	0.65218	1	16	16	are
28662	28816	A	0.99998	1	17	17	here
28838	29024	A	1.0	1	18	18	with
29062	29644	A	0.82125	1	19	19	Tomaso
29692	30716	A	0.80675	1	20	20	Salvatore
30828	31152	A	1.0	1	21	21	and
31206	31376	A	0.99996	1	22	22	we
31398	31584	A	0.99962	1	23	23	will
31622	31872	A	0.99998	1	24	24	be
31926	32240	A	0.99999	1	25	25	having
32310	32592	A	1.0	1	26	26	a
32646	33308	A	0.98692	1	27	27	presentation
33404	33664	A	1.0	1	28	28	and
33702	33856	A	1.0	1	29	29	a
33878	34508	A	0.99999	1	30	30	discussion
34604	35008	A	0.99995	1	31	31	on
35094	35344	A	0.73	1	32	32	the
35382	35724	A	0.99998	1	33	33	recent
35772	36272	A	0.99997	1	34	34	work
36406	37004	A	0.99903	1	35	35	Causal
37052	37564	A	0.95914	1	36	36	Inference
37612	37884	A	0.98894	1	37	37	via
37932	38396	A	0.99842	1	38	38	Predictive
38428	39108	A	0.95654	1	39	39	Coding.
39244	39688	A	0.98366	1	40	40	So
39774	40024	A	0.99962	1	41	41	thanks
40062	40264	A	0.57724	1	42	42	so
40302	40696	A	0.99994	1	43	43	much
40798	41304	A	0.99978	1	44	44	for
41422	42004	A	0.96036	1	45	45	joining.
42052	42216	A	0.99962	1	46	46	For
42238	42328	A	0.99989	1	47	47	those
42334	42456	A	0.98668	1	48	48	who
42478	42616	A	0.99944	1	49	49	are
42638	42920	A	0.99996	1	50	50	watching
42990	43320	A	0.99995	1	51	51	Live,
43390	43624	A	0.9999	1	52	52	feel
43662	43864	A	0.99999	1	53	53	free
43902	44104	A	1.0	1	54	54	to
44142	44392	A	0.99984	1	55	55	write
44446	44808	A	0.99992	1	56	56	questions
44894	45144	A	0.99987	1	57	57	in
45182	45336	A	1.0	1	58	58	the
45358	45544	A	0.99998	1	59	59	live
45582	46116	A	0.9999	1	60	60	chat
46228	46840	A	0.99	1	61	61	and
46990	47304	A	0.99965	1	62	62	off
47342	47496	A	1.0	1	63	63	to
47518	47896	A	0.99898	1	64	64	you.
47998	48264	A	0.99932	2	1	65	Thank
48302	48890	A	0.99969	2	2	66	you.
50300	50664	B	0.99956	2	3	67	Thank
50702	50808	B	0.99993	2	4	68	you
50814	50984	B	0.73269	2	5	69	very
51022	51176	B	0.99937	2	6	70	much,
51198	51572	B	0.94242	2	7	71	Daniel,
51636	52104	B	0.99998	2	8	72	for
52222	52724	B	0.99942	2	9	73	inviting
52772	53370	B	0.92701	2	10	74	me.
54320	54732	B	0.99991	2	11	75	Always
54786	55052	B	0.99918	2	12	76	been
55106	55228	B	1.0	2	13	77	a
55234	55404	B	0.99995	2	14	78	big
55442	55656	B	0.99986	2	15	79	fan
55688	55788	B	1.0	2	16	80	of
55794	55916	B	1.0	2	17	81	the
55938	56172	B	0.99995	2	18	82	channel
56226	56396	B	1.0	2	19	83	and
56418	56616	B	0.97195	2	20	84	I've
56648	56796	B	0.99994	2	21	85	been
56818	57100	B	0.99952	2	22	86	watching
57170	57308	B	0.99	2	23	87	a
57314	57436	B	0.99766	2	24	88	lot
57458	57548	B	1.0	2	25	89	of
57554	57772	B	0.96132	2	26	90	videos,
57826	58430	B	0.90926	2	27	91	so
58880	59304	B	0.75619	2	28	92	I'm
59352	59564	B	0.99998	2	29	93	quite
59602	59896	B	0.99999	2	30	94	excited
59928	60076	B	1.0	2	31	95	to
60098	60236	B	0.99986	2	32	96	be
60258	60732	B	0.99983	2	33	97	here
60866	61164	B	0.95	2	34	98	and
61202	61356	B	0.99996	2	35	99	be
