text	entity_type		start	end
September 12, 2023	date		9612	11862
Social Sciences	occupation		14748	15618
Active Inference Institute	organization		16524	18098
semiotics	occupation		21148	22002
semantics	occupation		22524	23442
Lorena Ganzerla	person_name		24252	26098
Lorena	person_name		47928	49090
Daniel	person_name		59804	60710
biosemiotics	occupation		145688	147342
James Cott	person_name		174910	176166
European	nationality		178050	178890
forestry	occupation		178970	179642
Scott	person_name		262524	263122
official observer	occupation		286292	287434
official observer	occupation		288132	289386
agriculture	occupation		306476	307510
Brynn	person_name		387308	387794
Brynn	person_name		405120	406140
forestry	occupation		516566	517132
Europe	location		517398	518060
ecology	occupation		534506	535568
Lorena	person_name		670078	670596
Brent	person_name		670798	671184
upcycle club	organization		674640	675704
Biomimicry	occupation		676930	677912
miotics	occupation		678840	680004
forestry	occupation		734678	735260
biology	occupation		820770	821580
Schrodinger	person_name		826354	827096
semiotics	occupation		863422	864212
semiotics	occupation		965740	967000
biosemiotics	occupation		971522	973020
information theory	occupation		991210	992402
Shannon	person_name		1003840	1004342
semantics	occupation		1010068	1010554
information theory	occupation		1052176	1053366
forestry	occupation		1277602	1278152
agents	occupation		1354918	1355460
biosemiotics	occupation		1519228	1520574
agon	drug		1523648	1524730
Bruno Latour	person_name		1679680	1681126
geontology	occupation		1814028	1814818
sciences	occupation		1818492	1818882
social sciences	occupation		1877482	1878368
modeling	occupation		1878890	1879392
social sciences	occupation		1930234	1931456
open wound	injury		2010020	2011356
forestry	occupation		2298562	2299064
forestry	occupation		2299554	2300024
industrialization science	occupation		2317258	2319424
social sciences	occupation		2336622	2337880
forestry science	occupation		2339442	2340792
forestry	occupation		2389602	2390540
Brazil	location		2491082	2491600
forestry	occupation		2687990	2688958
forestry	occupation		2744758	2745372
semantics	occupation		2805942	2806584
semiotics	occupation		2806794	2807344
biosomiotics	occupation		2807392	2808272
semiotics	occupation		2991920	2992744
semantics	occupation		2993042	2993980
forestry	occupation		3156798	3157720
Brynn	person_name		3197590	3198172
TJ	person_name		3198502	3199212
epistemology	occupation		3252698	3253488
epistemology	occupation		3459328	3459942
agent	occupation		3508662	3509018
agents	occupation		3512982	3513338
Daniel	person_name		3938486	3939302
modeler	occupation		4034896	4035366
modeler	occupation		4091104	4091526
agents	occupation		4097476	4098080
game theory	occupation		4149188	4149754
European	nationality		4189324	4189794
social science	occupation		4205028	4205626
Lorena	person_name		4349890	4350586
game theory	occupation		4365308	4366242
addict	medical_condition		4374092	4374386
game theory	occupation		4416908	4417830
Lorena	person_name		4488798	4489412
Lorena	person_name		4490126	4491080
agents	occupation		4528426	4528788
TJ	person_name		4581256	4581614
English	language		4646832	4647222
theoretical physics	occupation		4706752	4707706
mathematics	occupation		4707908	4708426
cognitive economics	occupation		4859578	4860858
Elliot Murphy	person_name		4903168	4904374
Lorena	person_name		4914484	4915710
semiotics	occupation		4925880	4926574
semantics	occupation		4926808	4927730
computational linguistics	occupation		4934380	4935682
neurobiology	occupation		4936076	4936994
Friston	person_name		4976052	4976554
co author	occupation		4979412	4979914
Friston	person_name		4992488	4992878
co author	occupation		4993144	4993614
Friston Pazula	person_name		4999324	5001074
Lorena	person_name		5069870	5070486
Newton	person_name		5222804	5223434
Bayesian mechanics	occupation		5232196	5233574
systems engineering	occupation		5433510	5435370
Beijing	location		5524716	5525038
Beijing	location		5625644	5625998
statistical physics	occupation		5722252	5723154
quantum mechanics	occupation		5723388	5724434
computer engineering	occupation		5879424	5880294
number theory	occupation		6002264	6002974
number theory	occupation		6022108	6022926
Avel	person_name		6067420	6068230
authors	occupation		6116172	6116754
Avel	person_name		6117212	6117762
course coordinator	occupation		6118732	6119666
Avel	person_name		6123130	6124318
social sciences	occupation		6172758	6173452
internship	occupation		6201298	6201784
TJ	person_name		6221724	6222444
Lorena	person_name		6223558	6224040
TJ	organization		6233056	6233504
Lorena	person_name		6234208	6234784
Lorena	person_name		6255922	6256780
