start	end	sentNum	speaker	confidence	text
6820	8144	2	B	1	Hello and welcome.
8342	11152	3	B	0.72419	It's June 15, 2023.
11286	12860	4	B	0.9995	We're in active Livestream.
12940	14290	5	B	0.95	54.2.
14660	17052	6	B	0.99998	So welcome to the active institute.
17196	23708	7	B	0.71767	We're a participatory online institute that is communicating, learning, and practicing applied active inference.
23804	25744	8	B	0.99997	You can find us at the links here.
25942	31576	9	B	0.99999	This is a recorded and an arch Live Livestream, so please provide feedback so we can improve our work.
31758	37640	10	B	0.99996	All backgrounds and perspectives are welcome and we'll follow video etiquette for Live Streams.
38540	45820	11	B	0.99998	Head over to activeinference.org to learn more about participating in Live Streams and other projects.
46480	50540	12	B	0.99843	All right, we're in Live stream 54.2.
50690	62348	13	B	0.99411	Continuing with our third discussion on the work, mathematical foundations for a compositional account of the Bayesian brain, we're back with Dean Ali and Toby.
62524	77904	14	B	0.95788	So if each want to say hello and anything to begin with otherwise, Ali has some questions ready and we have some questions that people have submitted in the meantime as well.
78042	84088	15	B	0.99952	So shall we just proceed to the questions as we have the same people as dot one?
84254	85064	16	B	0.99998	Great.
85262	90010	17	B	0.51783	Okay, I'm going to jump into some of the presubmitted questions.
90320	102700	18	B	0.99468	So would it be correct to call equation 4.2 compositional Bayes theorem, which is or are Bayes's theorem categorically?
103440	112348	19	B	1	And we have the document ready or anything that you want to share, but what does it mean for Bayes theorem to be categorified?
112524	114800	20	B	1	And where is that in the dissertation?
115140	117664	21	A	0.99955	Yeah, okay, so that's a nice question.
117862	134440	22	A	1	I would say that equation 4.2 is like a sort of basic is like a sort of it's like a basic representation of the product law of probability theory.
135100	139300	23	A	1	And so I wouldn't say it's particularly inherently compositional.
139380	146472	24	A	0.99952	It's just something that is just like an axiom that is just like a consequence of the sort of standard axioms of probability theory.
146616	160336	25	A	1	The thing that makes it a little bit different from the way that it's normally written in probability theory is that I've kind of annotated those P symbols which represent the probability of a certain event.
160518	172416	26	A	0.99918	I've annotated them each with a subscript, and that subscript represents where the probability is coming from or the probability according to whom.
172608	174550	27	A	0.99955	That's kind of how you can think of it.
175400	194540	28	A	0.99	And so normally I find this kind of like P notation to be a little bit confusing because people often write P of B given A, and they also write like P of X given Y or like P of W comma a comma z.
194690	201020	29	A	1	And so in each of those cases, the sort of content of the P is kind of different.
201090	218932	30	A	0.96818	Like the A and the B might be events of a different kind to X and Y, and yet they're all put into this P symbol, whereas in this case, with the annotations, it says, like, as I say, it says according to what?
219066	233716	31	A	1	And so here the little subscript C represents what's typically called in compositional probability theory like a channel or a kernel.
233908	239668	32	A	0.99988	But that is like a kind of abstract way of just saying conditional probability distribution.
239844	249852	33	A	1	And so the little C means it's a conditional probability distribution from space X to Y, a space Y.
249906	260144	34	A	1	And here I'm thinking of the B as being an event of type Y and A as being an event of type A, sorry, of type x.
260262	272564	35	A	1	And so the PC says it's the probability of the event B of type Y given the event A of type x.
272762	280504	36	A	1	And so that means that when you plug these kind of flows of information together, you make sure the types match.
280622	284120	37	A	0.99953	It's kind of like working with a strongly typed programming language.
284780	299150	38	A	0.99879	So that type information is like the main thing that's different between this and the standard product rule of probability and it's from that product rule of probability theory that you can just write down Bayes theorem, which is the equation 4.3.
299520	321120	39	A	1	I would say that the reason why I slightly hesitate to call equation 4.3 like a sort of abstract or categorical version of Bayes theorem, even though it's annotated by these channels, is because you have this division.
321280	332820	40	A	1	And that division isn't something that's well defined in all categories, in all situations that you might want to consider probability theory.
332900	354270	41	A	0.99982	For instance, you might have this P of C dot pi thing and that means the kind of Y marginal of the joint distribution or it's otherwise known as the push forward of the distribution pi through the channel C.
355120	360432	42	A	0.7	That thing might have what's known as measure zero, which means the probability might be zero.
360486	365410	43	A	1	And so the division isn't very well defined and so that expression doesn't always make sense.
366600	379796	44	A	1	Now the thing that does always make sense on the other hand is that just product law equation which tells you how the two ways you can write down this joint distribution.
379988	395580	45	A	0.99988	So if you have a joint distribution like on the space x times y, I've written it there, then you can decompose it into a prior on x and a channel from x to y.
395730	407170	46	A	0.9996	So that then if you put the information from the prior through the channel you get the marginal on y and that's that push forward thing.
407540	418420	47	A	0.99977	Or you could write the joint distribution as a prior on Y and a conditional distribution from Y to x.
418570	422864	48	A	1	And the thing is, obviously we're talking about the same joint distribution in both cases.
