text	entity_type		start	end
october 14, 2022	date		2762	5840
researchers	occupation		210756	211402
electronics	occupation		398602	399264
conversation analysis	occupation		436100	437760
CA conversation analysis	occupation		443414	445388
conversation analyst	occupation		540198	541036
ollie	person_name		575028	575546
Eric	person_name		580500	580826
Stuart Kaufman	person_name		598968	600146
Kaufman	person_name		637640	638414
Bayesian mechanics	occupation		749112	750114
Bayesian physics	occupation		750162	751270
Lawrence	person_name		841784	842690
Lawrence	person_name		846344	846734
COVID	medical_condition		950188	950870
digital signals engineering	occupation		1254602	1257150
delusions	medical_condition		1448496	1449014
delusions	medical_condition		1459876	1460314
Apprentices	occupation		1521848	1522478
linguistic modeling	occupation		1542400	1546490
physiology	occupation		1706368	1707126
Friston	person_name		2007312	2008150
Dominic A. Friston	person_name		2025652	2027790
Bach	person_name		2154860	2155282
Godel	person_name		2167088	2167526
usherbach	person_name		2167558	2168490
phobia	medical_condition		2229418	2229952
psychology	occupation		2273370	2273824
cognitive science	occupation		2274058	2274976
Fields, Levin	person_name		2432570	2433744
Yaakov	person_name		2575548	2575986
Dali	person_name		2576124	2576466
Dalton Ali	person_name		2576668	2579634
Jensen	person_name		2866548	2867018
computational pathology	occupation		3001140	3003040
Eric	person_name		3119464	3120130
