text	entity_type		start	end
July 27, 2023	date		9272	10796
Acton	location		12818	13352
Valeria Beckhatini	person_name		16066	17496
Anna C unica	person_name		17762	19224
Valeria	person_name		38682	39264
Diana	person_name		42238	42676
Anna	person_name		45406	45924
philosophy	occupation		167670	168800
Latin	language		186682	187024
cognitive science	occupation		202078	202756
philosophy	occupation		386058	386528
cognitive science	occupation		386634	387456
Gallagher	person_name		405022	405572
Mastinger	person_name		618420	619196
Buddhist	religion		631302	632156
Buddhism	religion		637098	637860
psychology	occupation		645166	645780
Matthew	person_name		679366	680080
meditator	occupation		775478	776012
meditators	occupation		781088	782180
western	nationality		800622	801076
philosophy	occupation		801108	801508
Eastern	nationality		803918	804244
philosophy	occupation		804990	805648
Buddhist	religion		816658	817272
phenomenology	occupation		856866	858060
USA	location		867602	867976
Jumpren	person_name		951774	952324
body scanning	medical_process		973638	974796
anxiety	medical_condition		1024780	1025244
Fink	person_name		1035594	1036448
Pink	person_name		1063586	1063816
psychopathology	occupation		1126660	1127580
Friesen	person_name		1163746	1164376
odynamics	occupation		1409362	1410216
schrodinger	person_name		1411122	1412300
fermology	occupation		1617122	1617748
Nikka	person_name		1632486	1632968
Portugal	location		1661362	1661896
California	location		1662098	1663020
sensory deprivation states	medical_condition		1682842	1684436
Sensory deprivation states	medical_condition		1690848	1692312
LeMans	person_name		1813266	1813816
medicine	occupation		2164226	2164760
psychedelic	drug		2187866	2188880
Laconin	location		2369282	2369896
Laconin	location		2372178	2372776
Lactar	location		2372978	2373428
meditation	medical_process		2391770	2392352
depersonalization	medical_condition		2500638	2501880
depersonization	medical_condition		2503246	2504280
depression	medical_condition		2540266	2540928
anxiety	medical_condition		2541818	2542580
Chow Nuka	person_name		2544160	2544836
AIDS	medical_condition		2547092	2547880
depression	medical_condition		2608160	2609048
mood disorders	medical_condition		2634298	2635392
depression	medical_condition		2636282	2636816
anxiety	medical_condition		2637018	2637780
Cambridge	location		2653966	2654516
Depression	medical_condition		2654548	2655252
Humboldt University	organization		2677686	2678812
Simon Wendelman	person_name		2680502	2681692
University College London	organization		2683140	2685116
Ines	person_name		2685382	2685884
Joseph	person_name		2686182	2687040
depression	medical_condition		2697674	2698428
depression	medical_condition		2766578	2767336
Valeria	person_name		2860482	2861420
Donna	person_name		2862952	2863740
Valeria	person_name		2864898	2865740
Anna	person_name		2874076	2874604
Daniel	person_name		2968254	2969080
Valerian	person_name		3079118	3079764
julia	person_name		3085036	3085564
Simone	person_name		3085862	3086640
Simone	person_name		3087686	3088044
Valerie	person_name		3116446	3116788
Danielle	person_name		3138358	3138748
Lisbon	location		3161438	3161956
Lisbon	location		3168398	3168948
scientific	occupation		3182072	3182600
Julia	person_name		3195540	3196204
Simone	person_name		3196438	3196776
Valerie	person_name		3364958	3365428
Valerie	person_name		3366606	3367028
Simon	person_name		3473298	3473576
Simon	person_name		3476242	3476664
Ana	person_name		3488482	3488788
Anna	person_name		3500340	3500968
Julia	person_name		3618462	3618804
Julia	person_name		3620398	3621160
Varia	person_name		3631138	3631464
Anna	person_name		3641942	3642236
Simon	person_name		3667326	3667892
Simon	person_name		3669262	3669604
EEG	medical_process		3944486	3945676
neurophysiological measurement	medical_process		3946838	3948924
Valeria	person_name		3963182	3963812
Valerie	person_name		4151498	4151856
Enlightenment	event		4153402	4154560
phrenology	occupation		4157080	4157792
Thomas Betziger	person_name		4160458	4161248
G Pagnani	person_name		4211454	4212644
PhD student	occupation		4281922	4282572
Libetise	person_name		4285440	4286468
Depersonalization	medical_condition		4379218	4379976
Simon	person_name		4452466	4452916
moderator	occupation		4454854	4455324
Daniel	person_name		4455558	4455836
Valeria	person_name		4457878	4458444
Anna	person_name		4463718	4464480
Daniel	person_name		4474238	4474724
Simon	person_name		4626542	4626964
Daniel	person_name		4637026	4637464
Simone	person_name		4713482	4714144
Daniel	person_name		4764298	4764736
activists	occupation		4775098	4775504
Simone	person_name		4845154	4845704
Julia	person_name		4845874	4846264
depersonalization disorder	medical_condition		4874126	4875700
disorder	medical_condition		4889554	4889928
Julia	person_name		4901822	4902692
Valeria	person_name		4944702	4945044
Anna	person_name		4971798	4972640
Valeria	person_name		5043342	5044280
Dan	person_name		5047262	5047880
Anne Andy	person_name		5062898	5063460
phenomenology	occupation		5088078	5088628
fMRI	medical_process		5184838	5185372
Daniel	person_name		5197038	5197812
