docLabel	start	end	count	rank	text
ma006-1	3237168	4996690	4	0.08	active inference theory
ma006-1	13772	5062814	59	0.07	active inference
ma006-1	4489390	4564494	2	0.07	quantum active inference
ma006-1	2168288	2169850	1	0.06	active inference textbooks
ma006-1	66668	4795130	21	0.06	category theory
ma006-1	3228386	3229762	1	0.06	active inference modeling
ma006-1	911772	2540862	2	0.06	active inference text
ma006-1	3929852	3931634	1	0.06	continuous time generative models
ma006-1	22812	5203686	43	0.06	string diagrams
ma006-1	107516	4386250	6	0.06	applied category theory
ma006-1	156310	4678470	8	0.06	Bayesian inference
ma006-1	1194628	2694234	3	0.06	open generative models
ma006-1	4006628	4007694	1	0.06	continuous time thing
ma006-1	13772	15782	1	0.06	active inference math stream number
ma006-1	4534444	4678470	4	0.06	classical Bayesian inference
