docLabel	start	end	count	rank	text
gs045-1C	13978	15322	1	0.06	large scale systems
gs045-1C	66200	67406	1	0.06	nested parts
gs045-1C	479130	480738	1	0.06	larger scale cognition
gs045-1C	569768	570900	1	0.05	important questions
gs045-1C	168070	168898	1	0.05	most information
gs045-1C	719548	720358	1	0.05	multiscale systems
gs045-1C	594230	594606	1	0.04	lots
gs045-1C	223624	686030	2	0.04	free energy
gs045-1C	338434	339834	1	0.04	hive mind thing
gs045-1C	55236	56590	1	0.04	different scales
gs045-1C	728912	729834	1	0.04	information processing
gs045-1C	216968	218642	1	0.04	minimal intentionality pan
gs045-1C	674528	676330	1	0.04	qualia type discussion
gs045-1C	258388	260190	1	0.04	nested structure
gs045-1C	149536	152698	1	0.04	large scale emerging coordinating patterns
