key	relevance
Technology&Computing>ArtificialIntelligence	1.0
Technology&Computing>Computing>ProgrammingLanguages	0.3230428099632263
Science>Physics	0.2076774537563324
PersonalFinance>FinancialPlanning	0.19402869045734406
Technology&Computing>Robotics	0.10569129139184952
Science	0.10165129601955414
Education>EducationalAssessment	0.0922188088297844
Technology&Computing>Computing	0.08785105496644974
RealEstate>RetailProperty	0.07738155871629715
HealthyLiving>FitnessAndExercise	0.07705572992563248
VideoGaming>VideoGameGenres>EducationalVideoGames	0.07441957294940948
Education>EducationalAssessment>StandardizedTesting	0.0733027532696724
Technology&Computing>Computing>DataStorageAndWarehousing	0.048772890120744705
Science>SpaceAndAstronomy	0.04851573333144188
Technology&Computing	0.04718416929244995
BusinessAndFinance>Industries>PowerAndEnergyIndustry	0.04688112065196037
Hobbies&Interests>GamesAndPuzzles	0.032722897827625275
VideoGaming>VideoGameGenres>ExerciseAndFitnessVideoGames	0.032517142593860626
VideoGaming>VideoGameGenres>SimulationVideoGames	0.03127053380012512
HealthyLiving	0.029482215642929077
