key	relevance
BusinessAndFinance>Industries>TechnologyIndustry	1.0
Technology&Computing	0.7799081802368164
Science>Genetics	0.5697031617164612
Pets>Reptiles	0.5659204721450806
Science>BiologicalSciences	0.4355156719684601
Science	0.42347022891044617
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.3607981204986572
Technology&Computing>ArtificialIntelligence	0.322683185338974
Hobbies&Interests>ContentProduction>FreelanceWriting	0.31984615325927734
Science>Geology	0.3080093264579773
BooksAndLiterature>Biographies	0.22262753546237946
FineArt>DigitalArts	0.21016722917556763
Pets>Birds	0.15904635190963745
FamilyAndRelationships>Parenting>ParentingBabiesAndToddlers	0.15671676397323608
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.1538839191198349
FamilyAndRelationships>Parenting>ParentingChildrenAged4-11	0.15185849368572235
BusinessAndFinance>Industries>PublishingIndustry	0.14692582190036774
BooksAndLiterature>ArtAndPhotographyBooks	0.14419709146022797
Technology&Computing>Computing	0.13864591717720032
FineArt>Design	0.13831393420696259
