key	relevance
Technology&Computing>ArtificialIntelligence	1.0
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.11169526726007462
Technology&Computing>Robotics	0.04759267717599869
Technology&Computing>Computing	0.0419742725789547
PersonalFinance>PersonalInvesting	0.028507649898529053
PersonalFinance>PersonalInvesting>Options	0.026826662942767143
Science>Physics	0.025481589138507843
Sports>ExtremeSports>Climbing	0.023785337805747986
Technology&Computing>Computing>ComputerSoftwareAndApplications>WebConferencing	0.022581933066248894
NewsAndPolitics>Weather	0.019322389736771584
Technology&Computing	0.018522296100854874
Technology&Computing>Computing>ProgrammingLanguages	0.01664857193827629
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.015493039973080158
VideoGaming>VideoGameGenres>SimulationVideoGames	0.012803161516785622
MedicalHealth>DiseasesAndConditions>EndocrineAndMetabolicDiseases>HormonalDisorders	0.01200620923191309
Travel>TravelLocations>PolarTravel	0.01012745127081871
Hobbies&Interests>ParanormalPhenomena	0.008415395393967628
Science	0.008145407773554325
Science>BiologicalSciences	0.006122614722698927
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.005727788433432579
