"Start Time","End Time","Transcript"
"00;00;08;17","00;00;08;26","Hello,"
"00;00;08;26","00;00;09;12","everyone."
"00;00;09;12","00;00;09;27","Welcome"
"00;00;09;27","00;00;10;13","to"
"00;00;10;13","00;00;10;19","the"
"00;00;10;19","00;00;11;00","Active"
"00;00;11;00","00;00;11;13","Inference"
"00;00;11;13","00;00;12;05","Lab."
"00;00;12;12","00;00;12;20","We're"
"00;00;12;20","00;00;13;04","here"
"00;00;13;04","00;00;13;19","on"
"00;00;13;19","00;00;14;26","August 17th,"
"00;00;14;26","00;00;16;20","2021"
"00;00;16;20","00;00;17;04","in"
"00;00;17;04","00;00;17;23","Livestream"
"00;00;17;23","00;00;18;05","number"
"00;00;18;05","00;00;19;22","26.2."
"00;00;19;22","00;00;20;19","On"
"00;00;20;24","00;00;20;28","the"
"00;00;20;28","00;00;21;06","second"
"00;00;21;06","00;00;21;19","discussion"
"00;00;21;19","00;00;21;21","that"
"00;00;21;21","00;00;21;25","we're"
"00;00;21;25","00;00;22;06","having"
"00;00;22;06","00;00;22;14","as a"
"00;00;22;14","00;00;22;25","group"
"00;00;22;25","00;00;23;04","on the"
"00;00;23;04","00;00;23;13","paper,"
"00;00;23;13","00;00;23;25","Bayesian"
"00;00;23;25","00;00;24;20","Mechanics"
"00;00;24;20","00;00;24;26","for"
"00;00;24;26","00;00;25;12","stationary"
"00;00;25;12","00;00;26;20","processes."
"00;00;27;20","00;00;28;01","Welcome"
"00;00;28;01","00;00;28;08","to the"
"00;00;28;08","00;00;28;18","Active"
"00;00;28;18","00;00;28;29","Inference"
"00;00;28;29","00;00;29;07","Lab,"
"00;00;29;07","00;00;30;04","everyone."
"00;00;30;06","00;00;30;18","We are"
"00;00;30;18","00;00;30;20","a"
"00;00;30;20","00;00;31;18","participatory"
"00;00;31;18","00;00;32;02","online"
"00;00;32;02","00;00;32;17","lab"
"00;00;32;17","00;00;32;28","that is"
"00;00;32;28","00;00;33;21","communicating,"
"00;00;33;21","00;00;34;09","learning"
"00;00;34;09","00;00;34;14","and"
"00;00;34;14","00;00;35;13","practicing"
"00;00;35;13","00;00;35;25","applied"
"00;00;35;25","00;00;36;02","active"
"00;00;36;02","00;00;36;27","inference."
"00;00;36;27","00;00;37;02","You"
"00;00;37;02","00;00;37;05","can"
"00;00;37;05","00;00;37;20","find us"
"00;00;37;20","00;00;38;00","at the"
"00;00;38;00","00;00;38;11","links"
"00;00;38;11","00;00;38;19","here"
"00;00;38;19","00;00;39;29","on this page."
"00;00;40;03","00;00;40;14","This is a"
"00;00;40;14","00;00;41;00","recorded"
"00;00;41;00","00;00;41;07","in an"
"00;00;41;07","00;00;41;22","archived"
"00;00;41;22","00;00;41;29","live"
"00;00;41;29","00;00;42;14","stream,"
"00;00;42;14","00;00;42;21","so"
"00;00;42;21","00;00;43;00","please"
"00;00;43;00","00;00;43;10","provide"
"00;00;43;10","00;00;43;12","us"
"00;00;43;12","00;00;43;29","with feedback"
"00;00;43;29","00;00;44;05","so"
"00;00;44;05","00;00;44;08","that"
"00;00;44;08","00;00;44;16","we can"
"00;00;44;16","00;00;45;00","improve"
"00;00;45;00","00;00;45;11","on our"
"00;00;45;11","00;00;46;02","work."
"00;00;46;11","00;00;46;18","All"
"00;00;46;18","00;00;47;07","backgrounds"
"00;00;47;07","00;00;47;11","and"
"00;00;47;11","00;00;48;02","perspectives"
"00;00;48;02","00;00;48;07","are"
"00;00;48;07","00;00;48;17","welcome"
"00;00;48;17","00;00;49;03","here"
"00;00;49;10","00;00;49;18","and"
"00;00;49;18","00;00;49;21","will"
"00;00;49;21","00;00;49;29","be"
"00;00;49;29","00;00;50;20","following"
"00;00;50;20","00;00;51;00","video"
"00;00;51;00","00;00;51;17","etiquette"
"00;00;51;17","00;00;51;22","for"
"00;00;51;22","00;00;52;06","Livestream"
"00;00;52;06","00;00;52;10","so"
"00;00;52;10","00;00;52;17","we can"
"00;00;52;17","00;00;52;23","use"
"00;00;52;23","00;00;52;26","the"
"00;00;52;26","00;00;53;04","Raise"
"00;00;53;04","00;00;53;19","Hand"
"00;00;53;19","00;00;54;06","feature"
"00;00;54;06","00;00;54;22","in"
"00;00;54;22","00;00;55;19","Gypsy."
"00;00;57;00","00;00;57;12","This short"
"00;00;57;12","00;00;57;28","link"
"00;00;57;28","00;00;58;07","has"
"00;00;58;07","00;00;58;10","the"
"00;00;58;10","00;00;58;29","upcoming"
"00;00;58;29","00;00;59;08","live"
"00;00;59;08","00;00;59;18","stream"
"00;00;59;18","00;01;01;00","discussions."
"00;01;01;00","00;01;01;07","Here"
"00;01;01;07","00;01;01;17","we are"
"00;01;01;17","00;01;01;26","on"
"00;01;01;26","00;01;03;09","August 17th"
"00;01;03;09","00;01;03;26","in our"
"00;01;03;26","00;01;04;25","last"
"00;01;04;25","00;01;05;11","discussion"
"00;01;05;11","00;01;05;14","on"
"00;01;05;14","00;01;05;18","this"
"00;01;05;18","00;01;05;28","paper."
"00;01;05;28","00;01;07;11","26.2."
"00;01;07;11","00;01;07;21","Next"
"00;01;07;21","00;01;07;29","week"
"00;01;07;29","00;01;08;04","we'll"
"00;01;08;04","00;01;08;12","be"
"00;01;08;12","00;01;08;19","heading"
"00;01;08;19","00;01;08;27","into"
"00;01;08;27","00;01;09;18","a new paper"
"00;01;09;18","00;01;09;23","and"
"00;01;09;23","00;01;10;03","we still"
"00;01;10;03","00;01;10;10","have"
"00;01;10;10","00;01;10;15","some"
"00;01;10;15","00;01;11;02","openings"
"00;01;11;02","00;01;11;11","in the"
"00;01;11;11","00;01;11;26","coming"
"00;01;11;26","00;01;12;08","weeks."
"00;01;12;08","00;01;12;19","So if"
"00;01;12;19","00;01;12;29","anyone"
"00;01;12;29","00;01;13;07","has a"
"00;01;13;07","00;01;14;01","suggestion"
"00;01;14;01","00;01;14;15","or an"
"00;01;14;15","00;01;14;24","author"
"00;01;14;24","00;01;14;27","to"
"00;01;14;27","00;01;15;16","contact"
"00;01;15;16","00;01;15;25","or"
"00;01;15;25","00;01;16;05","wants"
"00;01;16;05","00;01;16;08","to"
"00;01;16;08","00;01;16;21","discuss"
"00;01;16;21","00;01;17;02","their own"
"00;01;17;02","00;01;17;28","paper,"
"00;01;17;28","00;01;18;05","just"
"00;01;18;05","00;01;18;27","let us know"
"00;01;18;27","00;01;19;12","and we"
"00;01;19;12","00;01;19;17","can"
"00;01;19;17","00;01;19;21","try"
"00;01;19;21","00;01;19;24","to"
"00;01;19;24","00;01;19;28","make"
"00;01;19;28","00;01;20;01","that"
"00;01;20;01","00;01;20;11","happen"
"00;01;22;11","00;01;22;26","today"
"00;01;22;26","00;01;23;16","in"
"00;01;23;16","00;01;23;28","active"
"00;01;23;28","00;01;24;13","stream"
"00;01;24;13","00;01;24;21","number"
"00;01;24;21","00;01;25;24","26.2,"
"00;01;25;24","00;01;26;10","the goal"
"00;01;26;10","00;01;27;02","is to"
"00;01;27;02","00;01;27;21","continue"
"00;01;27;21","00;01;28;08","learning"
"00;01;28;08","00;01;28;13","and"
"00;01;28;13","00;01;29;08","discussing"
"00;01;29;08","00;01;29;22","and"
"00;01;29;22","00;01;30;13","unpacking"
"00;01;30;13","00;01;30;24","this"
"00;01;30;24","00;01;31;04","awesome"
"00;01;31;04","00;01;31;18","paper"
"00;01;31;18","00;01;31;24","that"
"00;01;31;24","00;01;31;29","we've"
"00;01;31;29","00;01;32;09","been"
"00;01;32;09","00;01;32;19","thinking"
"00;01;32;19","00;01;32;26","about"
"00;01;32;26","00;01;32;29","for"
"00;01;32;29","00;01;33;01","the"
"00;01;33;01","00;01;33;08","last"
"00;01;33;08","00;01;33;12","few"
"00;01;33;12","00;01;34;05","weeks."
"00;01;34;05","00;01;34;17","Bayesian"
"00;01;34;17","00;01;35;04","mechanics"
"00;01;35;04","00;01;35;09","for"
"00;01;35;09","00;01;35;26","stationary"
"00;01;35;26","00;01;36;24","processes."
"00;01;36;24","00;01;37;05","And"
"00;01;37;05","00;01;37;09","we're"
"00;01;37;09","00;01;37;20","really"
"00;01;37;20","00;01;38;08","appreciative"
"00;01;38;08","00;01;38;24","that"
"00;01;38;24","00;01;39;06","the first"
"00;01;39;06","00;01;39;17","author"
"00;01;39;17","00;01;40;00","is"
"00;01;40;00","00;01;40;09","here"
"00;01;40;09","00;01;41;00","to"
"00;01;41;00","00;01;41;10","join"
"00;01;41;10","00;01;41;16","with"
"00;01;41;16","00;01;42;06","us and"
"00;01;42;06","00;01;42;12","to"
