key	relevance
Hobbies&Interests>ParanormalPhenomena	1.0
Science	0.981809139251709
Technology&Computing>ArtificialIntelligence	0.3486848771572113
Religion&Spirituality>Spirituality	0.1948884129524231
NewsAndPolitics	0.17064613103866577
NewsAndPolitics>NationalNews	0.12294182181358337
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.10256073623895645
PopCulture>CelebrityScandal	0.10129371285438538
Hobbies&Interests>ContentProduction>FreelanceWriting	0.09579844772815704
HealthyLiving>Wellness>AlternativeMedicine>HolisticHealth	0.08087955415248871
Religion&Spirituality	0.08010078221559525
HealthyLiving>Wellness>AlternativeMedicine	0.06678059697151184
Hobbies&Interests>ContentProduction	0.047902122139930725
BusinessAndFinance>Business>BusinessI.T.	0.044832825660705566
BusinessAndFinance>Industries>MediaIndustry	0.04376358166337013
Technology&Computing	0.04323070868849754
Technology&Computing>Computing>Internet>ITAndInternetSupport	0.03862013667821884
Technology&Computing>Computing>DataStorageAndWarehousing	0.03579774126410484
Science>Chemistry	0.03268608823418617
Science>Physics	0.03236940875649452
