text	entity_type		start	end
September 9, 2022	date		3604	5822
Brock	person_name		96902	97164
math	occupation		104326	105196
systems modeling	occupation		271286	272320
cybernetic modeling	occupation		280538	282272
Brock	person_name		304666	305072
Lyle	person_name		369372	369714
Ali	person_name		422620	423430
neuroscientific modeling	occupation		485184	486914
Tin Bergen	person_name		558408	559470
aristotle	person_name		561262	562058
modeler	occupation		567370	568710
Bayesian mechanics	occupation		816218	817696
modeler	occupation		1589672	1590610
Brock	person_name		1675780	1676510
Shankarian	person_name		1873318	1873964
analysis theory	occupation		1874012	1875420
LW	organization		2076662	2077372
Ben Gertzel	person_name		2569962	2570816
Pink Schweight	person_name		2574920	2575788
Pei Wang	person_name		2576446	2577268
psychoanalytic	occupation		2717438	2718372
Bayes	person_name		2862038	2862364
machine learning	occupation		3094476	3095158
deep learning	occupation		3095244	3095878
robotics	occupation		3095964	3096658
deep learning	occupation		3102398	3103220
Bengio	person_name		3117908	3118910
Mirza	person_name		3120148	3120966
gans	person_name		3146412	3147030
Gans	person_name		3154832	3155450
Gans	person_name		3162392	3163090
Gantz	person_name		3183792	3184570
Gans	person_name		3245764	3246292
Fields	person_name		3368742	3369276
co author	occupation		3377254	3377856
