"Start Time","End Time","Transcript"
"00;00;05;20","00;00;06;00","Hello,"
"00;00;06;00","00;00;06;15","everyone."
"00;00;06;15","00;00;06;26","Welcome"
"00;00;06;26","00;00;07;01","to"
"00;00;07;01","00;00;07;13","Acton"
"00;00;07;13","00;00;07;29","Slab"
"00;00;07;29","00;00;08;17","Livestream"
"00;00;08;17","00;00;08;25","number"
"00;00;08;25","00;00;10;04","25.2"
"00;00;10;04","00;00;10;15","today"
"00;00;10;15","00;00;10;20","is"
"00;00;10;20","00;00;11;24","July 13th"
"00;00;11;24","00;00;12;04","20,"
"00;00;12;04","00;00;12;20","21."
"00;00;12;20","00;00;12;24","And"
"00;00;12;24","00;00;12;27","we're"
"00;00;12;27","00;00;13;04","going"
"00;00;13;04","00;00;13;11","to be"
"00;00;13;11","00;00;13;22","talking"
"00;00;13;22","00;00;14;00","about"
"00;00;14;00","00;00;14;08","this"
"00;00;14;08","00;00;15;03","paper,"
"00;00;15;03","00;00;15;07","the"
"00;00;15;07","00;00;15;28","computational"
"00;00;15;28","00;00;16;10","boundary"
"00;00;16;10","00;00;16;14","of"
"00;00;16;14","00;00;16;28","a self"
"00;00;16;28","00;00;17;16","developmental"
"00;00;17;16","00;00;17;23","bio"
"00;00;17;23","00;00;18;14","electricity"
"00;00;18;14","00;00;18;29","drives,"
"00;00;18;29","00;00;20;07","multicellularity"
"00;00;20;07","00;00;20;15","and"
"00;00;20;15","00;00;21;01","skill"
"00;00;21;01","00;00;21;09","free"
"00;00;21;09","00;00;22;15","cognition."
"00;00;23;13","00;00;24;00","We are here"
"00;00;24;00","00;00;24;02","with"
"00;00;24;02","00;00;24;20","the author,"
"00;00;24;20","00;00;24;29","Mike"
"00;00;24;29","00;00;25;21","Levin."
"00;00;26;06","00;00;26;18","We"
"00;00;26;18","00;00;27;00","are a"
"00;00;27;00","00;00;27;21","participatory"
"00;00;27;21","00;00;28;03","online"
"00;00;28;03","00;00;28;16","lab"
"00;00;28;16","00;00;29;00","that is"
"00;00;29;00","00;00;29;20","communicating,"
"00;00;29;20","00;00;30;01","learning"
"00;00;30;01","00;00;30;04","and"
"00;00;30;04","00;00;30;21","practicing"
"00;00;30;21","00;00;31;05","applied"
"00;00;31;05","00;00;31;14","active"
"00;00;31;14","00;00;32;11","inference."
"00;00;32;11","00;00;32;14","You"
"00;00;32;14","00;00;32;19","can"
"00;00;32;19","00;00;33;00","find us"
"00;00;33;00","00;00;33;07","at the"
"00;00;33;07","00;00;33;18","links"
"00;00;33;18","00;00;33;23","here"
"00;00;33;23","00;00;34;00","on this"
"00;00;34;00","00;00;34;20","page."
"00;00;34;20","00;00;35;24","This is a recorded"
