text	entity_type		start	end
July 11, 2023	date		4500	7646
social sciences	occupation		9908	11066
Ben White	person_name		13556	14238
Ben	person_name		18212	18554
Ava	person_name		41964	42366
PhD student	occupation		48416	49290
philosophy	occupation		49568	50006
University of Sussex	organization		50224	51094
Andy Clark	person_name		51812	52522
Avel	person_name		53012	53466
phenomenology	occupation		95632	96694
Karl Friston	person_name		172328	173038
Ramstead	person_name		551632	552086
Bruineberg	person_name		568312	568926
scientist	occupation		573022	573678
scientists	occupation		578412	578994
Amazon rainforest	location		709028	710186
Amazon	location		740144	740970
Amazon	location		755444	755786
agents	occupation		808548	808910
James Gibson	person_name		831324	832482
Karl Friston	person_name		857042	858160
theoretical cognitive science	occupation		864166	865932
radical enactivism	political_affiliation		956844	958124
enactivism	political_affiliation		975818	976284
philosophy	occupation		996258	996616
cognitive science	occupation		996754	997592
cognitive science	occupation		1096594	1097384
Jakob Hohwy	person_name		1108566	1109436
Andy Clark	person_name		1122106	1123216
Jakob Howie	person_name		1123408	1124912
Clark	person_name		1133444	1133812
Howie	person_name		1149586	1149896
Clark	person_name		1150034	1150344
Maxwell Ramstead	person_name		1153542	1154428
Howie	person_name		1171488	1171856
Avel Constant	person_name		1179582	1180532
Andy Clark	person_name		1180862	1181444
Karl Friston	person_name		1181614	1182564
authors	occupation		1268458	1268784
cognitiveism	political_affiliation		1362886	1363564
cognitiveism	political_affiliation		1366518	1367336
Andy Clark	person_name		1411382	1412092
authors	occupation		1413228	1413516
Clark	person_name		1439660	1440212
Clark	person_name		1463142	1463672
philosophy of mind	occupation		1581608	1582558
theoretical cognitive science	occupation		1582664	1584402
Andy Clark	person_name		1615252	1616154
intravenous drip	medical_process		1620792	1621854
Agents	occupation		1629416	1629778
folk psychology	occupation		1655732	1656618
folk psychology	occupation		1657700	1658490
folk psychology	occupation		1662260	1663274
folk psychology	occupation		1680970	1681890
folk psychology	occupation		1699008	1699782
Friston Thornton	person_name		1723992	1724942
Clark	person_name		1725144	1725550
Colin Klein	person_name		1757792	1758554
Klein	person_name		1768776	1769134
Klein	person_name		1775112	1775454
Klein	person_name		1798592	1799174
Klein	person_name		1879944	1880578
Andy Clark	person_name		1936476	1937074
folk psychology	occupation		1958372	1959470
folk psychology	occupation		1983132	1984018
Ryan Smith	person_name		1989788	1990546
folk psychology	occupation		1996118	1997210
math	occupation		2006432	2006706
folk psychology	occupation		2016404	2017114
Joe Dewhurst	person_name		2025512	2026526
folk psychology	occupation		2033468	2034386
folk psychology	occupation		2063252	2064350
Duhurst	person_name		2076168	2076686
folk psychology	occupation		2078712	2079858
Andy Clark	person_name		2123336	2124014
Clark	person_name		2128232	2128574
Clark	person_name		2144128	2144454
Clark	person_name		2177102	2177454
Klein	person_name		2181532	2181954
Clark	person_name		2184092	2184514
Clark	person_name		2276808	2277326
Clark	person_name		2355490	2356042
folk psychology	occupation		2362292	2363466
Clark	person_name		2374696	2375102
Klein	person_name		2376680	2377086
Klein	person_name		2396352	2396726
French Foreign Legion	organization		2414004	2414986
Clark	person_name		2420792	2421262
Clark	person_name		2431688	2432014
psychology	occupation		2438402	2438850
French Foreign Legion	organization		2466084	2467246
Andy Clark	person_name		2507476	2508154
folk psychology	occupation		2518888	2519806
folk psychology	occupation		2546112	2547110
folk psychology	occupation		2568440	2569570
psychedelics	drug		2628570	2629490
psychedelics	drug		2638732	2639394
George Dean	person_name		2640732	2641810
inezito Jonas Mago	person_name		2645530	2647526
Robert Carhartt harris	person_name		2647728	2648982
Fernando Rosas	person_name		2649760	2650742
authors	occupation		2653504	2653766
Lisa Feldman Barrett	person_name		2673710	2675182
engineers	occupation		2841884	2842422
mental health issues	medical_condition		2895360	2896458
depression	medical_condition		2896544	2897530
Lisa Feldman Barrett	person_name		2927576	2928878
Shaktor	person_name		2997068	2997758
Singer	person_name		2998032	2998502
emotion researchers	occupation		3001232	3002838
injected subjects	medical_process		3006100	3008234
injected them with adrenaline	medical_process		3012212	3013914
Wyoming	location		3097888	3098694
Andy	person_name		3272856	3273326
George Ben white	person_name		3299888	3300886
Dean	person_name		3354436	3354794
George Dean	person_name		3382236	3383170
George Deane	person_name		3384508	3385154
Mark Miller	person_name		3385202	3385954
Sam Wilkinson	person_name		3386252	3387522
psychedelics	drug		3490028	3490674
psychedelics	drug		3491568	3492134
therapy	medical_process		3492432	3493174
Sarah Garfinkel	person_name		3543600	3545014
UCL	organization		3546048	3546662
Sussex	organization		3547488	3548278
Professor	occupation		3549950	3550486
Garfinkel	person_name		3550518	3551206
psychopathologies	medical_condition		3560202	3561370
PTSD	medical_condition		3563348	3564042
anxiety disorders	medical_condition		3564436	3565882
agent	occupation		3570376	3571166
disorders	medical_condition		3581644	3582470
Barrett	person_name		3675240	3675806
Axel Constant	person_name		3710494	3711316
addiction	medical_condition		3752106	3752960
addiction	medical_condition		3754938	3755296
phenomenology	occupation		3786918	3787836
neurocomputational phenomenology	occupation		3791300	3793760
author	occupation		3810526	3810836
Mark Miller	person_name		3810868	3811572
Mark Miller	person_name		3812030	3812900
author	occupation		3813982	3814468
25th	date		3819038	3819700
Mark Miller	person_name		3825362	3826072
agent	occupation		3877618	3878284
phenomenology	occupation		3894086	3895068
inference theorists	occupation		3896284	3897392
Matthew Ratcliffe	person_name		3914620	3915796
University of York	organization		3916654	3917732
Ratcliffe	person_name		3929954	3931040
Radcliffe	person_name		3982340	3983356
Matthew Ratcliffe	person_name		4043542	4044476
phenomenology	occupation		4076216	4077352
neurobiology	occupation		4087718	4088892
phenomenological	occupation		4089446	4090252
aerodynamics	occupation		4104538	4105356
authors	occupation		4170002	4170344
computational modeling	occupation		4173218	4174456
aerodynamics	occupation		4199498	4200688
Brighton	location		4378546	4379448
aerodynamics	occupation		4462286	4463556
aerodynamics	occupation		4470706	4471592
aerodynamics	occupation		4479602	4480424
aerodynamics	occupation		4513876	4514772
Lisa Feldman	person_name		4529858	4530456
barrett	person_name		4530488	4530856
burn	injury		4536076	4536476
Aerodynamics	occupation		4539940	4541164
aerodynamics	occupation		4544550	4545372
depression	medical_condition		4549034	4549712
aerodynamics	occupation		4553402	4554224
phenomenology	occupation		4555198	4556116
addiction	medical_condition		4575872	4576650
aerodynamics	occupation		4594712	4595454
addiction	medical_condition		4601262	4601742
addiction	medical_condition		4626510	4627174
Victorian	nationality		4630752	4631634
addict	medical_condition		4631782	4632362
Peter Hitchens	person_name		4638954	4639754
addict	medical_condition		4645988	4646314
addiction	medical_condition		4654968	4655326
addict	medical_condition		4665516	4666230
mark Lewis	person_name		4719618	4720166
addiction	medical_condition		4725728	4726246
Miller	person_name		4736132	4736426
behavioral addiction	medical_condition		4750472	4751246
biology	occupation		4762108	4762530
addiction	medical_condition		4776992	4777366
addiction	medical_condition		4789092	4789514
addiction	medical_condition		4792468	4793050
addiction	medical_condition		4813628	4813986
cocaine	drug		4883280	4883766
nicotine	drug		4921968	4922534
alcohol	drug		4922960	4923494
alcohol	drug		4925136	4925574
agent	occupation		4931488	4931722
agent	occupation		4934628	4934862
dealer	occupation		4951192	4951646
addict	medical_condition		4958588	4958962
Avel	person_name		5014076	5014578
agent	occupation		5037332	5037582
addict	medical_condition		5074814	5075188
addiction	medical_condition		5094194	5094488
addiction	medical_condition		5096758	5097116
addict	medical_condition		5102518	5102892
addiction	medical_condition		5103940	5104620
addiction	medical_condition		5165770	5166304
addiction	medical_condition		5172462	5172884
heroin	drug		5200118	5200556
cocaine	drug		5202118	5202876
Rat Park	location		5229070	5229972
phenomenology	occupation		5256518	5257680
addict	medical_condition		5260122	5260752
addict	medical_condition		5264218	5264544
addiction	medical_condition		5313338	5314100
Ben	person_name		5396024	5396558
Mark Miller	person_name		5450268	5451314
Mark	person_name		5452780	5453062
Mark	person_name		5467168	5467402
