text	entity_type		start	end
active guest room 52.1	location		8516	10462
August 10, 2023	date		10836	12846
Ahmed Elsaid	person_name		13428	14394
Alexander Arorbia	person_name		14442	15594
Travis Desel	person_name		15828	17070
Ahmed	person_name		17410	17962
Ahmed	person_name		26172	26514
advisor	occupation		67050	67594
Dr	occupation		67642	68094
Travis Desel	person_name		68212	69054
co advisor	occupation		69576	71090
Dr	occupation		71830	72530
Alexander Auroravian	person_name		72680	74210
assistant professor	occupation		76988	78066
University of North Carolina, wilmington	organization		82250	84230
neurotropology	occupation		112872	113614
machine learning	occupation		156388	157326
Travis	person_name		350564	351390
mutations	injury		381484	382354
mutations	injury		408692	409114
mutation	injury		454548	455002
mutations	injury		471230	472078
Marco DeRego	person_name		572328	573570
Marco DeRego	person_name		573910	575166
travel salesman	occupation		579484	580466
travel salesman	occupation		582988	583954
Marcus Rigor	person_name		670136	671166
Marco Derago	person_name		783516	784466
Marco DeRego	person_name		853424	854546
travel salesman	occupation		856612	857546
travel salesman	occupation		861924	862758
agent	occupation		864696	865300
agent	occupation		872872	873122
Drago	person_name		927850	928850
Ash	person_name		1589756	1590078
Brandon	person_name		1598030	1598774
Coal Fire Power plant	organization		1985612	1987170
Vermont	location		2412752	2413174
Kent	person_name		2950066	2950498
Cairns	person_name		2969576	2970318
Cain	person_name		2972150	2973166
Dr	occupation		3521204	3521694
Deborah Gordon	person_name		3521812	3523310
Travis	person_name		3601394	3602264
Alexander	person_name		3602786	3603336
Abdul Rahman	person_name		3619862	3620952
Alex Rorbia	person_name		3625904	3627024
assistant professor	occupation		3627738	3628752
computer science	occupation		3629146	3630340
affiliate professor	occupation		3632120	3633008
psychology	occupation		3633178	3633740
affiliate faculty	occupation		3634014	3634756
computational neuroscience	occupation		3634958	3636260
Rochester Institute of Technology	organization		3636958	3638570
Abdul Rahman	person_name		3666102	3666844
PhD student	occupation		3667478	3668656
Know	organization		3670660	3671024
Carl	person_name		3736842	3737376
Daniel	person_name		3757442	3758024
Abdul Raman	person_name		3778218	3778784
Abdul Rahman	person_name		3804386	3805112
inference institute	organization		3820124	3821352
Alexander	person_name		3832842	3833840
Travis	person_name		3834000	3834508
Travis is Sell	person_name		3845374	3846072
associate professor	occupation		3846542	3847316
RIT	organization		3847582	3848132
graduate program director	occupation		3849454	3850388
data science	occupation		3851074	3851576
data science	occupation		3853618	3854232
Abdul Rahman	person_name		3861618	3862228
Ahmed	person_name		3937070	3937492
Travis	person_name		3944958	3945476
Alex	person_name		3952162	3952504
agent	occupation		3956018	3956300
the USA Southwest	location		4027994	4029616
Arizona	location		4030170	4031220
Professor	occupation		4065286	4065676
Gordon	person_name		4065708	4066124
Travis	person_name		4079210	4079664
Elman	person_name		4088420	4088804
Gordon	person_name		4088974	4089316
Professor	occupation		4153906	4154296
Gordon	person_name		4154328	4154616
computer science	occupation		4160134	4160796
math	occupation		4161094	4161356
Alex	person_name		4277658	4277952
Travis	person_name		4287198	4287556
Abdul Rahman	person_name		4305938	4306456
Daniel	person_name		4308946	4309656
Abdul Rahman	person_name		4329786	4330900
Abdulrahman	person_name		4352962	4353576
Travis	person_name		4353778	4354104
Travis	person_name		4368108	4368524
Abdul Rahman	person_name		4408210	4408904
Abdul Rahman	person_name		4459378	4460068
Travis	person_name		4460214	4460700
Abdul Rahman	person_name		4486186	4486876
Abdul Rahman	person_name		4539854	4540564
Travis	person_name		4565318	4565724
Travis	person_name		4566086	4566476
citizen science	occupation		4568582	4569612
Raman	person_name		4600062	4600640
Chris Fields	person_name		4685774	4686820
Physics	occupation		4687614	4688004
statistics	occupation		4765318	4766348
imicry	occupation		4818486	4819420
Bert	person_name		4967302	4967644
Abdul Rahman	person_name		4975546	4976304
Travis	person_name		4976538	4976864
Abdul Rahman	person_name		5043822	5044564
Travis	person_name		5044734	5045044
physics	occupation		5054418	5054744
Bert	person_name		5061990	5062364
Bert	person_name		5062662	5063340
machine learning	occupation		5093332	5093822
modelers	occupation		5300616	5301502
architecture	occupation		5393808	5394592
Alex	person_name		5397706	5398304
computer science	occupation		5413634	5414216
traveling salesman	occupation		5437308	5438652
Alto Robin	person_name		5449808	5450468
Mike Levin	person_name		5571282	5572184
machine learning	occupation		5616418	5616972
Alexander	person_name		5639504	5640224
Daniel	person_name		5685350	5685852
cognitive architectures	occupation		5692842	5694192
Abdel Rahman	person_name		5712642	5713900
Abdul Rahman	person_name		5749480	5750480
Travis	person_name		5760942	5761364
machine learning	occupation		5805844	5806776
Alderam	person_name		5810814	5811316
Hans	person_name		5874498	5874856
Abdul Rahman	person_name		5944058	5944800
Travis	person_name		5980790	5981196
high performance computing specialist	occupation		5981734	5983116
computer vision	occupation		6026230	6027244
Abdul Rahman	person_name		6094602	6095264
machine learning	occupation		6114878	6115432
machine learning	occupation		6174754	6175164
Nvidia	organization		6178022	6178396
California	location		6240352	6241040
Argentine	nationality		6241434	6241936
50	person_age		6249130	6249576
Professor	occupation		6318834	6319256
Gordon	person_name		6319288	6319656
Kant	person_name		6354042	6354316
BP free camps	event		6468856	6470370
Travis	person_name		6516790	6517730
Alex	person_name		6518616	6519022
Alexander	person_name		6541140	6541868
Travis	person_name		6542038	6542396
machine learning	occupation		6627928	6628434
computer scientist	occupation		6641084	6641826
Travis	person_name		6722952	6723422
engineering	occupation		6763988	6764474
Travis	person_name		6775208	6775758
Daniel	person_name		6796720	6797238
citizen science	occupation		6813252	6814282
Abdel Rahman	person_name		6877912	6878846
Daniel	person_name		6894928	6895622
Abraham	person_name		6970372	6970714
