key	relevance
Hobbies&Interests>Beekeeping	1.0
Technology&Computing>ArtificialIntelligence	0.8287070393562317
Technology&Computing>Computing	0.1958184689283371
Science>Genetics	0.13223715126514435
Science>BiologicalSciences	0.09174711257219315
Technology&Computing>Robotics	0.08204969018697739
Technology&Computing>Computing>Internet>CloudComputing	0.06870665401220322
Science>Physics	0.05653021112084389
Technology&Computing>Computing>DataStorageAndWarehousing	0.05236024037003517
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.05156996101140976
Technology&Computing>Computing>Internet>Search	0.05094880610704422
Science>Environment	0.04381478577852249
Science	0.04209092631936073
Technology&Computing>Computing>ComputerNetworking	0.04018818214535713
Technology&Computing	0.03719661757349968
Pets>Birds	0.03586385026574135
FineArt>DigitalArts	0.030767779797315598
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.030063552781939507
MedicalHealth>DiseasesAndConditions>EndocrineAndMetabolicDiseases>HormonalDisorders	0.02947263978421688
NewsAndPolitics>Weather	0.029195930808782578
