"Start Time","End Time","Transcript"
"00;00;10;04","00;00;10;14","Hello"
"00;00;10;14","00;00;10;21","and"
"00;00;10;21","00;00;11;06","welcome."
"00;00;11;06","00;00;11;23","Welcome"
"00;00;11;23","00;00;12;15","to"
"00;00;12;15","00;00;12;28","active"
"00;00;12;28","00;00;13;23","live"
"00;00;14;01","00;00;14;09","we're in"
"00;00;14;09","00;00;14;28","livestream"
"00;00;14;28","00;00;15;11","number"
"00;00;15;11","00;00;17;15","21.04"
"00;00;17;15","00;00;17;27","on"
"00;00;17;27","00;00;20;03","April 27th 2021."
"00;00;20;18","00;00;20;29","And"
"00;00;20;29","00;00;21;16","today"
"00;00;21;16","00;00;21;29","we are"
"00;00;21;29","00;00;22;09","in the"
"00;00;22;09","00;00;22;26","fourth"
"00;00;22;26","00;00;23;06","of a"
"00;00;23;06","00;00;23;20","series"
"00;00;23;20","00;00;23;27","of"
"00;00;23;27","00;00;24;19","conversations"
"00;00;24;19","00;00;25;00","with"
"00;00;25;00","00;00;25;11","John"
"00;00;25;11","00;00;25;23","Blake"
"00;00;25;23","00;00;26;02","so"
"00;00;26;02","00;00;26;10","John,"
"00;00;26;10","00;00;26;14","it's"
"00;00;26;14","00;00;26;17","been"
"00;00;26;17","00;00;26;23","really"
"00;00;26;23","00;00;27;02","awesome"
"00;00;27;02","00;00;27;12","to get"
"00;00;27;12","00;00;27;15","to"
"00;00;27;15","00;00;27;19","know"
"00;00;27;19","00;00;27;29","about"
"00;00;27;29","00;00;28;11","you"
"00;00;28;11","00;00;28;16","and"
"00;00;28;16","00;00;28;19","your"
"00;00;28;19","00;00;29;11","ideas"
"00;00;29;11","00;00;29;18","and"
"00;00;29;18","00;00;30;09","work"
"00;00;30;09","00;00;30;18","with"
"00;00;30;18","00;00;30;25","you on"
"00;00;30;25","00;00;31;00","these"
"00;00;31;00","00;00;31;28","giant boards."
"00;00;31;28","00;00;32;26","So as"
"00;00;32;26","00;00;32;29","I"
"00;00;32;29","00;00;33;06","sort"
"00;00;33;06","00;00;33;16","of set"
"00;00;33;16","00;00;33;23","things"
"00;00;33;23","00;00;34;02","up for"
"00;00;34;02","00;00;34;03","a"
"00;00;34;03","00;00;34;19","second"
"00;00;34;19","00;00;34;26","and"
"00;00;34;26","00;00;35;06","share"
"00;00;35;06","00;00;35;15","the jam"
"00;00;35;15","00;00;35;21","board"
"00;00;35;21","00;00;36;01","link"
"00;00;36;01","00;00;36;08","with"
"00;00;36;08","00;00;36;10","the"
"00;00;36;10","00;00;36;19","live"
"00;00;36;19","00;00;37;08","chat,"
"00;00;37;08","00;00;37;21","go ahead"
"00;00;37;21","00;00;37;25","and"
"00;00;37;25","00;00;38;19","just"
"00;00;38;23","00;00;39;00","re"
"00;00;39;00","00;00;39;21","catch us up"
"00;00;39;21","00;00;39;26","and"
"00;00;39;26","00;00;40;07","then"
"00;00;40;07","00;00;40;12","I'll"
"00;00;40;12","00;00;40;18","meet"
"00;00;40;18","00;00;40;22","you on"
"00;00;40;22","00;00;41;09","the first slide"
"00;00;41;09","00;00;41;11","in"
"00;00;41;11","00;00;41;18","just a"
"00;00;41;18","00;00;42;05","minute."
"00;00;43;13","00;00;43;23","Okay."
