docLabel	start	end	count	rank	text
AIFSS-01L	4038288	4039630	1	0.07	active inference people
AIFSS-01L	4069936	4071210	2	0.07	active inference people
AIFSS-01L	5453048	5454350	1	0.06	active inference agents
AIFSS-01L	1294108	1294854	1	0.06	specific people
AIFSS-01L	2275076	2275694	2	0.06	specific people
AIFSS-01L	1296492	1297238	1	0.06	specific way
AIFSS-01L	1323236	1324400	2	0.06	specific way
AIFSS-01L	1590808	1591800	3	0.06	specific way
AIFSS-01L	2560096	2561354	4	0.06	specific way
AIFSS-01L	18370	19320	1	0.06	active Inference
AIFSS-01L	133576	134206	2	0.06	active Inference
AIFSS-01L	818180	819082	3	0.06	active Inference
AIFSS-01L	833272	833982	4	0.06	active Inference
AIFSS-01L	858224	858934	5	0.06	active Inference
AIFSS-01L	914550	915446	6	0.06	active Inference
AIFSS-01L	1098268	1098962	7	0.06	active Inference
AIFSS-01L	1565390	1566554	8	0.06	active Inference
AIFSS-01L	1694092	1695170	9	0.06	active Inference
AIFSS-01L	1701308	1701954	10	0.06	active Inference
AIFSS-01L	1712832	1713894	11	0.06	active Inference
AIFSS-01L	2159984	2160486	12	0.06	active Inference
AIFSS-01L	2444300	2445026	13	0.06	active Inference
AIFSS-01L	2571012	2571706	14	0.06	active Inference
AIFSS-01L	2835848	2836542	15	0.06	active Inference
AIFSS-01L	2837272	2838030	16	0.06	active Inference
AIFSS-01L	2907856	2908486	17	0.06	active Inference
AIFSS-01L	2944648	2945354	18	0.06	active Inference
AIFSS-01L	3034248	3034894	19	0.06	active Inference
AIFSS-01L	3250604	3251186	20	0.06	active Inference
AIFSS-01L	3264406	3265254	21	0.06	active Inference
AIFSS-01L	3276740	3277642	22	0.06	active Inference
AIFSS-01L	3288152	3288974	23	0.06	active Inference
AIFSS-01L	3304270	3305174	24	0.06	active Inference
AIFSS-01L	3318388	3319114	25	0.06	active Inference
AIFSS-01L	3508236	3508866	26	0.06	active Inference
AIFSS-01L	3535752	3536750	27	0.06	active Inference
AIFSS-01L	3550412	3551186	28	0.06	active Inference
AIFSS-01L	3552418	3553186	29	0.06	active Inference
AIFSS-01L	3559216	3560054	30	0.06	active Inference
AIFSS-01L	3609062	3609894	31	0.06	active Inference
AIFSS-01L	3636472	3637214	32	0.06	active Inference
AIFSS-01L	3701148	3702310	33	0.06	active Inference
AIFSS-01L	3719972	3720506	34	0.06	active Inference
AIFSS-01L	3739118	3739886	35	0.06	active Inference
AIFSS-01L	3755846	3756566	36	0.06	active Inference
AIFSS-01L	3780552	3781326	37	0.06	active Inference
AIFSS-01L	4038288	4039090	38	0.06	active Inference
AIFSS-01L	4069936	4070646	39	0.06	active Inference
AIFSS-01L	4889586	4890780	40	0.06	active Inference
AIFSS-01L	4956998	4957736	41	0.06	active Inference
AIFSS-01L	5039842	5040824	42	0.06	active Inference
AIFSS-01L	5050854	5051932	43	0.06	active Inference
AIFSS-01L	5076606	5077412	44	0.06	active Inference
AIFSS-01L	5091154	5091832	45	0.06	active Inference
AIFSS-01L	5209958	5210604	46	0.06	active Inference
AIFSS-01L	5281998	5282724	47	0.06	active Inference
AIFSS-01L	5453048	5453694	48	0.06	active Inference
AIFSS-01L	858224	859382	1	0.06	active inference framework
AIFSS-01L	5281998	5283252	2	0.06	active inference framework
AIFSS-01L	2674714	2676922	1	0.06	specific models
AIFSS-01L	3508236	3509670	1	0.06	active inference energy principle
AIFSS-01L	3551452	3553186	1	0.06	non active inference
AIFSS-01L	4498902	4499792	1	0.06	social system system
AIFSS-01L	4454070	4455866	1	0.05	social cognitive landscapes
AIFSS-01L	2380644	2381006	1	0.05	other things
AIFSS-01L	4089508	4090634	1	0.05	social cultural landscape
AIFSS-01L	3343530	3344358	1	0.05	many things
AIFSS-01L	3043850	3045426	1	0.05	social human behavior
