"Start Time","End Time","Transcript"
"00;00;28;23","00;00;29;11","Hello."
"00;00;29;11","00;00;29;22","Welcome,"
"00;00;29;22","00;00;30;16","everyone."
"00;00;31;02","00;00;32;04","It is"
"00;00;32;04","00;00;32;19","ActInfLab"
"00;00;32;19","00;00;33;04","Livestream"
"00;00;33;04","00;00;33;11","number"
"00;00;33;11","00;00;34;27","45.2."
"00;00;34;27","00;00;35;06","It's"
"00;00;35;06","00;00;35;16","June"
"00;00;35;16","00;00;36;06","8th,"
"00;00;36;06","00;00;37;07","2022."
"00;00;37;07","00;00;37;19","Welcome,"
"00;00;37;19","00;00;38;09","Karl."
"00;00;38;20","00;00;39;21","And we"
"00;00;39;21","00;00;39;26","are"
"00;00;39;26","00;00;40;06","having"
"00;00;40;06","00;00;40;12","our"
"00;00;40;12","00;00;40;20","third"
"00;00;40;20","00;00;41;06","discussion"
"00;00;41;06","00;00;43;00","on the 45."
"00;00;43;03","00;00;43;10","So"
"00;00;43;10","00;00;43;26","welcome"
"00;00;43;26","00;00;44;06","to the"
"00;00;44;06","00;00;44;17","Active"
"00;00;44;17","00;00;44;20","Inference"
"00;00;44;20","00;00;44;23","Lab"
"00;00;44;23","00;00;44;26","Livestream,"
"00;00;44;26","00;00;45;19","everyone."
"00;00;45;25","00;00;46;01","We're"
"00;00;46;01","00;00;46;02","a"
"00;00;46;02","00;00;46;28","participatory"
"00;00;46;28","00;00;47;10","online"
"00;00;47;10","00;00;47;23","lab"
"00;00;47;23","00;00;48;04","that is"
"00;00;48;04","00;00;48;23","communicating,"
"00;00;48;23","00;00;49;07","learning"
"00;00;49;07","00;00;49;12","and"
"00;00;49;12","00;00;50;02","practicing"
"00;00;50;02","00;00;50;14","applied"
"00;00;50;14","00;00;50;23","active"
"00;00;50;23","00;00;51;20","inference."
"00;00;52;01","00;00;52;08","This"
"00;00;52;08","00;00;52;12","is"
"00;00;52;12","00;00;52;14","a"
"00;00;52;14","00;00;53;02","recorded"
"00;00;53;02","00;00;53;12","and an"
"00;00;53;12","00;00;53;26","archival"
"00;00;53;26","00;00;54;16","livestream,"
"00;00;54;16","00;00;54;25","so"
"00;00;54;25","00;00;55;04","please"
"00;00;55;04","00;00;55;14","provide"
"00;00;55;14","00;00;55;17","us"
"00;00;55;17","00;00;56;05","with feedback"
"00;00;56;05","00;00;56;12","so"
"00;00;56;12","00;00;56;19","we can"
"00;00;56;19","00;00;57;01","improve"
"00;00;57;01","00;00;57;05","our"
"00;00;57;05","00;00;57;27","work."
"00;00;58;07","00;00;58;14","All"
"00;00;58;14","00;00;59;05","backgrounds"
"00;00;59;05","00;00;59;15","and"
"00;00;59;15","00;01;00;07","perspectives"
"00;01;00;07","00;01;00;12","are"
"00;01;00;12","00;01;01;08","welcome"
"00;01;01;10","00;01;01;20","and"
