docLabel	start	end	count	rank	text
AIFSS-06L	461296	462122	1	0.06	specific thing
AIFSS-06L	511328	512154	2	0.06	specific thing
AIFSS-06L	2279732	2280586	1	0.06	specific systems
AIFSS-06L	3757364	3759364	1	0.06	specific social cultural organizations
AIFSS-06L	3433314	3434332	1	0.06	specific spaces
AIFSS-06L	1701580	1702402	1	0.06	system theory
AIFSS-06L	1703356	1703906	2	0.06	system theory
AIFSS-06L	3145026	3146070	3	0.06	system theory
AIFSS-06L	3283080	3283692	4	0.06	system theory
AIFSS-06L	3326184	3326744	5	0.06	system theory
AIFSS-06L	3333976	3334712	6	0.06	system theory
AIFSS-06L	3513124	3513988	7	0.06	system theory
AIFSS-06L	3573304	3574264	8	0.06	system theory
AIFSS-06L	27970	28786	1	0.06	social constraints
AIFSS-06L	82356	83658	2	0.06	social constraints
AIFSS-06L	91908	93250	3	0.06	social constraints
AIFSS-06L	1354384	1355638	4	0.06	social constraints
AIFSS-06L	1356192	1356806	5	0.06	social constraints
AIFSS-06L	1451528	1452322	6	0.06	social constraints
AIFSS-06L	2572996	2574330	7	0.06	social constraints
AIFSS-06L	3567358	3568232	8	0.06	social constraints
AIFSS-06L	3720098	3721400	9	0.06	social constraints
AIFSS-06L	3724818	3725644	10	0.06	social constraints
AIFSS-06L	4380816	4382170	11	0.06	social constraints
AIFSS-06L	4454296	4455730	12	0.06	social constraints
AIFSS-06L	5323158	5324380	13	0.06	social constraints
AIFSS-06L	1831876	1832826	1	0.06	social systems
AIFSS-06L	1716306	1717702	1	0.06	specific cultural expectation
AIFSS-06L	2567710	2569162	1	0.05	emergent social things
AIFSS-06L	3175380	3176034	1	0.05	state space
AIFSS-06L	3299258	3299828	2	0.05	state space
AIFSS-06L	4252692	4253550	3	0.05	state space
AIFSS-06L	4256298	4257090	4	0.05	state space
AIFSS-06L	2305388	2305894	1	0.05	social agents
AIFSS-06L	3512782	3513988	1	0.05	immaculate system theory
AIFSS-06L	3325842	3326744	1	0.05	Mikel system theory
AIFSS-06L	3321346	3321852	1	0.05	new things
AIFSS-06L	3470546	3471960	1	0.05	quantum state spaces
