start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
4770	5320	1	A	0.5877	1	1	You.
7370	7974	2	A	1.0	1	2	Hello
8092	8374	2	A	1.0	2	3	and
8412	8662	2	A	1.0	3	4	welcome,
8716	9126	2	A	0.72211	4	5	everyone.
9228	9586	3	A	0.49858	1	6	It's
9618	10546	3	A	0.56	2	7	October
10738	11474	3	A	0.59	3	8	18,
11522	12838	3	A	0.98	4	9	2023.
13004	13474	4	A	0.49193	1	10	We're
13522	13734	4	A	0.89536	2	11	in
13772	14118	4	A	0.52	3	12	the
14204	14598	4	A	0.99984	4	13	course
14684	15106	4	A	0.99861	5	14	active
15138	15698	4	A	0.97705	6	15	inference
15794	16006	4	A	1.0	7	16	for
16028	16166	4	A	1.0	8	17	the
16188	16422	4	A	1.0	9	18	social
16476	17170	4	A	0.99907	10	19	sciences.
17330	17606	5	A	1.0	1	20	And
17628	17910	5	A	1.0	2	21	today
17980	18402	5	A	0.53465	3	22	we're
18466	18694	5	A	0.99999	4	23	in
18732	18934	5	A	1.0	5	24	the
18972	19634	5	A	0.92014	6	25	lecture
19762	20054	5	A	0.85328	7	26	by
20092	20246	5	A	1.0	8	27	the
20268	20598	5	A	0.99992	9	28	course
20684	20934	5	A	1.0	10	29	co
20972	21634	5	A	0.97582	11	30	organizer,
21682	21894	5	A	1.0	12	31	and
21932	22086	5	A	0.99992	13	32	that
22108	22246	5	A	0.99971	14	33	will
22268	22546	5	A	0.7597	15	34	kick
22578	22774	5	A	0.99998	16	35	off
22812	23014	5	A	1.0	17	36	the
23052	23398	5	A	0.99998	18	37	final
23484	23782	5	A	0.9131	19	38	leg
23836	24006	5	A	1.0	20	39	of
24028	24166	5	A	1.0	21	40	the
24188	24854	5	A	0.99999	22	41	course,
25052	25414	5	A	0.99998	23	42	which
25452	25894	5	A	0.99996	24	43	is
26012	26498	5	A	0.30936	25	44	Avel
26514	26866	5	A	0.73039	26	45	Gwenin
26898	27394	5	A	0.52035	27	46	Carlos
27442	27890	5	A	0.99992	28	47	lecture,
27970	28262	5	A	0.99999	29	48	Social
28316	28786	5	A	0.99912	30	49	Constraints
28818	28918	5	A	1.0	31	50	and
28924	28998	5	A	1.0	32	51	the
29004	29386	5	A	0.64868	33	52	Excess
29458	29882	5	A	0.89912	34	53	Central
29946	30650	5	A	0.99878	35	54	Stance
30810	31134	5	A	0.99626	36	55	What
31172	31422	5	A	0.99992	37	56	Makes
31476	31790	5	A	1.0	38	57	US
31860	32480	5	A	0.99995	39	58	Human.
32850	33406	6	A	0.992	1	59	So
33508	33786	6	A	0.99481	2	60	we'll
33818	33966	6	A	0.99998	3	61	be
33988	34222	6	A	1.0	4	62	looking
34276	34590	6	A	0.99998	5	63	forward
34660	35278	6	A	1.0	6	64	to
35444	35726	6	A	0.99	7	65	a
35748	36410	6	A	0.99987	8	66	lecture
36570	37018	6	A	0.99993	9	67	followed
37034	37262	6	A	0.99674	10	68	by
37316	37726	6	A	1.0	11	69	a
37828	38442	6	A	0.99977	12	70	discussion.
38506	38734	7	A	0.99636	1	71	So
38772	38926	7	A	1.0	2	72	if
