docLabel	start	end	count	rank	text
cFPIP-06L	1257722	1258576	1	0.07	different cells
cFPIP-06L	577236	3789694	16	0.06	living systems
cFPIP-06L	93462	1387740	3	0.06	interacting systems
cFPIP-06L	2732376	2746498	2	0.06	other cells
cFPIP-06L	2670692	2672426	1	0.06	different cell types
cFPIP-06L	575694	577172	1	0.06	biological systems
cFPIP-06L	56986	601900	3	0.06	generic quantum systems
cFPIP-06L	734882	736780	1	0.06	microscopic systems
cFPIP-06L	2930472	2931454	1	0.06	attention systems
cFPIP-06L	3789762	3790726	1	0.06	cognitive systems
cFPIP-06L	3343870	3344918	1	0.06	robotic systems
cFPIP-06L	777598	778976	1	0.06	cosmological systems
cFPIP-06L	2484478	2486260	1	0.06	DNA repair systems
cFPIP-06L	2458738	2514930	2	0.06	many different ways
cFPIP-06L	3556948	3570590	3	0.06	cell biology
