start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
3540	4090	1	A	0.62668	1	1	You.
6060	6520	2	B	0.98047	1	2	Hello
6590	6824	2	B	0.97	2	3	and
6862	7256	2	B	0.95646	3	4	welcome.
7358	7576	3	B	0.99942	1	5	This
7598	7880	3	B	0.64977	2	6	is
7950	8232	3	B	0.75053	3	7	act
8286	8580	3	B	0.13423	4	8	infg
8580	8804	3	B	0.59306	5	9	guest
8852	9124	3	B	0.72704	6	10	stream
9172	10536	3	B	1.0	7	11	47.1
10638	11000	3	B	0.99872	8	12	on
11070	11492	3	B	0.85	9	13	July
11556	11876	3	B	0.39	10	14	10,
11908	13416	3	B	0.94	11	15	2023.
13598	13956	4	B	0.99382	1	16	We're
13988	14184	4	B	0.99976	2	17	here
14222	14424	4	B	0.99989	3	18	with
14462	14724	4	B	0.72592	4	19	Nick
14772	15252	4	B	0.94054	5	20	Bird
15316	15688	4	B	1.0	6	21	and
15774	16372	4	B	0.79114	7	22	Samuel
16436	16996	4	B	0.87261	8	23	Bellini
17028	17668	4	B	0.41987	9	24	Leitchi
17764	17976	4	B	1.0	10	25	and
17998	18228	4	B	0.81166	11	26	we're
18244	18328	4	B	0.71111	12	27	going
18334	18408	4	B	1.0	13	28	to
18414	18536	4	B	0.99967	14	29	have
18558	18648	4	B	1.0	15	30	a
18654	19140	4	B	0.98457	16	31	presentation
19220	19588	4	B	0.99984	17	32	followed
19604	19832	4	B	0.96676	18	33	by
19886	20104	4	B	1.0	19	34	a
20142	20644	4	B	0.99838	20	35	discussion.
20692	20952	5	B	0.83975	1	36	So
21006	21224	5	B	0.99918	2	37	thank
21262	21464	5	B	0.9997	3	38	you
21502	21848	5	B	0.99987	4	39	both
21934	22328	5	B	0.99971	5	40	for
22414	23076	5	B	0.92011	6	41	joining.
23188	23560	6	B	1.0	1	42	And
23630	23924	6	B	0.99923	2	43	Sam,
23972	24232	6	B	0.99914	3	44	thanks
24286	24600	6	B	0.99969	4	45	again
24670	25000	6	B	0.55563	5	46	for
25070	25400	6	B	0.99978	6	47	this
25470	26116	6	B	0.88824	7	48	presentation.
26228	26456	7	A	0.98785	1	49	Off
26478	26616	7	A	0.93	2	50	to
26638	27210	7	A	0.56868	3	51	you.
30460	31210	8	A	0.64391	1	52	You
31620	32370	8	A	0.97583	2	53	okay?
33380	33744	9	A	0.97156	1	54	Was
33782	33996	9	A	0.9809	2	55	Nick
34028	34128	9	A	0.59782	3	56	going
34134	34256	9	A	0.72	4	57	to
34278	34464	9	A	0.99878	5	58	say
34502	34752	9	A	0.99992	6	59	something
34806	35072	9	A	0.64638	7	60	before
35126	35248	9	A	0.99	8	61	I
35254	35810	9	A	0.98197	9	62	started?
36660	36976	10	A	0.95	1	63	I
36998	37136	10	A	0.99701	2	64	can
37158	37296	10	A	0.99986	3	65	go
37318	37552	10	A	0.93776	4	66	ahead.
37606	38210	11	A	0.77075	1	67	Okay,
40820	41568	11	A	0.91691	2	68	so
41734	42112	11	A	0.99975	3	69	some
42166	42732	11	A	0.46838	4	70	introduction
42796	43264	11	A	1.0	5	71	first.
43382	43676	12	A	0.6214	1	72	I'm
43708	43952	12	A	0.69	2	73	a
44006	44796	12	A	0.73771	3	74	professor
