text	entity_type		start	end
July 25, 2023	date		5998	7896
Ben White	person_name		23742	24424
Ben	person_name		35926	36364
Darius	person_name		72214	73050
Master's student	occupation		74352	75002
UCL	organization		75984	76810
social distributed cognition	occupation		78352	80006
social cognition lab	organization		80784	82138
Mark	person_name		105208	105394
researchers	occupation		105848	106334
philosophical	occupation		110668	111378
Francisco Balsan	person_name		127938	129022
PhD student	occupation		129488	130202
University of Bologna, Italy	location		130608	132342
cognitive anthropology	occupation		138884	139754
philosophy of science	occupation		139988	140954
Axel	person_name		142644	143114
Maxlin	person_name		143348	144350
Regina Sagin	person_name		198448	199504
Gina	person_name		200458	200844
Guatemala	location		201470	202340
social sciences	occupation		204494	205348
biology	occupation		206286	206692
neuroscience	occupation		206958	207828
technical operator	occupation		212398	213476
Olympics	event		236854	237788
swimmers	occupation		240202	240784
Leigh	person_name		262208	262736
Lee	person_name		263658	264128
PhD student	occupation		264698	265380
University of York	organization		266510	268136
systems transformation	occupation		268852	270120
theory	occupation		326350	327080
mathematics	occupation		375188	375866
social sciences	occupation		388376	389454
addiction	medical_condition		432856	433614
philosophy	occupation		454380	454994
science	occupation		479190	479822
intravenous drip	medical_process		552288	553270
Darius	person_name		562868	563306
Darius	person_name		563338	563706
authors	occupation		635692	635986
andy Clark	person_name		637218	637922
Karl Friston	person_name		637986	638962
author	occupation		641436	641794
biologists	occupation		666500	667114
Regina	person_name		719848	720366
aerodynamics	occupation		726952	728014
Mark	person_name		749030	749446
Mark	person_name		750608	750890
aerodynamics	occupation		771592	772770
Mark	person_name		773704	774254
Mark Anderson	person_name		775592	776286
Ben	person_name		870568	871170
maths	occupation		1055056	1055542
Tolstoy	person_name		1074712	1075214
Leo Tolstoy	person_name		1075448	1076094
Mark	person_name		1114548	1114986
Aon	organization		1117748	1118074
Expect project crew	organization		1120676	1122362
Mark Kate Nave	person_name		1122922	1123834
George Dean	person_name		1123882	1124438
Andy Clark	person_name		1124584	1125182
Max Hawkings	person_name		1144738	1145922
Mark	person_name		1146512	1146810
Max	person_name		1146880	1147414
tech	occupation		1149408	1149642
magicians	occupation		1263748	1264810
Xcape meeting	event		1295436	1296674
Sussex	location		1297068	1297474
Regina	person_name		1322984	1323502
David Blaine	person_name		1442034	1442770
david Blaine	person_name		1444268	1444786
Haiti	location		1445708	1446034
Darius	person_name		1535196	1535586
Maxwell Ramstead	person_name		1554704	1555558
cognitive scientists	occupation		1574216	1575022
philosophers	occupation		1575224	1575646
philosophers	occupation		1586476	1587590
Mark	person_name		1589068	1589590
rock climber	occupation		1602304	1603290
Axel	person_name		1639404	1640050
Maxwell Ramsey	person_name		1643244	1644274
Axel	person_name		1658838	1659446
Mark	person_name		1708992	1709242
Darius	person_name		1715984	1716554
ber	occupation		1746188	1746674
tango dancers	occupation		1748208	1749126
Julian Kirsten	person_name		1835352	1836126
Eric Reitfeld	person_name		1836158	1837410
Yelly Brunberg	person_name		1837750	1838994
climber	occupation		1889580	1890034
Ben	person_name		1891450	1892230
Brighton	location		1944652	1945510
Darius	person_name		1989868	1990514
Mark	person_name		1993148	1993334
Darius	person_name		2014948	2015434
Ramsey	person_name		2067156	2067658
physics	occupation		2069124	2069386
phenomenology	occupation		2119466	2120538
Darius	person_name		2131592	2131966
Avel	person_name		2155472	2155766
phenomenology	occupation		2246124	2247126
phenomenology	occupation		2274230	2275166
Chris Fields	person_name		2281576	2282346
phenomenology	occupation		2297474	2298486
science	occupation		2310292	2310682
psychology	occupation		2369204	2369950
artificial intelligence	occupation		2425604	2426702
humanities	occupation		2428344	2428734
philosophical	occupation		2429224	2429726
Darius	person_name		2445248	2445574
Mark	person_name		2484972	2485222
European	nationality		2656148	2656554
Darius	person_name		2674476	2675350
mark	person_name		2681340	2681622
Ben	person_name		2759092	2759418
Ben	person_name		2760468	2760778
Lara Senved Smith	person_name		2793430	2795102
students	occupation		2906684	2906902
aerodynamics	occupation		3089864	3090574
Matthew Ratcliffe	person_name		3109772	3110590
phenomenology	occupation		3117008	3117814
phenomenology	occupation		3153468	3154146
Daniel	person_name		3177800	3178980
Mark	person_name		3273728	3274196
David Blaine	person_name		3276040	3277200
computational psychiatry	occupation		3418218	3419344
pathological disorders	medical_condition		3419818	3421136
addiction	medical_condition		3421562	3422112
depression	medical_condition		3422176	3422752
disassociative disorders	medical_condition		3422816	3424032
OCD PTSD	medical_condition		3424096	3425780
Neuroscience	occupation		3436734	3437188
Casper Hess	person_name		3461478	3462204
