text	entity_type		start	end
Active Inference Institute	organization		11648	13238
August 23, 2023	date		13878	16538
Alexei Tolchinski	person_name		23808	25142
psychoan	occupation		28342	29086
ists	occupation		41618	42114
Alexi	person_name		44012	44466
Daniel	person_name		50890	51830
Mark	person_name		53968	54154
Andrea Brynn Albert	person_name		58832	61654
Mike	person_name		62496	62918
Daniel	person_name		65808	66234
active inference institute	organization		66404	67674
Michael Levin	person_name		102956	103906
Mark	person_name		114912	115162
Pang SIP	organization		115760	116406
psychotherapy	medical_process		131848	132606
Mark	person_name		154512	154714
Psychology	occupation		156806	157398
Freud	person_name		161984	162406
Psychology	occupation		164246	165050
Mark	person_name		169956	170318
psychoanalysis	occupation		177332	178282
neurosciences	occupation		180370	181550
Society for Chaos Theory in Psychology	organization		187720	190450
Lake, Italy	location		199372	200290
Lake Italy, lake Como	location		200716	202898
Italy	location		203068	203666
physicists	occupation		205942	206374
psychologists	occupation		207312	207894
Toronto	location		210832	211366
clinicians	occupation		214182	214726
scientists	occupation		214992	215494
Mark	person_name		229492	229742
Robert Gallitzer Levy	person_name		232008	233758
psychoanalyst	occupation		235944	236558
Chicago	location		236792	237422
psychoanalytic writer	occupation		237688	238814
teacher	occupation		239624	240446
psychoanalysis	occupation		242078	242914
Mark	person_name		250268	250646
Psychology	occupation		257026	257906
Friston	person_name		296988	297426
Lancelot de Costa	person_name		297458	298498
Karl	person_name		316592	316966
Maxwell Ramstead	person_name		326106	327066
physics	occupation		331368	331694
mechanics	occupation		334750	335246
physics	occupation		337352	338050
Kepler	person_name		338710	339486
Mechanics	occupation		344668	345442
Newton	person_name		348732	349186
physics	occupation		356048	356422
Newton	person_name		358288	358662
Mark	person_name		367392	367642
scientific psychology	occupation		368932	369962
Animal Studies	occupation		391048	391854
Human Studies	occupation		392088	392894
and Pathology	occupation		393432	394090
Edward Frankel	person_name		412512	413574
mathematician	occupation		414064	414726
Michael	person_name		418290	418794
biology	occupation		424468	424890
chemistry	occupation		426212	426906
physics	occupation		428532	428970
mathematics	occupation		430328	431214
mathematics	occupation		432568	433374
Karl Frieston	person_name		434088	434766
mathematics	occupation		438808	439806
logic	occupation		454252	454590
Aristotle	person_name		454768	455398
Euclidean geometry	occupation		459008	460134
Euclid	person_name		463968	464502
Euclid	person_name		477268	477930
Lobozevsky	person_name		484888	485598
Riemann	person_name		485614	485918
geometry	occupation		485934	486446
psychologists	occupation		518244	519310
physics	occupation		521636	522170
thermodynamics	occupation		533768	534930
physics	occupation		551180	551554
mathematics	occupation		555408	556150
mark	person_name		556688	556874
mathematics	occupation		558864	559446
mark	person_name		565904	566234
mathematics	occupation		572372	573162
Freud	person_name		593468	593858
Freud	person_name		605936	606262
psychopathology	occupation		607088	607814
psychoanalysts	occupation		617328	618182
