text	entity_type		start	end
October 21, 2022	date		3570	5710
computational phenotyping	medical_process		261626	263568
fMRI	medical_process		301110	301708
fMRI	medical_process		315050	315504
Ali	person_name		356842	357136
Neurobiology	occupation		500200	501054
Ali	person_name		577280	578300
Brock	person_name		663900	664680
clinical neuroimaging	medical_process		762734	764760
experimenter	occupation		803202	804184
experimenter	occupation		859262	860440
neuro condition	medical_condition		992770	994510
fMRI experiments	medical_process		1038512	1040090
fMRI	medical_process		1108904	1109774
earth replication crisis	event		1224040	1226600
Ollie	person_name		1236160	1237100
Brock	person_name		1291542	1292076
Peter Klein	person_name		1306666	1307800
statistics	occupation		1449520	1450064
autopsy	medical_process		1452058	1452992
statistician	occupation		1453802	1454464
autopsy	medical_process		1458014	1458836
statistics	occupation		1461102	1461780
biostatistician	occupation		1467742	1468804
statistics	occupation		1497620	1498412
statistics	occupation		1779190	1779982
experimenters	occupation		2169048	2169706
LaPlace	person_name		2353736	2354770
Newton	person_name		2499120	2499720
informational statistics	occupation		2686142	2688520
Bayesians	person_name		2723882	2724368
Disney	organization		3027960	3028784
julius Caesar	person_name		3036782	3037646
Obama	person_name		3038088	3038750
Caesar	person_name		3039448	3040290
disorders	medical_condition		3044872	3045810
pathological and neurodiverse conditions	medical_condition		3048680	3052226
addiction	medical_condition		3052338	3052866
impulsivity	medical_condition		3052898	3053554
compulsivity	medical_condition		3053602	3054642
delusions	medical_condition		3054786	3055394
hallucinations	medical_condition		3055442	3056706
interpersonal personality disorders	medical_condition		3056898	3058834
ocular motor syndromes	medical_condition		3058882	3060710
pharmacotherapy	medical_process		3061710	3062982
prefrontal syndromes	medical_condition		3063046	3064294
visual neglect	medical_condition		3064342	3065450
disorders of interoceptive inference	medical_condition		3065870	3068570
Foucault	person_name		3084942	3085860
madness	medical_condition		3088594	3089032
