key	relevance
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	1.0
MedicalHealth>MedicalTests	0.8350969552993774
Technology&Computing>Computing>DataStorageAndWarehousing	0.4807507395744324
Science	0.3997153639793396
Technology&Computing>ArtificialIntelligence	0.3408282697200775
Religion&Spirituality>Agnosticism	0.2755839228630066
MedicalHealth>DiseasesAndConditions>MentalHealth	0.25856900215148926
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.2530496418476105
Technology&Computing>AugmentedReality	0.24585269391536713
Science>Genetics	0.2375832349061966
Pets>Birds	0.1877852827310562
Technology&Computing>ConsumerElectronics>WearableTechnology	0.18169695138931274
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.17783255875110626
Religion&Spirituality>Atheism	0.17452292144298553
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.1728740632534027
Hobbies&Interests>Birdwatching	0.17006418108940125
Science>Physics	0.14756977558135986
Science>Environment	0.14438001811504364
Technology&Computing>VirtualReality	0.1221020296216011
Sports>ExtremeSports>Paintball	0.12157737463712692
