docLabel	start	end	count	rank	text
AIFSS-06L	461296	512154	2	0.06	specific thing
AIFSS-06L	2279732	2280586	1	0.06	specific systems
AIFSS-06L	3757364	3759364	1	0.06	specific social cultural organizations
AIFSS-06L	3433314	3434332	1	0.06	specific spaces
AIFSS-06L	1701580	3574264	8	0.06	system theory
AIFSS-06L	27970	5324380	13	0.06	social constraints
AIFSS-06L	1831876	1832826	1	0.06	social systems
AIFSS-06L	1716306	1717702	1	0.06	specific cultural expectation
AIFSS-06L	2567710	2569162	1	0.05	emergent social things
AIFSS-06L	3175380	4257090	4	0.05	state space
AIFSS-06L	2305388	2305894	1	0.05	social agents
AIFSS-06L	3512782	3513988	1	0.05	immaculate system theory
AIFSS-06L	3325842	3326744	1	0.05	Mikel system theory
AIFSS-06L	3321346	3321852	1	0.05	new things
AIFSS-06L	3470546	3471960	1	0.05	quantum state spaces
