text	entity_type		start	end
July 29, 2023	date		7818	9406
physics	occupation		17636	18186
Active Inference Institute	organization		19668	21386
Chris Fields	person_name		24340	25306
Dean	person_name		45132	45474
Ander	person_name		45708	46078
Andrew	person_name		58544	58966
Chris	person_name		94752	95478
Shannon	person_name		123510	124142
information theory	occupation		209828	210554
Daniel	person_name		243584	244118
Dean	person_name		316152	316366
Ander	person_name		347664	348086
Chris	person_name		390368	390614
Chris	person_name		402192	402830
Chris	person_name		404068	404346
ballerina	occupation		467544	468046
Andrew	person_name		524822	525520
philosophy	occupation		543422	544004
physics	occupation		555618	556072
classical physics	occupation		565138	566300
Galileo	person_name		567298	568184
Einstein	person_name		569142	569676
Chris	person_name		628278	628568
high	occupation		656658	656844
theory	occupation		657250	657624
Saskind	person_name		661554	662248
Alice	person_name		720102	720508
Alice	person_name		723990	724364
DPR	organization		726900	727760
alice	person_name		730218	730576
Bob	person_name		730714	731024
Alice	person_name		740602	740956
Alice	person_name		776052	776586
Alice	person_name		778180	778938
Bob	person_name		780692	781242
Alice	person_name		782378	782758
Bob	person_name		800348	800706
Alice	person_name		808288	808742
bob	person_name		813382	813686
Alice	person_name		868532	868922
Alice	person_name		875108	875754
Bob	person_name		876772	877470
Dean	person_name		921892	922234
Daniel	person_name		930968	931326
Chris	person_name		945676	946002
Chris	person_name		1035182	1035960
Daniel	person_name		1121478	1121804
thermodynamics	occupation		1131498	1132224
William Blake	person_name		1149506	1150360
Chris	person_name		1373786	1374192
Daniel	person_name		1429002	1429424
biologist	occupation		1429962	1430416
Daniel	person_name		1558722	1559304
biology	occupation		1732042	1732384
Daniel	person_name		1793550	1794360
Daniel	person_name		1824042	1824740
operators	occupation		1918972	1919516
Landauer	person_name		2024138	2024688
Chris	person_name		2028634	2029024
Chris	person_name		2070678	2071380
os	person_name		2132682	2133244
Landauer	person_name		2140942	2141636
Dean	person_name		2150136	2150780
Dean	person_name		2314906	2315700
Chris	person_name		2638572	2638946
Daniel	person_name		2784268	2785030
Dean	person_name		2797392	2798210
AMD	organization		2811188	2811546
Lenny Suskin	person_name		2900560	2902060
Daniel	person_name		2962042	2962384
Dean	person_name		3068298	3068496
Chris	person_name		3079822	3080164
Karl Prieston	person_name		3268138	3269456
Chris	person_name		3276878	3277124
Kristen	person_name		3281260	3281796
Dean	person_name		3464440	3464912
Chris	person_name		3610038	3610284
Chris	person_name		3617258	3617456
computer engineer	occupation		3767162	3768560
Friston	person_name		3796738	3797336
Chris	person_name		3919946	3920272
Dean	person_name		4015490	4015994
Chris	person_name		4023668	4024074
biology	occupation		4126792	4127490
Andrew	person_name		4138796	4139510
Chris	person_name		4163328	4163654
Dean	person_name		4193608	4193806
Ander	person_name		4194008	4194510
