text	entity_type		start	end
September 19, 2023	date		11284	14078
active inference Institute	organization		14964	16202
Gerald Edelman	person_name		25612	26870
Edelman	person_name		27370	28322
1929	date_of_birth		29132	30118
Professor	occupation		53748	54106
Edelman	person_name		54138	54922
Andrew	person_name		63486	63950
University of Minnesota	organization		72232	73650
Hopkins	organization		77752	78590
Apostles Georgopoulos	person_name		79112	80542
Vernon Macassel	person_name		80872	82370
Phoenix	location		84812	85506
neuroscience institute	organization		87870	89334
neuroscience department	organization		89632	91850
Gerald Edelman	person_name		145552	146342
San Diego	location		147952	148822
La Jolla	location		149088	150090
Guilio Tononi	person_name		155204	156266
Olof Sporns	person_name		156404	157946
Edelman	person_name		173176	174050
Tory Pines cliffs	location		180508	182834
sparns	person_name		195230	195926
Tononi	person_name		196128	197130
theorists	occupation		200432	201030
experimentalists	occupation		201456	202374
experimentalist	occupation		203008	204358
neuroscience	occupation		216472	217502
Vernon Machasto	person_name		230588	231746
Karl	person_name		236140	236514
scientist	occupation		267326	267982
Cheng Ming	person_name		279480	280740
Dr	occupation		288782	289004
Edelman	person_name		289042	289800
Taiwan	location		291842	292424
Taiwan university	organization		294738	296136
science	occupation		300088	300744
Rock Federal University	organization		303746	305356
Dr	occupation		311622	312000
Ederman	person_name		312070	312880
9th floor of the Bronx	location		322538	323744
PhD student	occupation		333118	334250
Edelman	person_name		344114	344632
immunology	occupation		359222	359788
duty	person_name		379130	379648
ming	person_name		410806	411676
retinal tectoprojection	medical_process		421674	423700
student	occupation		426512	426832
systems biology	occupation		432460	433668
transcriptome single cell RNA sequencing	medical_process		436140	439544
systems biology	occupation		447618	448680
taking out the brain and the retina and the tectum	medical_process		454486	458876
cutting	medical_process		511062	511404
spinal cord cross section	medical_process		511852	514108
Adam	person_name		577102	577444
topobiology	occupation		602902	603980
stem cell biology	occupation		666938	667888
Karl	person_name		735246	736120
Karl Friston	person_name		738094	738804
Jerry Edelman	person_name		742738	743480
neuroscience Institute	organization		750338	751820
psychiatrist	occupation		753638	754284
brain imaging	medical_process		754838	755900
brain imaging	medical_process		757734	758604
theoreticians	occupation		778926	779972
neuroanatomists	occupation		780366	781476
neuroimaging	medical_process		786494	787028
Semir Zeki	person_name		787262	788180
semir zeki	person_name		788542	789608
architects of neuroaesthetics	occupation		793778	796300
Jerry Edelman	person_name		800418	801144
Semi	person_name		801394	801804
human brain mapping	medical_process		824840	825936
positron emission tomography	medical_process		826202	827536
New York	location		838622	839390
Andy	person_name		850536	851260
Neurosciences Institute	organization		855654	856716
Rockefeller University	organization		857014	858508
La Jolla	location		860420	861600
Rockefeller	organization		869030	869664
neuroscientist Institute	organization		873312	874688
North Tory Pines Road	location		875018	876164
Andy	person_name		876394	876724
music and sound engineering	occupation		884318	886036
Sweden	location		886302	887188
the UK	location		894578	895400
imaging neuroscience	occupation		897922	899420
welcome Trust	organization		901474	902510
Neuroscience Institute	organization		918554	919860
Sami Zecki	person_name		925000	925856
Jerry Adelman	person_name		927738	928820
Reed Montague	person_name		934462	935800
Edelman	person_name		945970	946776
Reed	person_name		954966	955820
neuroscientist institute	organization		959318	960812
Edelman	person_name		977000	978340
Reed	person_name		1027022	1027364
Reed	person_name		1052342	1053040
Reed	person_name		1059158	1059840
Reed	person_name		1060260	1060684
Terry Sejnowski	person_name		1065494	1066440
Salk	organization		1066698	1067460
Peter Diane	person_name		1069978	1070848
Wolfram Schultz	person_name		1071242	1073424
Zurich	location		1074986	1075664
Reed	person_name		1084532	1084916
Wolfram	person_name		1086270	1087080
Rockefeller	organization		1094034	1095176
Reed	person_name		1102630	1103020
Edelman	person_name		1119690	1120288
computational neuroscience	occupation		1156998	1158588
Vernon Mancast	person_name		1164838	1165564
Andy	person_name		1165878	1166156
Steven Grossberg	person_name		1188380	1189624
computational neuroscience	occupation		1196392	1197816
New York, Boston	location		1199714	1200792
East Coast	location		1202034	1202780
computational neuroscience	occupation		1206982	1208700
Neuroscience Research Foundation	organization		1210294	1211900
Andy	person_name		1215318	1215596
Society for Neuroscience	organization		1219418	1220672
Max Cowan	person_name		1224032	1225056
neuroscience	occupation		1229230	1230548
neuroscience	occupation		1242098	1242872
Neuroscience Research Foundation	organization		1243234	1244584
Young Turks	nationality		1246978	1247592
Neuroscience Research Foundation	organization		1251298	1252908
Society for Neuroscience	organization		1253638	1254940
Aidelman	person_name		1263958	1264680
oliver Sacks	person_name		1270346	1271200
ernst Mer	person_name		1271994	1272960
neuroscience	occupation		1289280	1290460
maths	occupation		1311894	1312188
Reed Montague	person_name		1315776	1316980
Rockefeller	organization		1321754	1322820
mathematics	occupation		1334558	1335476
Edelman	person_name		1335588	1336164
biological thinker	occupation		1336638	1337604
mathematical thinker	occupation		1338638	1340308
Andy	person_name		1358662	1359148
Guilio Tononi	person_name		1360214	1360988
Olaf spawns	person_name		1361158	1362140
edelman	person_name		1365110	1365916
Reed	person_name		1370512	1371220
Edelman	person_name		1387742	1388404
neurobotics	occupation		1388798	1389848
developmental neurobotics	occupation		1395122	1397208
Edelman	person_name		1410038	1410524
Germany	location		1414058	1414900
behavioral psychology	occupation		1425898	1427220
Edelman	person_name		1432382	1432804
Edelman	person_name		1438622	1439104
Rockefeller library	organization		1451794	1453132
Ernst Mayer	person_name		1462022	1462844
La Jolla	location		1489358	1490072
Giulio	person_name		1497602	1498296
Olaf	person_name		1498850	1499432
connectomics	occupation		1521552	1522740
Connectomics	occupation		1528878	1530196
Julio	person_name		1530388	1530964
integrated information theory	occupation		1534540	1536680
IIT	organization		1557254	1558080
mathematician	occupation		1561798	1562960
mathematician	occupation		1564188	1564816
maths	occupation		1566874	1567136
the UK	location		1586478	1587400
Changming	person_name		1600776	1601224
Andrew	person_name		1601842	1602392
Karl	person_name		1609798	1610156
neuroscience	occupation		1618458	1619232
Francis Schmidt	person_name		1623482	1624740
MIT	organization		1626826	1627472
neurosciences Institute	organization		1630238	1631960
neuroscience	occupation		1634798	1635716
Francis O. Schmidt	person_name		1639298	1640472
neurosciences Institute	organization		1656998	1658300
neuroscience	occupation		1662342	1663244
neuroscience	occupation		1665034	1665712
neurosciences Institute	organization		1674714	1675904
neuroscience	occupation		1688302	1688896
Wolf Schultz	person_name		1695282	1696460
francis Crick	person_name		1701074	1702380
Edelman	person_name		1708742	1709164
Mac Castle	person_name		1709398	1710316
Vernon Moncasso	person_name		1725898	1726988
neuroscientists	occupation		1749778	1750712
engineer	occupation		1775658	1776112
Kyle	person_name		1786958	1787284
MRI	medical_process		1789618	1790620
Neuroscience	occupation		1811140	1811996
computational science	occupation		1819482	1820576
Vernon Macassill	person_name		1840080	1841384
founder	occupation		1847282	1847736
systems neuroscience	occupation		1847938	1849576
systems neuroscience	occupation		1850312	1851820
Edelman	person_name		1853142	1853692
theory	occupation		1857606	1858012
OLEF	organization		1859718	1860236
graph theory	occupation		1863670	1864820
Olaf	person_name		1871322	1871856
neuroscience	occupation		1908998	1910156
Edema	person_name		1943330	1944460
neurobiology	occupation		1950898	1951784
neuro Darwinism	occupation		1955638	1956732
Rockefeller University	organization		1963558	1965040
Darwinism	occupation		1967706	1968560
neurodarwinism	occupation		1977482	1978572
Southern California	location		1984564	1985844
Edelman	organization		1995762	1996376
neurobiology	occupation		1997698	1998536
Dave Douglas	person_name		2063952	2065170
Dave	person_name		2065350	2065754
Professor	occupation		2067892	2068346
Edelman	person_name		2068378	2068890
immunology	occupation		2075252	2075850
Edelman	person_name		2109600	2110054
Edelman	person_name		2120276	2121390
violinist	occupation		2123268	2124190
BBC	organization		2126132	2126842
poetry	occupation		2173552	2174410
arts	occupation		2176816	2177494
sciences	occupation		2178080	2178890
brain biologist	occupation		2183972	2185482
science	occupation		2192474	2193034
art	occupation		2193396	2193950
science	occupation		2196696	2197054
CC	person_name		2206632	2207294
Ming	person_name		2209560	2210066
artists	occupation		2217036	2217750
artists	occupation		2225728	2226422
poets	occupation		2244772	2245270
artists	occupation		2303096	2303678
scientists	occupation		2307596	2308242
Karl	person_name		2334772	2335242
Edelman	person_name		2338506	2339450
Edelman	person_name		2359810	2360546
Julio	person_name		2397910	2398766
Olaf	person_name		2399256	2400030
Andy	person_name		2402648	2403006
Julio	person_name		2407000	2407370
Olaf	person_name		2407548	2408082
Julia TENone	person_name		2420332	2421086
sleep research	occupation		2422510	2423418
consciousness studies	occupation		2428368	2429398
integrated information theory	occupation		2429494	2431290
olaf	person_name		2431890	2432634
Edelman	person_name		2439268	2439802
New York	location		2524144	2524730
Aileman	person_name		2529024	2529526
New York	location		2543348	2544174
conductor	occupation		2564988	2565666
director	occupation		2566652	2567510
Olaf	person_name		2575430	2575846
Julio	person_name		2576048	2576810
Julia	person_name		2590948	2591306
Olaf	person_name		2591508	2591946
Julia	person_name		2603352	2604046
molecular biology of	occupation		2607708	2608614
neural Darwinism	political_affiliation		2633156	2634330
neuralmanism	political_affiliation		2636660	2638830
Edelman	person_name		2644452	2644966
Karl	person_name		2700792	2701086
Edelman	person_name		2702072	2703010
conductor	occupation		2705528	2705950
Edelman	person_name		2709880	2710414
conductor	occupation		2710872	2711570
Andrew	person_name		2739876	2740234
Edelman	person_name		2746212	2746694
Edmund	person_name		2753910	2755006
Andrew	person_name		2817480	2818032
science	occupation		2838322	2838744
Dave	person_name		2859690	2860420
Professor	occupation		2862760	2863376
Edelman	person_name		2863408	2863824
Tanini	person_name		2879870	2880920
integrated information theory	occupation		2882318	2883844
math	occupation		2884708	2884996
Edelman	person_name		2889122	2889672
math	occupation		2892402	2892792
von Neumann	person_name		2904022	2904748
Turing	person_name		2904918	2905520
math	occupation		2912742	2913084
Edelman	person_name		2914950	2915596
Edelman	person_name		2926106	2926672
mathematics	occupation		2927968	2928816
neuroscience	occupation		2930538	2931540
theory fellows	occupation		2934778	2935744
Karl	person_name		2945260	2945764
Karl	person_name		2954216	2954616
Olaf	person_name		2965318	2965916
edelman	person_name		2974806	2975840
Julio	person_name		2987900	2988484
Julio	person_name		2989982	2991080
Edelman	person_name		2998542	2999060
edelman	person_name		3009448	3010264
Julio	person_name		3011618	3012228
Julio	person_name		3019270	3019996
Ehlmann	person_name		3047742	3048308
information theory	occupation		3055842	3057180
physicist	occupation		3079434	3079872
allergic	medical_condition		3085722	3086096
Andy	person_name		3093838	3094116
maths	occupation		3120758	3121036
Darwin	person_name		3131258	3131792
