docLabel	start	end	count	rank	text
ls054-2	1142688	2048848	4	0.07	active inference systems
ls054-2	1561716	3508016	5	0.07	systems theory
ls054-2	1941880	1944064	1	0.07	composite active inference systems
ls054-2	1141720	1144192	1	0.06	nested active inference systems
ls054-2	2047034	2048848	1	0.06	harmonious active inference systems
ls054-2	1560860	2655410	3	0.06	categorical systems theory
ls054-2	4671404	4675050	1	0.06	many different systems
ls054-2	2923828	2924794	1	0.06	other systems
ls054-2	927110	5783020	14	0.06	dynamical systems
ls054-2	3372606	3374488	1	0.06	dynamical systems world
ls054-2	621122	5939580	24	0.06	category theory
ls054-2	1473866	1475856	1	0.06	visual systems
ls054-2	1926838	1927836	1	0.06	hierarchical systems
ls054-2	2368048	4300054	5	0.06	applied category theory
ls054-2	5126336	5128790	1	0.05	category theory deals
