"Start Time","End Time","Transcript"
"00;00;07;22","00;00;08;04","Hello"
"00;00;08;04","00;00;08;11","and"
"00;00;08;11","00;00;08;28","welcome"
"00;00;08;28","00;00;09;14","to the"
"00;00;09;14","00;00;09;23","active"
"00;00;09;23","00;00;10;04","inference"
"00;00;10;04","00;00;10;14","live"
"00;00;10;14","00;00;10;24","its"
"00;00;10;24","00;00;11;06","active"
"00;00;11;06","00;00;11;17","live"
"00;00;11;17","00;00;11;26","live"
"00;00;11;26","00;00;12;09","stream"
"00;00;12;09","00;00;12;20","number"
"00;00;12;20","00;00;14;13","28.0"
"00;00;14;13","00;00;14;20","on"
"00;00;14;20","00;00;16;27","September 6th 2021"
"00;00;16;27","00;00;17;01","we're"
"00;00;17;01","00;00;17;05","going"
"00;00;17;05","00;00;17;10","to be"
"00;00;17;10","00;00;17;19","talking"
"00;00;17;19","00;00;17;26","about"
"00;00;17;26","00;00;18;10","the paper"
"00;00;18;10","00;00;18;21","towards"
"00;00;18;21","00;00;18;22","a"
"00;00;18;22","00;00;19;14","computational"
"00;00;19;14","00;00;20;07","phenomenology"
"00;00;20;07","00;00;20;09","of"
"00;00;20;09","00;00;20;17","mental"
"00;00;20;17","00;00;21;09","action"
"00;00;21;09","00;00;21;22","modeling,"
"00;00;21;22","00;00;22;01","better"
"00;00;22;01","00;00;22;18","awareness"
"00;00;22;18","00;00;22;21","and"
"00;00;22;21","00;00;23;04","attentional"
"00;00;23;04","00;00;23;15","control"
"00;00;23;15","00;00;23;21","with"
"00;00;23;21","00;00;23;29","deep"
"00;00;23;29","00;00;24;20","parametric"
"00;00;24;20","00;00;25;00","active"
"00;00;25;00","00;00;25;26","inference"
"00;00;27;28","00;00;28;08","welcome"
"00;00;28;08","00;00;28;15","to the"
"00;00;28;15","00;00;28;23","Active"
"00;00;28;23","00;00;29;03","Inference"
"00;00;29;03","00;00;29;19","Lab."
"00;00;29;20","00;00;29;27","We are"
"00;00;29;27","00;00;29;29","a"
"00;00;29;29","00;00;30;20","participatory"
"00;00;30;20","00;00;31;01","online"
"00;00;31;01","00;00;31;13","lab"
"00;00;31;13","00;00;31;20","that is"
"00;00;31;20","00;00;32;11","communicating,"
"00;00;32;11","00;00;32;25","learning"
"00;00;32;25","00;00;32;28","and"
"00;00;32;28","00;00;33;18","practicing"
"00;00;33;18","00;00;34;00","applied"
"00;00;34;00","00;00;34;10","active"
"00;00;34;10","00;00;35;00","inference."
"00;00;35;00","00;00;35;04","You"
"00;00;35;04","00;00;35;09","can"
"00;00;35;09","00;00;35;16","find"
"00;00;35;16","00;00;35;23","us at"
"00;00;35;23","00;00;35;25","the"
"00;00;35;25","00;00;36;06","links"
"00;00;36;06","00;00;36;14","on this"
"00;00;36;14","00;00;37;07","page."
"00;00;37;17","00;00;38;14","This is a recorded"
