start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
28470	28946	A	0.14517	1	1	1	Intro.
29088	29346	A	0.70717	1	2	2	All
29368	29940	A	0.77193	1	3	3	right,
31030	31682	A	0.99987	1	4	4	welcome.
31816	32066	A	0.99899	1	5	5	It
32088	32418	A	0.58738	1	6	6	is.
32504	33086	A	0.10241	1	7	7	ActInf
33118	33314	A	0.7007	1	8	8	lab
33352	33646	A	0.99123	1	9	9	Livestream
33678	33922	A	0.94002	1	10	10	number
33976	35380	A	0.937625	1	11	11	51.0.
35830	36194	A	0.99971	1	12	12	This
36232	36434	A	0.99896	1	13	13	is
36472	36674	A	0.99743	1	14	14	the
36712	37086	A	0.97781	1	15	15	background
37118	37266	A	0.6437	1	16	16	and
37288	37742	A	0.98087	1	17	17	context
37806	38178	A	0.99513	1	18	18	first
38264	39054	A	0.9994	1	19	19	discussion
39182	39522	A	0.99694	1	20	20	for
39576	40142	A	0.92451	1	21	21	canonical
40206	40526	A	0.99692	1	22	22	neural
40558	41054	A	0.79957	1	23	23	networks.
41102	41458	A	0.99732	2	1	24	Perform
41544	41886	A	0.63577	2	2	25	active
41918	42574	A	0.65071	2	3	26	inference
42702	42994	A	0.99958	2	4	27	by
43032	43790	A	0.18723	2	5	28	isomerate
43790	43918	A	0.80996	2	6	29	et
43934	44402	A	0.98572	2	7	30	al.
44536	44894	A	0.89349	2	8	31	It's
44942	45390	A	0.9209	2	9	32	October
45470	46050	A	0.99934	2	10	33	26
46120	47620	A	0.911406	2	11	34	2,022.
48790	49202	A	0.99985	2	12	35	Welcome
49256	49474	A	0.99982	2	13	36	to
49512	49666	A	0.99791	2	14	37	the
49688	49966	A	0.97504	2	15	38	active
49998	50286	A	0.9323	2	16	39	inference
50318	51070	A	0.99893	2	17	40	institute.
51230	51566	A	0.79324	2	18	41	We're
51598	51698	A	0.94419	2	19	42	a
51704	52542	A	0.55379	2	20	43	participatory
52606	52978	A	0.99689	2	21	44	online
53064	53606	A	0.98755	2	22	45	institute
53678	53866	A	0.97843	2	23	46	that
53888	54026	A	0.99909	2	24	47	is
54048	54710	A	0.99981	2	25	48	communicating,
54790	55130	A	0.99904	2	26	49	learning
55200	55386	A	0.99947	2	27	50	and
55408	56022	A	0.99941	2	28	51	practicing
56086	56486	A	0.99669	2	29	52	applied
56518	56886	A	0.99798	2	30	53	active
56918	57590	A	0.06331	2	31	54	coherence.
57750	58026	A	0.99989	2	32	55	You
58048	58186	A	0.99974	2	33	56	can
58208	58394	A	0.99999	2	34	57	find
58432	58634	A	0.99994	2	35	58	us
58672	58874	A	0.99975	2	36	59	at
58912	59066	A	0.78284	2	37	60	some
59088	59274	A	0.76861	2	38	61	of
59312	59418	A	0.99991	2	39	62	the
59424	59638	A	0.99965	2	40	63	links
59654	59738	A	0.99959	2	41	64	on
59744	59866	A	0.95773	2	42	65	the
59888	60458	A	0.99995	2	43	66	page.
60624	60906	A	0.99996	3	1	67	This
60928	61066	A	0.99119	3	2	68	is
61088	61226	A	0.73841	3	3	69	a
61248	61530	A	0.99965	3	4	70	recorded
61600	61786	A	0.57509	3	5	71	and
61808	61946	A	0.99371	3	6	72	an
61968	62438	A	0.95114	3	7	73	archived
62454	62950	A	0.52491	3	8	74	Livestream,
63030	63274	A	0.99962	3	9	75	so
63312	63562	A	0.99993	3	10	76	please
63616	63834	A	0.99997	3	11	77	provide
63872	63978	A	0.99996	3	12	78	us
63984	64106	A	0.99981	3	13	79	with
64128	64454	A	0.99523	3	14	80	feedback
64502	64666	A	0.99998	3	15	81	so
64688	64778	A	0.99993	3	16	82	we
64784	64906	A	0.99989	3	17	83	can
64928	65254	A	0.99757	3	18	84	improve
65302	65466	A	0.99996	3	19	85	our
65488	66060	A	0.99996	3	20	86	work.
66430	66794	A	0.99984	3	21	87	All
66832	67446	A	0.85725	3	22	88	backgrounds
67478	67626	A	0.99974	3	23	89	and
67648	68134	A	0.98733	3	24	90	perspectives
68182	68346	A	0.99993	3	25	91	are
68368	68650	A	0.99996	3	26	92	welcome
68720	68858	A	0.99994	3	27	93	and
68864	69010	A	0.70626	3	28	94	we'll
69030	69166	A	0.99858	3	29	95	be
69188	69786	A	0.52147	3	30	96	following
69898	70222	A	0.9983	3	31	97	video
70276	70746	A	0.41333	3	32	98	etiquette
70778	71166	A	0.98725	3	33	99	for
71268	71674	A	0.59184	3	34	100	Solo
71722	71886	A	0.52885	3	35	101	live
71908	72590	A	0.95232	3	36	102	Streams
74050	74414	A	0.99959	3	37	103	head
74452	74750	A	0.7811	3	38	104	active
74820	75690	A	0.38038	3	39	105	coherence
75770	76490	A	0.50277	3	40	106	Jorge
76650	77022	A	0.99995	3	41	107	to
77076	77294	A	0.99994	3	42	108	learn
77332	77486	A	0.99968	3	43	109	how
77508	77598	A	0.99986	3	44	110	to
77604	77774	A	0.99933	3	45	111	get
77812	78522	A	0.9999	3	46	112	involved
78666	79070	A	0.9998	3	47	113	active
79140	80022	A	0.37201	3	48	114	Coherence
80106	80622	A	0.97433	3	49	115	Institute
80686	81650	A	0.99775	3	50	116	projects
83190	83698	A	0.99972	3	51	117	today.
83784	84126	A	0.82379	3	52	118	It's
84158	84306	A	0.99707	3	53	119	the
84328	84706	A	0.99824	3	54	120	first
84808	85218	A	0.81015	3	55	121	of
85304	85646	A	0.99992	3	56	122	several
85678	86174	A	0.99952	3	57	123	discussions
86222	86386	A	0.998	3	58	124	that
86408	86546	A	0.48883	3	59	125	we'll
86568	86946	A	0.99957	3	60	126	have
87048	87506	A	0.99965	3	61	127	on
87608	87922	A	0.88624	3	62	128	the
87976	88290	A	0.99915	3	63	129	paper.
88360	88846	A	0.50268	3	64	130	Canonical
88878	89166	A	0.99909	3	65	131	neural
89198	89566	A	0.76598	3	66	132	networks
89598	89938	A	0.99232	3	67	133	perform
90024	90366	A	0.98904	3	68	134	active
90398	91054	A	0.86254	3	69	135	inference
91182	92610	A	0.867394	3	70	136	2,022
92760	93074	A	0.99935	3	71	137	by
93112	93598	A	0.41221	3	72	138	Takuya
93614	94414	A	0.33455	3	73	139	IsomerA,
94542	95550	A	0.04793	3	74	140	Hideaki
95630	96510	A	0.65707	3	75	141	Shimazaki
96590	96834	A	0.99866	3	76	142	and
96872	97246	A	0.53099	3	77	143	Karl
97278	98042	A	0.19434	3	78	144	Friston.
98206	98486	A	0.99881	3	79	145	The
98508	98886	A	0.78489	3	80	146	video
98988	99206	A	0.9999	3	81	147	is
99228	99414	A	0.99956	3	82	148	just
99452	99606	A	0.99732	3	83	149	an
99628	100290	A	0.66074	3	84	150	introduction
100370	100662	A	0.61291	3	85	151	to
100716	100934	A	0.99986	3	86	152	some
100972	101078	A	0.99985	3	87	153	of
101084	101206	A	0.99978	3	88	154	the
101228	101538	A	0.99967	3	89	155	ideas.
101554	101698	A	0.94459	4	1	156	It's
101714	101846	A	0.99911	4	2	157	not
101868	101958	A	0.99894	4	3	158	a
101964	102278	A	0.87966	4	4	159	review
102364	102614	A	0.92808	4	5	160	or
102652	102758	A	0.52389	4	6	161	a
102764	102982	A	0.99918	4	7	162	final
103036	103734	A	0.99985	4	8	163	word.
103932	104246	A	0.99934	4	9	164	There
104268	104418	A	0.85156	4	10	165	will
104444	104682	A	0.9996	4	11	166	be
104736	104954	A	0.97201	4	12	167	an
104992	105510	A	0.99982	4	13	168	overview
105590	105786	A	0.55767	4	14	169	of
105808	105946	A	0.63653	4	15	170	the
105968	106326	A	0.42876	4	16	171	structure
106358	106458	A	0.99948	4	17	172	of
106464	106538	A	0.99906	4	18	173	the
106544	106954	A	0.99992	4	19	174	paper
107072	107306	A	0.99986	4	20	175	and
107328	107754	A	0.98943	4	21	176	then
107872	108166	A	0.98514	4	22	177	we'll
108198	108346	A	0.99967	4	23	178	go
108368	108554	A	0.99987	4	24	179	through
108592	108794	A	0.81247	4	25	180	many
108832	108938	A	0.99192	4	26	181	of
108944	109018	A	0.99897	4	27	182	the
109024	109146	A	0.99998	4	28	183	key
109168	109690	A	0.99816	4	29	184	points.
109840	110298	A	0.99974	4	30	185	Also
110384	110682	A	0.99781	4	31	186	just
110736	111338	A	0.99895	4	32	187	to
111504	112454	A	0.78162	4	33	188	disclaim,
112582	113110	A	0.73472	4	34	189	there's
113190	113434	A	0.99996	4	35	190	many,
113472	114060	A	0.83008	4	36	191	many
114590	115002	A	0.99964	4	37	192	other
115056	115226	A	0.99713	4	38	193	and
115248	115578	A	0.78371	4	39	194	better
115664	116258	A	0.99946	4	40	195	resources
116294	116398	A	0.99995	4	41	196	to
116404	116622	A	0.99996	4	42	197	learn
116676	117038	A	0.99999	4	43	198	about
117124	117514	A	0.97343	4	44	199	neural
117562	118346	A	0.99952	4	45	200	networks.
118458	118782	A	0.99954	4	46	201	So
118836	118958	A	0.99998	4	47	202	I
118964	119134	A	0.99423	4	48	203	would
119172	119374	A	0.99987	4	49	204	very
119412	119614	A	1.0	4	50	205	much
119652	120190	A	0.99996	4	51	206	welcome
120340	120702	A	0.99997	4	52	207	those
120756	120974	A	0.99999	4	53	208	with
121012	121406	A	0.98264	4	54	209	a
121508	122350	A	0.99997	4	55	210	technical
122690	123514	A	0.99997	4	56	211	understanding
123562	123774	A	0.99998	4	57	212	of
123812	124106	A	0.99898	4	58	213	neural
124138	124922	A	0.66522	4	59	214	networks
125066	125374	A	0.99974	4	60	215	and
125412	125950	A	0.90672	4	61	216	or
126100	126414	A	1.0	4	62	217	some
126452	126606	A	0.99993	4	63	218	of
126628	126766	A	0.99544	4	64	219	the
126788	127166	A	0.99998	4	65	220	more
127268	128190	A	0.61498	4	66	221	applied
128530	129514	A	0.99852	4	67	222	computational
129642	130320	A	0.99985	4	68	223	or
131410	132090	A	0.91495	4	69	224	otherwise
132170	132538	A	0.69763	4	70	225	aspects
132554	132686	A	0.99997	4	71	226	of
132708	132858	A	0.99838	4	72	227	neural
132874	133190	A	0.9996	4	73	228	networks.
133210	133298	A	0.99998	4	74	229	It
133304	133426	A	0.99819	4	75	230	would
