docLabel	start	end	count	rank	text
AIFSS-07D	19892	5151426	49	0.07	active inference
AIFSS-07D	4547632	4549414	1	0.07	active inference ideas
AIFSS-07D	3286798	3288404	1	0.07	active inference impact
AIFSS-07D	538274	1249682	4	0.06	active states
AIFSS-07D	4082372	4083454	1	0.06	social systems
AIFSS-07D	3766686	3767768	1	0.06	axe inference agent
AIFSS-07D	3958474	3959424	1	0.06	social dynamics
AIFSS-07D	128664	129694	1	0.06	social kinds
AIFSS-07D	222736	1845554	4	0.05	other things
AIFSS-07D	861372	1846686	8	0.05	social scripts
AIFSS-07D	3184408	3185294	1	0.05	social organization
AIFSS-07D	93648	5020906	2	0.05	social evolution
AIFSS-07D	700454	3763700	5	0.05	social context
AIFSS-07D	733378	734396	1	0.05	social stuff
AIFSS-07D	4457232	4458202	1	0.05	social power
