docLabel	start	end	count	rank	text
AIFSS-07D	19892	20666	1	0.07	active inference
AIFSS-07D	44972	46158	2	0.07	active inference
AIFSS-07D	50672	51414	3	0.07	active inference
AIFSS-07D	75726	77006	4	0.07	active inference
AIFSS-07D	103152	103906	5	0.07	active inference
AIFSS-07D	202878	203960	6	0.07	active inference
AIFSS-07D	218828	219554	7	0.07	active inference
AIFSS-07D	419604	420484	8	0.07	active inference
AIFSS-07D	444022	444908	9	0.07	active inference
AIFSS-07D	463770	464560	10	0.07	active inference
AIFSS-07D	468478	469476	11	0.07	active inference
AIFSS-07D	727470	728324	12	0.07	active inference
AIFSS-07D	757978	758832	13	0.07	active inference
AIFSS-07D	1180948	1182058	14	0.07	active inference
AIFSS-07D	1409610	1410514	15	0.07	active inference
AIFSS-07D	1643910	1644764	16	0.07	active inference
AIFSS-07D	1653094	1653804	17	0.07	active inference
AIFSS-07D	2815516	2816226	18	0.07	active inference
AIFSS-07D	2979114	2979994	19	0.07	active inference
AIFSS-07D	2986436	2987290	20	0.07	active inference
AIFSS-07D	3065488	3066262	21	0.07	active inference
AIFSS-07D	3160096	3161290	22	0.07	active inference
AIFSS-07D	3286798	3287764	23	0.07	active inference
AIFSS-07D	3301670	3302880	24	0.07	active inference
AIFSS-07D	3310682	3311780	25	0.07	active inference
AIFSS-07D	3445902	3446596	26	0.07	active inference
AIFSS-07D	3459192	3459944	27	0.07	active inference
AIFSS-07D	3465560	3466436	28	0.07	active inference
AIFSS-07D	3571692	3572396	29	0.07	active inference
AIFSS-07D	3747990	3748760	30	0.07	active inference
AIFSS-07D	3993958	3994980	31	0.07	active inference
AIFSS-07D	4037592	4038382	32	0.07	active inference
AIFSS-07D	4064912	4065990	33	0.07	active inference
AIFSS-07D	4071748	4072426	34	0.07	active inference
AIFSS-07D	4162896	4164250	35	0.07	active inference
AIFSS-07D	4189634	4190632	36	0.07	active inference
AIFSS-07D	4314496	4315366	37	0.07	active inference
AIFSS-07D	4440684	4441602	38	0.07	active inference
AIFSS-07D	4476488	4477534	39	0.07	active inference
AIFSS-07D	4547632	4548598	40	0.07	active inference
AIFSS-07D	4553152	4554262	41	0.07	active inference
AIFSS-07D	4565428	4566074	42	0.07	active inference
AIFSS-07D	4579112	4579950	43	0.07	active inference
AIFSS-07D	4740852	4741546	44	0.07	active inference
AIFSS-07D	4766740	4767466	45	0.07	active inference
AIFSS-07D	4785592	4786446	46	0.07	active inference
AIFSS-07D	5055138	5056380	47	0.07	active inference
AIFSS-07D	5142888	5143566	48	0.07	active inference
AIFSS-07D	5150572	5151426	49	0.07	active inference
AIFSS-07D	4547632	4549414	1	0.07	active inference ideas
AIFSS-07D	3286798	3288404	1	0.07	active inference impact
AIFSS-07D	538274	539170	1	0.06	active states
AIFSS-07D	569060	570088	2	0.06	active states
AIFSS-07D	578418	579100	3	0.06	active states
AIFSS-07D	1249128	1249682	4	0.06	active states
AIFSS-07D	4082372	4083454	1	0.06	social systems
AIFSS-07D	3766686	3767768	1	0.06	axe inference agent
AIFSS-07D	3958474	3959424	1	0.06	social dynamics
AIFSS-07D	128664	129694	1	0.06	social kinds
AIFSS-07D	222736	223658	1	0.05	other things
AIFSS-07D	225792	226202	2	0.05	other things
AIFSS-07D	232096	233020	3	0.05	other things
AIFSS-07D	1845022	1845554	4	0.05	other things
AIFSS-07D	861372	862018	1	0.05	social scripts
AIFSS-07D	1410812	1411650	2	0.05	social scripts
AIFSS-07D	1600662	1601708	3	0.05	social scripts
AIFSS-07D	1763522	1764274	4	0.05	social scripts
AIFSS-07D	1769382	1770006	5	0.05	social scripts
AIFSS-07D	1782452	1783146	6	0.05	social scripts
AIFSS-07D	1791990	1793102	7	0.05	social scripts
AIFSS-07D	1845896	1846686	8	0.05	social scripts
AIFSS-07D	3184408	3185294	1	0.05	social organization
AIFSS-07D	93648	94342	1	0.05	social evolution
AIFSS-07D	5019604	5020906	2	0.05	social evolution
AIFSS-07D	700454	701056	1	0.05	social context
AIFSS-07D	2154136	2155214	2	0.05	social context
AIFSS-07D	2331616	2332422	3	0.05	social context
AIFSS-07D	2345784	2346414	4	0.05	social context
AIFSS-07D	3762894	3763700	5	0.05	social context
AIFSS-07D	733378	734396	1	0.05	social stuff
AIFSS-07D	4457232	4458202	1	0.05	social power
