"Start Time","End Time","Transcript"
"00;00;11;00","00;00;11;09","All."
"00;00;11;09","00;00;11;26","Right."
"00;00;12;11","00;00;12;25","Welcome,"
"00;00;12;25","00;00;13;11","everybody,"
"00;00;13;11","00;00;13;27","to the"
"00;00;13;27","00;00;14;07","Active"
"00;00;14;07","00;00;14;18","Inference"
"00;00;14;18","00;00;15;06","Lab."
"00;00;15;14","00;00;15;27","Today,"
"00;00;15;27","00;00;16;08","it's"
"00;00;16;08","00;00;16;20","Active"
"00;00;16;20","00;00;16;28","Lab"
"00;00;16;28","00;00;17;12","Lifestream"
"00;00;17;12","00;00;17;19","number"
"00;00;17;19","00;00;18;27","27.1"
"00;00;18;27","00;00;19;07","on"
"00;00;19;07","00;00;20;18","August 24th."
"00;00;20;18","00;00;21;03","20,"
"00;00;21;03","00;00;22;02","21."
"00;00;22;20","00;00;23;02","Welcome"
"00;00;23;02","00;00;23;09","to the"
"00;00;23;09","00;00;23;18","Active"
"00;00;23;18","00;00;23;29","Inference"
"00;00;23;29","00;00;24;20","Lab."
"00;00;24;25","00;00;25;04","We are"
"00;00;25;04","00;00;25;07","a"
"00;00;25;07","00;00;26;07","participatory"
"00;00;26;07","00;00;26;22","online"
"00;00;26;22","00;00;27;03","lab"
"00;00;27;03","00;00;27;13","that is"
"00;00;27;13","00;00;28;07","communicating,"
"00;00;28;07","00;00;28;22","learning"
"00;00;28;22","00;00;28;27","and"
"00;00;28;27","00;00;29;19","practicing"
"00;00;29;19","00;00;29;29","apply"
"00;00;29;29","00;00;30;01","to"
"00;00;30;01","00;00;30;09","active"
"00;00;30;09","00;00;30;23","inference."
"00;00;30;23","00;00;31;14","You can find us"
"00;00;31;14","00;00;31;21","at the"
"00;00;31;21","00;00;32;01","links"
"00;00;32;01","00;00;32;07","here"
"00;00;32;07","00;00;32;22","on this"
"00;00;32;22","00;00;33;16","slide."
"00;00;34;02","00;00;35;05","This is recorded"
"00;00;35;05","00;00;35;15","in an"
