text	entity_type		start	end
July 19, 2023	date		12930	15244
Arthur Giuliani	person_name		16530	17704
Adam Safron	person_name		17938	19128
Michael Edward Johnson	person_name		20306	21464
psychopathology	occupation		30618	31888
Daniel	person_name		41246	41764
Admin	occupation		44238	44576
Mike	person_name		44628	44856
computational modeling	occupation		58774	60844
psychopathology	occupation		63958	64828
psychedelic therapy	medical_process		66918	68400
psychedelic therapy	medical_process		83726	84644
neuroscience	occupation		84974	85556
psychedelics	drug		85694	86680
serotonergic psychedelic drugs	drug		94754	96808
psilocybin	drug		97688	98456
DMT	drug		98488	99128
LSD	drug		99224	99704
psychedelic therapy	medical_process		104466	105544
psychedelic assisted psychotherapy	medical_process		105592	107660
psychotherapeutic	medical_process		115222	116476
depression, anxiety disorders	medical_condition		126144	128928
substance use disorders	medical_condition		129024	130224
therapeutic interventions	medical_process		139774	141172
psilocybin assisted psychotherapy	medical_process		148160	150344
depression, anxiety	medical_condition		152146	153192
substance use disorder	medical_condition		153256	154408
SSRIs	drug		167782	168960
pilocybin assisted psychotherapy	medical_process		172666	175008
Lexapro	drug		178986	179712
psilocybin treatment	medical_process		193970	195514
major depressive disorder	medical_condition		196196	197434
the United States	location		204408	205460
mental issues	medical_condition		226590	227450
serotonergic psychedelics	drug		260134	261724
psilocybin	drug		276558	277588
blockers antagonists of the five H T two A receptor	drug		290770	295608
psilocybin	drug		300530	301348
psychedelic drugs	drug		301766	303120
psychedelics	drug		323226	323904
visual hallucinations	medical_condition		354854	356572
psychedelic	drug		357094	357676
psychedelic	drug		385038	385556
fMRI	medical_process		393350	393900
fMRI	medical_process		400326	400892
psychedelic	drug		402794	403920
vegetative	medical_condition		441030	441612
anesthesized	medical_condition		443940	444844
psilocybin	drug		455962	456576
LSD	drug		456778	457540
psychedelics	drug		495078	496000
psychedelics	drug		502842	503860
psychedelics	drug		540838	541760
psychedelic	drug		587634	588296
psychedelic drugs	drug		593060	594668
DMT	drug		623358	623764
psychedelics	drug		689362	690004
Carhartt	person_name		692118	692508
Harris	person_name		692524	692796
Tristan	person_name		692934	693760
psychedelic	drug		749622	750236
psychedelics	drug		921620	922126
karin Harris	person_name		966280	967216
psychopathology	medical_condition		970878	971812
psych pathology	occupation		1025498	1026268
psychopathology	medical_condition		1034818	1035752
psychopathologies	medical_condition		1043440	1044644
