docLabel	start	end	count	rank	text
gs057-1	2691752	2693486	1	0.06	world model structure
gs057-1	2544148	2744586	2	0.06	structured world models
gs057-1	2750488	2751940	1	0.05	More structured world model
gs057-1	1557612	1559234	1	0.05	multiple different transformation types
gs057-1	3967712	3968358	1	0.05	bigger models
gs057-1	659756	1015298	2	0.05	linear models
gs057-1	210940	211894	1	0.05	model class
gs057-1	3774836	3775722	1	0.05	language models
gs057-1	773248	2449086	4	0.05	generative models
gs057-1	1639412	2138602	2	0.05	different transformations
gs057-1	199192	200290	1	0.05	model selection
gs057-1	106338	2954386	10	0.05	neural networks
gs057-1	670246	3870866	4	0.05	neural network architectures
gs057-1	17708	185150	3	0.05	natural neural structure
gs057-1	105842	1704318	3	0.05	artificial neural networks
