start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
16580	16792	A	0.9954	1	1	1	Welcome.
16846	17252	A	0.36337	1	2	2	Raph,
17316	17930	A	0.99987	1	3	3	also
19020	19384	A	0.71	1	4	4	co
19422	19716	A	0.70962	1	5	5	author
19748	19848	A	0.99988	1	6	6	on
19854	19976	A	1.0	1	7	7	the
19998	20280	A	0.99924	1	8	8	paper.
20350	20970	B	0.97587	1	9	9	So
22220	22488	B	0.98731	1	10	10	how
22494	22568	B	0.79149	1	11	11	are
22574	22744	B	0.92558	1	12	12	you
22782	23370	B	0.9701	1	13	13	doing?
24380	24756	B	0.99901	1	14	14	I'm
24788	25176	B	0.52247	1	15	15	good.
25278	25544	B	0.94338	1	16	16	What
25582	25832	B	0.99831	1	17	17	about
25886	26490	B	0.99557	1	18	18	you?
27260	27768	A	0.9998	2	1	19	Pretty
27854	28200	A	0.99998	2	2	20	good.
28270	28504	A	0.99997	2	3	21	Other
28542	28744	A	1.0	2	4	22	than
28782	29032	A	0.99995	2	5	23	this
29086	29396	A	0.81361	2	6	24	brief
29428	29876	A	0.9996	2	7	25	interval
29908	30104	A	1.0	2	8	26	of
30142	30344	A	0.99989	2	9	27	white
30382	30680	A	0.81411	2	10	28	light,
30750	30948	A	0.99975	2	11	29	I'm
30964	31144	A	0.99989	2	12	30	just
31182	31556	A	0.98991	2	13	31	hanging
31588	32170	A	0.99641	2	14	32	out.
35260	36036	B	0.98166	3	1	33	Fantastic.
36068	36360	B	0.99525	3	2	34	So
36430	36628	B	0.99975	3	3	35	I'm
36644	36824	B	0.9996	3	4	36	trying
36862	36968	B	1.0	3	5	37	to
36974	37144	B	1.0	3	6	38	figure
37182	37384	B	0.8583	3	7	39	out
37422	37672	B	0.9995	3	8	40	here
37726	37944	B	0.98893	3	9	41	how
37982	38136	B	0.99	3	10	42	I
38158	38730	B	0.99984	3	11	43	can.
39460	39836	B	0.91124	3	12	44	I'm
39868	40064	B	0.99998	3	13	45	using
40102	40256	B	0.95	3	14	46	a
40278	40850	B	0.98131	3	15	47	different
41220	41724	B	0.93019	3	16	48	slide
41772	42204	B	0.98015	3	17	49	software,
42252	42416	B	0.99765	3	18	50	so
42438	42576	B	1.0	3	19	51	I
42598	42736	B	0.99908	3	20	52	need
42758	43280	B	0.99	3	21	53	to
43430	43696	B	0.99997	3	22	54	make
43718	43904	B	0.99999	3	23	55	sure
43942	44096	B	0.99975	3	24	56	that
44118	44256	B	0.99	3	25	57	I
44278	44704	B	0.99959	3	26	58	can
44822	45104	B	0.99931	3	27	59	pull
45142	45296	B	0.99775	3	28	60	this
45318	45456	B	0.99856	3	29	61	up
45478	45568	B	0.99855	3	30	62	in
45574	45648	B	1.0	3	31	63	the
45654	45824	B	0.99992	3	32	64	right
45862	46112	B	0.99983	3	33	65	way.
46166	46336	B	0.99482	3	34	66	So
46358	46496	B	0.99991	3	35	67	give
46518	46656	B	1.0	3	36	68	me
46678	46816	B	0.99982	3	37	69	just
46838	46976	B	0.99	3	38	70	a
46998	47184	B	0.99995	3	39	71	quick
47222	47520	B	0.88	3	40	72	second.
47590	48160	A	0.92823	3	41	73	Yeah,
48310	49010	A	0.98284	3	42	74	great.
50100	50512	B	0.9674	4	1	75	Cool.
50566	50784	A	0.98625	4	2	76	So
