text	entity_type		start	end
July 15, 2023	date		9402	12446
Aspen Paul	person_name		17748	18890
Aswin	person_name		32066	32962
Daniel	person_name		39308	39666
Marco blanket	person_name		83692	84978
Jensen	person_name		159796	160218
machine learning	occupation		199504	199962
physics	occupation		216148	216426
agent	occupation		245248	245482
agent	occupation		679852	680054
agent	occupation		699184	699402
agent	occupation		706948	707182
operation research	occupation		792848	793642
industrial engineering	occupation		793888	794726
engineering	occupation		796688	797398
physics	occupation		1506486	1506998
game theory	occupation		1514448	1515014
learning	occupation		1515798	1516330
Professor	occupation		1519952	1520406
Adela	person_name		1520438	1520918
Professor	occupation		1521040	1521386
Manoj	person_name		1521418	1521866
Professor	occupation		1522612	1523066
Manoj	person_name		1523098	1523498
control theory	occupation		1523748	1524346
Adela	person_name		1524996	1525418
neuroscientist	occupation		1525604	1526678
deep reinforcement learning	occupation		1590076	1591174
deep reinforcement learning	occupation		1598860	1600280
ML	occupation		1617730	1618314
Don	person_name		1618362	1618910
Alex	person_name		2571660	2572532
agent	occupation		2668458	2668836
robotics	occupation		2730014	2730708
totorov	person_name		2801132	2801980
Todorov	person_name		3071166	3072068
physics	occupation		3202266	3202858
professor	occupation		3263640	3264638
Isamura	person_name		3264814	3266062
CBS	organization		3266808	3267342
Professor	occupation		3391312	3391814
Samura	person_name		3391862	3392566
PhD student	occupation		3420328	3421620
physics	occupation		3451924	3452282
Carl	person_name		3463060	3464030
Daniel	person_name		3560292	3560714
