docLabel	start	end	count	rank	text
AIFSS-06D	15422	16116	1	0.06	active inference
AIFSS-06D	112366	113252	2	0.06	active inference
AIFSS-06D	175636	176750	3	0.06	active inference
AIFSS-06D	219008	219734	4	0.06	active inference
AIFSS-06D	223856	224506	5	0.06	active inference
AIFSS-06D	263792	264726	6	0.06	active inference
AIFSS-06D	266448	267094	7	0.06	active inference
AIFSS-06D	332884	333646	8	0.06	active inference
AIFSS-06D	514358	515520	9	0.06	active inference
AIFSS-06D	579598	580324	10	0.06	active inference
AIFSS-06D	788242	789144	11	0.06	active inference
AIFSS-06D	1082398	1082996	12	0.06	active inference
AIFSS-06D	1652808	1653534	13	0.06	active inference
AIFSS-06D	1702472	1703134	14	0.06	active inference
AIFSS-06D	1752728	1753518	15	0.06	active inference
AIFSS-06D	1982458	1983472	16	0.06	active inference
AIFSS-06D	2010066	2010776	17	0.06	active inference
AIFSS-06D	2078422	2079164	18	0.06	active inference
AIFSS-06D	2121478	2122124	19	0.06	active inference
AIFSS-06D	2156188	2156914	20	0.06	active inference
AIFSS-06D	2426310	2427340	21	0.06	active inference
AIFSS-06D	2514418	2515096	22	0.06	active inference
AIFSS-06D	2575008	2576170	23	0.06	active inference
AIFSS-06D	2708240	2710250	24	0.06	active inference
AIFSS-06D	2927934	2928644	25	0.06	active inference
AIFSS-06D	2972218	2972912	26	0.06	active inference
AIFSS-06D	2972218	2974230	1	0.06	active inference journal work
AIFSS-06D	2121478	2122732	1	0.06	active inference modeling
AIFSS-06D	1981408	1983472	1	0.06	check level active inference
AIFSS-06D	1752728	1754414	1	0.06	active inference enactivists
AIFSS-06D	2742364	2744790	1	0.06	hierarchical active models
AIFSS-06D	68658	69596	1	0.05	specific questions
AIFSS-06D	172346	173102	2	0.05	specific questions
AIFSS-06D	323970	325146	1	0.05	social constraints
AIFSS-06D	1831268	1832346	2	0.05	social constraints
AIFSS-06D	52602	53268	1	0.05	more questions
AIFSS-06D	1453822	1455106	2	0.05	more questions
AIFSS-06D	2222636	2223350	1	0.05	good things
AIFSS-06D	193816	194922	1	0.05	act inference
AIFSS-06D	2031558	2032632	1	0.05	axio inference
AIFSS-06D	1116672	1118148	1	0.04	minimization things
AIFSS-06D	2517772	2519996	1	0.04	free energy principle systems
AIFSS-06D	2178896	2181530	1	0.04	human social aggregated collective behavior
