start	end	relevance	label
8010	42700	0.9552984833717346	Technology&Computing>ArtificialIntelligence
8010	42700	0.1376512050628662	Hobbies&Interests>ParanormalPhenomena
8010	42700	0.00937710516154766	Science
8010	42700	0.004880095366388559	Technology&Computing
8010	42700	0.0025827805511653423	Religion&Spirituality>Spirituality
8010	42700	0.002520770998671651	Religion&Spirituality>Astrology
8010	42700	0.0019158517243340611	Technology&Computing>Computing>Internet>SocialNetworking
8010	42700	0.0011950208572670817	Style&Fashion>BodyArt
8010	42700	0.001064515789039433	MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions
8010	42700	0.0010410218965262175	Technology&Computing>VirtualReality
43150	69950	0.029934046790003777	BusinessAndFinance>Business>ExecutiveLeadership&Management
43150	69950	0.019520409405231476	Education>AdultEducation
43150	69950	0.01839611493051052	Careers>CareerPlanning
43150	69950	0.017936870455741882	Education>CollegeEducation>PostgraduateEducation>ProfessionalSchool
43150	69950	0.015093503519892693	BooksAndLiterature>Biographies
43150	69950	0.0123479925096035	Education>OnlineEducation
43150	69950	0.012211283668875694	BusinessAndFinance>Industries>ManagementConsultingIndustry
43150	69950	0.012201951816678047	Careers>CareerAdvice
43150	69950	0.010405991226434708	Hobbies&Interests>ContentProduction>FreelanceWriting
43150	69950	0.006874860730022192	PopCulture>CelebrityScandal
70030	113810	0.9840450286865234	MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders
70030	113810	0.008447128348052502	FamilyAndRelationships>Parenting>ParentingBabiesAndToddlers
70030	113810	0.005983809009194374	MedicalHealth>DiseasesAndConditions>Ear,NoseAndThroatConditions
70030	113810	0.004871174227446318	MedicalHealth>DiseasesAndConditions>SleepDisorders
70030	113810	0.003192414529621601	HealthyLiving>Wellness>PhysicalTherapy
70030	113810	0.0028051522094756365	MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions
70030	113810	0.0015494227409362793	Hobbies&Interests>ParanormalPhenomena
70030	113810	0.0012460522120818496	MedicalHealth>DiseasesAndConditions>EndocrineAndMetabolicDiseases>HormonalDisorders
70030	113810	0.0008821880328468978	FamilyAndRelationships>Parenting>ParentingChildrenAged4-11
70030	113810	0.0007319430005736649	HealthyLiving>Children'sHealth
114470	137110	0.1847439557313919	MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders
114470	137110	0.05414814502000809	FamilyAndRelationships>Parenting>ParentingBabiesAndToddlers
114470	137110	0.009498338215053082	MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions
114470	137110	0.006350865587592125	Technology&Computing>Robotics
114470	137110	0.004775397013872862	Pets>Reptiles
114470	137110	0.003170160809531808	Technology&Computing>ArtificialIntelligence
114470	137110	0.0017668716609477997	HealthyLiving>FitnessAndExercise>RunningAndJogging
114470	137110	0.0016325294272974133	HealthyLiving>Wellness>PhysicalTherapy
114470	137110	0.001463511260226369	Pets>Dogs
114470	137110	0.0013872695853933692	MedicalHealth>DiseasesAndConditions>EndocrineAndMetabolicDiseases>HormonalDisorders
137710	188570	0.17251121997833252	Home&Garden>InteriorDecorating
137710	188570	0.12964260578155518	Home&Garden>Remodeling&Construction
137710	188570	0.01596260443329811	FineArt>Design
137710	188570	0.015877844765782356	PopCulture>CelebrityHomes
137710	188570	0.010840111412107944	BooksAndLiterature>ArtAndPhotographyBooks
137710	188570	0.005002462305128574	EventsAndAttractions>HistoricSiteAndLandmarkTours
137710	188570	0.004620408173650503	BusinessAndFinance>Industries>ConstructionIndustry
