key	relevance
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	1.0
Technology&Computing>Computing>DataStorageAndWarehousing	0.9841240644454956
Technology&Computing>ArtificialIntelligence	0.7415593862533569
Science>Physics	0.40237295627593994
Technology&Computing>Computing>ProgrammingLanguages	0.3394015431404114
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.2991514801979065
Technology&Computing>Computing>Internet>SocialNetworking	0.22610685229301453
Science>Geography	0.21166999638080597
Technology&Computing>Robotics	0.17965112626552582
Technology&Computing>Computing	0.16662071645259857
Technology&Computing>Computing>ComputerNetworking	0.16528423130512238
NewsAndPolitics>Weather	0.16035030782222748
Science	0.14737147092819214
Science>SpaceAndAstronomy	0.12371515482664108
Technology&Computing	0.11830434203147888
FineArt>DigitalArts	0.10019118338823318
Science>Chemistry	0.09895244985818863
Technology&Computing>Computing>ComputerSoftwareAndApplications>GraphicsSoftware	0.07749445736408234
Technology&Computing>Computing>Internet>InternetOfThings	0.05054449662566185
Hobbies&Interests>ContentProduction	0.04580032080411911
