start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
2220	2770	1	A	0.6179	1	1	You.
5460	5872	2	B	0.67748	1	2	Hello
5926	6144	2	B	0.6	2	3	and
6182	6770	2	B	0.99999	3	4	welcome.
7140	7596	3	B	0.85519	1	5	It's
7628	7964	3	B	1.0	2	6	July
8012	8476	3	B	0.95	3	7	17,
8508	9696	3	B	1.0	4	8	2023.
9798	10028	4	B	0.9999	1	9	We're
10044	10176	4	B	0.99835	2	10	here
10198	10336	4	B	0.99758	3	11	in
10358	10668	4	B	0.99858	4	12	Active
10684	11084	4	B	0.99939	5	13	Inference
11132	11356	4	B	0.91784	6	14	math
11388	11900	4	B	0.88301	7	15	stream
11980	12272	4	B	0.99995	8	16	number
12326	13264	4	B	0.84	9	17	5.1
13382	13664	4	B	0.99999	10	18	with
13702	13964	4	B	0.99752	11	19	Chris
14012	14588	4	B	0.94375	12	20	Bodner
14684	15184	4	B	0.99998	13	21	on
15302	16044	4	B	0.99976	14	22	topological
16092	16316	4	B	0.99996	15	23	deep
16348	16784	4	B	1.0	16	24	learning
16902	17532	4	B	0.42439	17	25	graphs,
17596	18284	4	B	0.99825	18	26	complexes,
18332	18496	4	B	1.0	19	27	and
18518	19372	4	B	0.53622	20	28	sheaves.
19516	20016	5	B	0.99996	1	29	So
20118	20336	5	B	0.99999	2	30	thank
20358	20496	5	B	0.99944	3	31	you
20518	20800	5	B	0.62055	4	32	for
20870	21324	5	B	0.98544	5	33	joining,
21372	21740	5	B	0.99092	6	34	Chris.
21820	22064	6	B	0.99999	1	35	Looking
22102	22352	6	B	0.99933	2	36	forward
22406	22576	6	B	1.0	3	37	to
22598	22832	6	B	0.99998	4	38	your
22886	23452	6	B	0.99996	5	39	presentation
23516	23792	6	B	0.72	6	40	and
23846	24720	6	B	0.99897	7	41	discussion.
25780	26192	7	A	0.55574	1	42	Yeah,
26246	26728	7	A	0.95619	2	43	thanks
26854	27144	7	A	0.59436	3	44	so
27182	27576	7	A	0.99781	4	45	for
27678	27992	7	A	0.99999	5	46	having
28046	28312	7	A	0.99936	6	47	me.
28366	28584	8	A	0.99938	1	48	So,
28622	28824	8	A	0.79534	2	49	yeah,
28862	29016	8	A	0.99874	3	50	as
29038	29176	8	A	0.99	4	51	I
29198	29384	8	A	0.99929	5	52	was
29422	29624	8	A	0.99998	6	53	just
29662	30250	8	A	0.99985	7	54	saying,
30940	31256	8	A	0.99986	8	55	this
31278	31850	8	A	0.99985	9	56	is
32460	32824	8	A	0.9997	10	57	my
32862	33284	8	A	0.99348	11	58	PhD
33332	33764	8	A	0.96293	12	59	thesis,
33812	34072	8	A	1.0	13	60	which
34126	34440	8	A	0.85	14	61	I
34510	34836	8	A	0.78271	15	62	finished
34868	35016	8	A	0.98	16	63	a
35038	35176	8	A	1.0	17	64	couple
35198	35336	8	A	1.0	18	65	of
35358	35544	8	A	0.99996	19	66	months
35582	35832	8	A	0.99999	20	67	ago.
35886	36068	9	A	0.99992	1	68	It's
36084	36264	9	A	0.99998	2	69	also
36302	36408	9	A	0.9997	3	70	kind
36414	36680	9	A	1.0	4	71	of
36750	37080	9	A	0.99952	5	72	public
37150	37480	9	A	1.0	6	73	online.
37550	38120	10	A	0.99985	1	74	So
38270	38536	10	A	0.93173	2	75	if
38558	38696	10	A	0.99847	3	76	you
38718	38856	10	A	0.99785	4	77	want
38878	39256	10	A	1.0	5	78	to
39358	39576	10	A	0.99999	6	79	go
39598	39736	10	A	0.99982	7	80	into
39758	39896	10	A	0.97	8	81	the
39918	40452	10	A	0.90613	9	82	details,
40516	40744	10	A	0.99999	10	83	just
40782	40936	10	A	0.99817	11	84	kind
40958	41048	10	A	1.0	12	85	of
41054	41224	10	A	0.70525	13	86	look
41262	41416	10	A	0.99868	14	87	this
41438	41576	10	A	0.99998	15	88	up
41598	41736	10	A	0.99998	16	89	on
41758	41860	10	A	1.0	17	90	the
41870	42264	10	A	0.9996	18	91	Internet
42312	42908	10	A	0.97	19	92	and
43074	43356	10	A	0.99518	20	93	you
43378	43564	10	A	0.85761	21	94	should
43602	43708	10	A	0.99986	22	95	be
43714	43836	10	A	0.99998	23	96	able
43858	43948	10	A	1.0	24	97	to
43954	44124	10	A	0.5268	25	98	find
44162	44316	10	A	0.99995	26	99	it
44338	45020	10	A	0.99809	27	100	easily.
45360	45772	11	A	0.99467	1	101	Obviously,
45826	46136	11	A	0.99923	2	102	there's
46168	46376	11	A	0.99248	3	103	lots
46408	46796	11	A	1.0	4	104	of
46898	47212	11	A	0.99981	5	105	stuff
47266	47436	11	A	0.99993	6	106	in
47458	47644	11	A	0.99984	7	107	there.
47682	47836	12	A	0.99813	1	108	So
47858	47996	12	A	0.88	2	109	I
48018	48156	12	A	0.98299	3	110	kind
48178	48316	12	A	1.0	4	111	of
48338	48524	12	A	0.78475	5	112	try
48562	48956	12	A	0.9	6	113	to
49058	49276	12	A	0.99947	7	114	give
49298	49532	12	A	0.99852	8	115	an
49586	50456	12	A	0.99919	9	116	overview
50648	51148	12	A	0.98083	10	117	today
51234	51436	12	A	1.0	11	118	and
51458	51692	12	A	0.9999	12	119	maybe
51746	52012	12	A	0.9998	13	120	also
52066	52332	12	A	0.9998	14	121	go
52386	52556	12	A	0.99955	15	122	in
52578	52716	12	A	1.0	16	123	a
52738	52888	12	A	0.99998	17	124	little
52914	53056	12	A	0.99993	18	125	bit
53078	53216	12	A	1.0	19	126	more
53238	53520	12	A	0.9998	20	127	detail
53590	53824	12	A	0.99712	21	128	in
53862	54112	12	A	0.99997	22	129	certain
54166	55116	12	A	0.85852	23	130	aspects
55308	55664	12	A	0.9986	24	131	since
55702	56204	12	A	0.67125	25	132	there's
56332	56576	12	A	0.98397	26	133	not
56598	56688	12	A	0.99	27	134	a
56694	56960	12	A	0.99926	28	135	lot
57030	57264	12	A	1.0	29	136	of
57302	57504	12	A	0.99997	30	137	time
57542	57648	12	A	1.0	31	138	to
57654	57776	12	A	0.99934	32	139	go
57798	58370	12	A	0.99639	33	140	through.
60180	60544	13	A	0.81369	1	141	Yeah,
60582	60880	13	A	0.98	2	142	now
60950	61292	13	A	0.93936	3	143	I'm
61356	61916	13	A	0.89853	4	144	Microsoft
61948	62240	13	A	0.99857	5	145	Research,
62310	62496	13	A	0.94909	6	146	so
62518	62656	13	A	0.99877	7	147	this
62678	63008	13	A	0.99833	8	148	is
63094	63392	13	A	0.98111	9	149	basically
63446	63664	13	A	0.79	10	150	all
63702	63904	13	A	0.99857	11	151	work
63942	64096	13	A	0.99993	12	152	that
64118	64208	13	A	1.0	13	153	I
64214	64348	13	A	0.99996	14	154	did
64374	64516	13	A	0.7094	15	155	in
64538	64628	13	A	1.0	16	156	the
64634	64852	13	A	0.99	17	157	past
64906	65076	13	A	0.98	18	158	and
65098	65236	13	A	0.99972	19	159	when
65258	65348	13	A	1.0	20	160	I
65354	65716	13	A	0.99771	21	161	was
65818	66084	13	A	1.0	22	162	at
66122	66496	13	A	0.99104	23	163	University
66528	66676	13	A	1.0	24	164	of
66698	67540	13	A	0.98996	25	165	Cambridge.
68040	68308	14	A	0.93	1	166	All
68314	68484	14	A	0.79448	2	167	right,
68522	68964	14	A	0.99703	3	168	so
69082	69456	14	A	0.99902	4	169	let's
69488	70068	14	A	0.99991	5	170	get
70234	70950	14	A	0.9858	6	171	started.
72600	73012	15	A	0.91827	1	172	Right,
73066	73670	15	A	0.99371	2	173	so
74120	74544	15	A	0.99411	3	174	let's
74592	74852	15	A	0.99999	4	175	start
74906	75220	15	A	0.99996	5	176	very
75290	76020	15	A	0.99847	6	177	easily.
76760	77172	16	A	1.0	1	178	Now,
77226	77456	16	A	0.6499	2	179	I'm
77488	77684	16	A	0.99813	3	180	actually
77722	77924	16	A	0.99954	4	181	not
77962	78164	16	A	0.99972	5	182	sure
78202	78452	16	A	0.99989	6	183	exactly
78506	78828	16	A	0.96442	7	184	what's
78864	78968	16	A	0.99943	8	185	kind
78974	79048	16	A	1.0	9	186	of
79054	79176	16	A	0.93	10	187	the
79198	79556	16	A	0.76642	11	188	background
79588	79736	16	A	1.0	12	189	of
79758	79896	16	A	1.0	13	190	the
79918	80152	16	A	1.0	14	191	people
80206	80472	16	A	0.88583	15	192	who
80526	80744	16	A	0.65614	16	193	are
80782	81370	16	A	0.99991	17	194	watching,
81820	82570	16	A	0.9997	18	195	but
82940	83304	16	A	0.99994	19	196	in
83342	83684	16	A	0.99961	20	197	machine
83732	84330	16	A	0.99989	21	198	learning
85020	85620	16	A	0.95155	22	199	there's
85700	85896	16	A	1.0	23	200	all
85918	86104	16	A	0.54396	24	201	these
86142	86248	16	A	0.99954	25	202	kind
86254	86424	16	A	1.0	26	203	of
86462	86964	16	A	0.99106	27	204	subfield
87012	87224	16	A	0.99985	28	205	that
