text	entity_type		start	end
August 16, 2023	date		9508	11832
Social sciences	occupation		18558	19560
09:00 P.m	time		52120	53092
South Africa	location		53338	54112
Andrew	person_name		67228	67708
graduate student	occupation		68806	69728
Indiana	location		70230	71280
knowledge management	occupation		78410	79184
Gina	person_name		98802	99510
Guatemala	location		101440	102086
Spain	location		102832	103526
Sasha	person_name		121812	122266
California	location		123588	124282
graduate student	occupation		124964	126000
Regina	person_name		156592	157370
scientists	occupation		337500	338114
Regina	person_name		384230	385210
Sasha	person_name		461636	462590
Regina	person_name		465204	466090
researcher	occupation		472212	472746
biology	occupation		473028	473470
statistics	occupation		477528	478142
complexity science	occupation		517076	518394
scientists	occupation		524180	525190
Sasha	person_name		539540	540156
complexity science	occupation		547866	549460
Complexity science	occupation		571720	573008
John Holland	person_name		578380	579252
Sasha	person_name		607060	607724
empiricist	occupation		649538	650376
Markov	person_name		760088	760526
semiotics	occupation		763880	764574
Daniel	person_name		782320	782856
Andrew	person_name		790886	791372
Andrew	person_name		804752	805056
Andrew	person_name		830628	831560
World Cup	event		931714	932312
Women's World Cup	event		932834	934300
Connor Hines	person_name		986550	987324
act infontology	occupation		994838	996236
process theory	occupation		1042118	1042924
social sciences	occupation		1052378	1053696
Abel	person_name		1090420	1091436
Ben	person_name		1091990	1092880
Professor	occupation		1107114	1107696
Gordon	person_name		1107728	1108896
social sciences	occupation		1205548	1206630
Taoism	religion		1293008	1293622
Andrew	person_name		1361192	1361774
electrical engineering	occupation		1414620	1415538
electrical engineering	occupation		1436244	1437402
Andrew	person_name		1489178	1489568
lobotomy	medical_process		1509918	1511160
Andrew	person_name		1559340	1559810
science	occupation		1608928	1609690
syndrome	medical_condition		1774236	1774812
social sciences	occupation		1829958	1830980
scientists	occupation		1879606	1880152
Andrew	person_name		2001412	2001706
Andrew	person_name		2010850	2011354
social sciences	occupation		2019336	2020238
Daniel	person_name		2024250	2024882
andrew	person_name		2024946	2025266
Mahault	person_name		2086444	2086946
Lorena	person_name		2087212	2087842
Abel	person_name		2088364	2088894
cryptography	occupation		2127228	2127954
computer cryptography	occupation		2131548	2132674
Axel Constant	person_name		2168856	2169934
Daniel	person_name		2294040	2294576
psychologist	occupation		2430224	2430806
social sciences	occupation		2630648	2631282
Daniel	person_name		2715342	2715860
psychology	occupation		2733718	2734220
psychopathology	medical_condition		2774258	2775288
therapist	occupation		2787366	2787884
psychology	occupation		2824386	2825180
fMRI	medical_process		2832342	2832940
Western	nationality		2934188	2934732
Western	nationality		2986662	2987084
teachers	occupation		3151378	3151864
science	occupation		3163270	3164160
science	occupation		3165850	3166416
science	occupation		3169866	3170224
science	occupation		3174042	3174820
science	occupation		3181022	3181412
science	occupation		3185118	3185396
science	occupation		3195906	3196440
social science	occupation		3200002	3201256
social science	occupation		3202914	3204080
statistics	occupation		3215062	3215576
science	occupation		3244046	3244500
scientific	occupation		3246382	3246852
Daniel	person_name		3275960	3276608
Arizona	location		3365638	3366408
biomimicry	occupation		3380574	3381492
science	occupation		3395090	3395980
social science	occupation		3398162	3399340
counseling	occupation		3409590	3410640
humanities	occupation		3414900	3415624
histories	occupation		3415962	3416448
agent	occupation		3562646	3563104
agents	occupation		3568346	3568950
agent	occupation		3584766	3585080
agent	occupation		3589678	3590260
social sciences	occupation		3623994	3624672
science	occupation		3658818	3659500
science	occupation		3660626	3661340
science	occupation		3668998	3669276
social science	occupation		3670118	3670668
social science	occupation		3672038	3672960
social scientific	occupation		3684298	3685720
social scientific	occupation		3689166	3690100
modeler	occupation		3772332	3772882
Sasha	person_name		3863416	3864290
psychology therapy	medical_process		3892138	3894544
researcher	occupation		3940120	3940864
ethology	occupation		4009972	4010458
behavioral research	occupation		4010554	4012398
observation science	occupation		4012484	4013950
phenomenology	occupation		4051888	4052566
humanities	occupation		4099568	4100022
social sciences	occupation		4100688	4101382
researcher	occupation		4177298	4178152
Bruno Latour	person_name		4204718	4205700
Sasha	person_name		4408736	4409350
psychology	occupation		4449264	4450170
Sasha	person_name		4544330	4544826
cognitive science	occupation		4632160	4633352
computer science and	occupation		4656890	4658036
technology	occupation		4658058	4658630
sciences	occupation		4731842	4732620
scientist	occupation		4764414	4765012
social sciences	occupation		4827346	4828500
David	person_name		4843918	4844494
Bern	person_name		4882458	4882986
