"Start Time","End Time","Transcript"
"00;00;29;22","00;00;29;27","All"
"00;00;29;27","00;00;30;09","right."
"00;00;30;09","00;00;30;24","Hello"
"00;00;30;24","00;00;31;03","and"
"00;00;31;03","00;00;31;15","welcome,"
"00;00;31;15","00;00;32;14","everyone."
"00;00;32;14","00;00;32;25","It's"
"00;00;32;25","00;00;33;09","active."
"00;00;33;09","00;00;33;18","Live,"
"00;00;33;18","00;00;33;25","live."
"00;00;33;25","00;00;34;05","Stream"
"00;00;34;05","00;00;34;11","number"
"00;00;34;11","00;00;36;01","34.0"
"00;00;36;01","00;00;36;10","on"
"00;00;36;10","00;00;37;01","December 3rd."
"00;00;37;01","00;00;37;15","20,"
"00;00;37;15","00;00;38;14","21."
"00;00;38;14","00;00;38;23","And"
"00;00;38;23","00;00;38;27","we're"
"00;00;38;27","00;00;39;12","discussing"
"00;00;39;12","00;00;40;09","the paper,"
"00;00;40;09","00;00;40;19","the free"
"00;00;40;19","00;00;40;28","energy"
"00;00;40;28","00;00;41;26","principle."
"00;00;41;26","00;00;42;04","It's"
"00;00;42;04","00;00;42;09","not"
"00;00;42;09","00;00;42;16","about"
"00;00;42;16","00;00;42;22","what"
"00;00;42;22","00;00;42;24","it"
"00;00;42;24","00;00;43;08","takes."
"00;00;43;08","00;00;43;14","It's"
"00;00;43;14","00;00;43;24","about"
"00;00;43;24","00;00;44;03","what"
"00;00;44;03","00;00;44;10","took"
"00;00;44;10","00;00;44;14","you"
"00;00;44;14","00;00;45;04","there."
"00;00;45;29","00;00;46;11","Welcome"
"00;00;46;11","00;00;46;24","to"
"00;00;46;24","00;00;47;12","the Active"
"00;00;47;12","00;00;47;26","Lab."
"00;00;48;17","00;00;50;02","We are a participatory"
"00;00;50;02","00;00;50;16","online"
"00;00;50;16","00;00;51;02","lab"
"00;00;51;02","00;00;51;16","that is"
"00;00;51;16","00;00;52;18","communicating,"
"00;00;52;18","00;00;53;03","learning"
"00;00;53;03","00;00;53;06","and"
"00;00;53;06","00;00;53;25","practicing"
"00;00;53;25","00;00;54;08","applied"
"00;00;54;08","00;00;54;17","active"
"00;00;54;17","00;00;55;07","inference."
"00;00;55;07","00;00;55;10","You"
"00;00;55;10","00;00;55;15","can"
"00;00;55;15","00;00;55;28","find us"
"00;00;55;28","00;00;56;05","at the"
"00;00;56;05","00;00;56;21","links"
"00;00;56;21","00;00;57;01","here"
"00;00;57;01","00;00;57;11","on this"
"00;00;57;11","00;00;58;03","slide."
"00;00;58;23","00;00;59;22","This is a recorded"
"00;00;59;22","00;00;59;27","and"
"00;00;59;27","00;01;00;18","an archived"
"00;01;00;18","00;01;00;24","live"
"00;01;00;24","00;01;01;05","stream."
"00;01;01;05","00;01;01;14","So"
"00;01;01;14","00;01;01;23","please"
"00;01;01;23","00;01;02;02","provide"
"00;01;02;02","00;01;02;05","us"
"00;01;02;05","00;01;02;26","with feedback"
"00;01;02;26","00;01;03;02","so"
"00;01;03;02","00;01;03;06","that"
"00;01;03;06","00;01;03;16","we can"
"00;01;03;16","00;01;04;01","improve"
"00;01;04;01","00;01;04;09","on our"
"00;01;04;09","00;01;04;29","work."
"00;01;05;18","00;01;05;24","All"
"00;01;05;24","00;01;06;12","backgrounds"
"00;01;06;12","00;01;06;16","and"
"00;01;06;16","00;01;07;07","perspectives"
"00;01;07;07","00;01;07;21","are"
"00;01;07;21","00;01;08;03","welcome"
"00;01;08;03","00;01;08;22","here"
"00;01;08;23","00;01;09;08","and"
"00;01;09;08","00;01;09;12","will"
"00;01;09;12","00;01;09;17","be"
"00;01;09;17","00;01;10;14","following"
"00;01;10;14","00;01;11;06","cool"
"00;01;11;06","00;01;11;29","Dyadic"
"00;01;11;29","00;01;12;09","video"
"00;01;12;09","00;01;12;19","chat"
"00;01;12;19","00;01;13;04","etiquette"
"00;01;13;04","00;01;14;01","today."
"00;01;15;07","00;01;15;13","At"
"00;01;15;13","00;01;15;21","this"
"00;01;15;21","00;01;16;02","Coda"
"00;01;16;02","00;01;16;25","site"
"00;01;16;25","00;01;17;17","you can find"
"00;01;17;17","00;01;17;26","our"
"00;01;17;26","00;01;18;18","sortable,"
"00;01;18;18","00;01;19;08","searchable,"
"00;01;19;08","00;01;19;27","interactive,"
"00;01;19;27","00;01;20;15","all"
"00;01;20;16","00;01;20;26","and"
"00;01;20;26","00;01;21;14","growing"
"00;01;21;14","00;01;22;06","database"
"00;01;22;06","00;01;22;12","of"
"00;01;22;12","00;01;22;27","past"
"00;01;22;27","00;01;23;02","and"
"00;01;23;02","00;01;23;19","future"
"00;01;23;19","00;01;23;28","live"
"00;01;23;28","00;01;24;29","streams."
"00;01;25;02","00;01;25;29","And"
"00;01;26;06","00;01;26;18","if nothing"
"00;01;26;18","00;01;26;26","else,"
"00;01;26;26","00;01;27;03","isn't"
"00;01;27;03","00;01;27;19","this"
"00;01;27;19","00;01;27;29","paper"
"00;01;27;29","00;01;28;02","going"
"00;01;28;02","00;01;28;07","to be"
"00;01;28;07","00;01;28;13","about"
"00;01;28;13","00;01;28;27","the past"
"00;01;28;27","00;01;28;29","and"
"00;01;28;29","00;01;29;01","the"
"00;01;29;01","00;01;29;28","future?"
"00;01;30;03","00;01;30;09","And"
"00;01;30;09","00;01;30;12","it's"
"00;01;30;12","00;01;30;21","also"
"00;01;30;21","00;01;30;25","our"
"00;01;30;25","00;01;31;13","last"
"00;01;31;13","00;01;31;26","paper"
"00;01;31;26","00;01;32;11","discussion"
"00;01;32;11","00;01;32;14","that"
"00;01;32;14","00;01;32;19","we're"
"00;01;32;19","00;01;32;29","kicking"
"00;01;32;29","00;01;33;11","off"
"00;01;33;11","00;01;33;26","for"
"00;01;33;26","00;01;34;25","20, 21"
"00;01;34;25","00;01;35;08","in"
"00;01;35;08","00;01;35;16","November"
"00;01;35;16","00;01;36;04","34."
"00;01;36;04","00;01;36;10","So"
"00;01;36;10","00;01;36;18","it's a"
