key	relevance
Technology&Computing>ArtificialIntelligence	1.0
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.7973917126655579
Technology&Computing>Robotics	0.5802086591720581
Technology&Computing>AugmentedReality	0.5132909417152405
Technology&Computing>VirtualReality	0.2591754198074341
Science>Environment	0.24149218201637268
FineArt>DigitalArts	0.1646614819765091
Hobbies&Interests>ParanormalPhenomena	0.145210862159729
BusinessAndFinance>Industries>EnvironmentalServicesIndustry	0.13721120357513428
Science>SpaceAndAstronomy	0.12919412553310394
FineArt>Design	0.12863720953464508
Technology&Computing>Computing>Internet>InternetOfThings	0.12572652101516724
Technology&Computing>Computing>ComputerNetworking	0.11277924478054047
Science	0.10836590081453323
Science>Physics	0.0986560806632042
Religion&Spirituality>Spirituality	0.09742269665002823
Technology&Computing>Computing>DataStorageAndWarehousing	0.09349197149276733
BooksAndLiterature>ArtAndPhotographyBooks	0.09203780442476273
Technology&Computing>Computing>Internet>WebDevelopment	0.08812910318374634
BooksAndLiterature	0.08582832664251328
