"Start Time","End Time","Transcript"
"00;00;03;06","00;00;03;13","Black"
"00;00;03;13","00;00;03;16","and"
"00;00;03;16","00;00;03;26","blue."
"00;00;03;26","00;00;04;02","I'm"
"00;00;04;02","00;00;04;08","about"
"00;00;04;08","00;00;04;11","to"
"00;00;04;11","00;00;04;15","play"
"00;00;04;15","00;00;04;18","the"
"00;00;04;18","00;00;04;23","theme"
"00;00;04;23","00;00;05;11","song"
"00;00;07;25","00;00;08;10","this"
"00;00;33;00","00;00;33;12","Hello"
"00;00;33;12","00;00;33;27","everyone."
"00;00;33;27","00;00;34;09","Welcome"
"00;00;34;09","00;00;34;26","to act"
"00;00;34;26","00;00;35;03","in"
"00;00;35;12","00;00;35;23","live"
"00;00;35;23","00;00;36;09","livestream"
"00;00;36;09","00;00;36;20","number"
"00;00;36;20","00;00;38;14","35.0."
"00;00;38;14","00;00;39;05","It is"
"00;00;39;05","00;00;40;14","January 4th."
"00;00;40;14","00;00;41;16","2022."
"00;00;41;16","00;00;41;23","So"
"00;00;41;23","00;00;42;24","also"
"00;00;42;29","00;00;43;09","happy"
"00;00;43;09","00;00;43;14","New"
"00;00;43;14","00;00;43;29","Year"
"00;00;43;29","00;00;44;05","to"
"00;00;44;05","00;00;45;00","everyone."
"00;00;46;10","00;00;46;20","Welcome"
"00;00;46;20","00;00;47;05","to"
"00;00;47;05","00;00;47;16","the act"
"00;00;47;16","00;00;47;18","and"
"00;00;47;18","00;00;48;06","Flap."
"00;00;48;19","00;00;49;02","We are a"
"00;00;49;02","00;00;49;29","participatory"
"00;00;49;29","00;00;50;13","online"
"00;00;50;13","00;00;50;26","lab"
"00;00;50;26","00;00;51;06","that is"
"00;00;51;06","00;00;51;29","communicating,"
"00;00;51;29","00;00;52;11","learning"
"00;00;52;11","00;00;52;15","and"
"00;00;52;15","00;00;53;04","practicing"
"00;00;53;04","00;00;53;18","applied"
"00;00;53;18","00;00;53;27","active"
"00;00;53;27","00;00;54;23","inference."
"00;00;54;23","00;00;54;28","You"
"00;00;54;28","00;00;55;02","can"
"00;00;55;02","00;00;55;12","find us"
"00;00;55;12","00;00;55;17","at the"
"00;00;55;17","00;00;55;26","links"
"00;00;55;26","00;00;56;01","here"
"00;00;56;01","00;00;56;08","on this"
"00;00;56;08","00;00;56;28","slide."
"00;00;57;19","00;00;58;18","This is a recorded"
"00;00;58;18","00;00;58;23","and"
"00;00;58;23","00;00;59;14","an archived"
"00;00;59;14","00;00;59;24","live"
"00;00;59;24","00;01;00;21","stream"
"00;01;00;21","00;01;00;29","so"
"00;01;00;29","00;01;01;07","please"
"00;01;01;07","00;01;01;16","provide"
"00;01;01;16","00;01;01;18","us"
"00;01;01;18","00;01;02;09","with feedback"
"00;01;02;09","00;01;02;15","so"
"00;01;02;15","00;01;02;19","that"
"00;01;02;19","00;01;02;26","we can"
"00;01;02;26","00;01;03;06","improve"
"00;01;03;06","00;01;03;09","our"
"00;01;03;09","00;01;03;27","work."
"00;01;04;14","00;01;04;21","All"
"00;01;04;21","00;01;05;11","backgrounds"
"00;01;05;11","00;01;05;19","and"
"00;01;05;19","00;01;06;07","perspectives"
"00;01;06;07","00;01;06;19","are"
"00;01;06;19","00;01;07;05","welcome"
"00;01;07;05","00;01;07;10","on"
"00;01;07;10","00;01;07;15","these"
"00;01;07;15","00;01;07;21","live"
"00;01;07;21","00;01;08;10","streams"
"00;01;08;10","00;01;08;17","and"
"00;01;08;17","00;01;08;21","we'll"
