text	entity_type		start	end
January 26, 2023	date		7202	9542
Thomas Ringstrom	person_name		17516	18930
Thomas	person_name		32228	32762
computer science	occupation		45608	46350
PhD student	occupation		46430	47298
University of Minnesota	organization		48040	49570
RL theorist	occupation		388708	389434
agent	occupation		1262988	1263330
agent	occupation		2516668	2516950
operator	occupation		2867804	2868370
agent	occupation		2898232	2898626
artificial intelligence	occupation		3095848	3097086
Daniel	person_name		3159368	3160130
RL	occupation		3205608	3205946
objective reinforcement learning	occupation		3206514	3209062
Terrence Deakin	person_name		3313500	3314790
Terrence Deakin	person_name		3324736	3325862
teleology	occupation		3327870	3328710
thermodynamic	occupation		3329408	3330390
teleodynamics	occupation		3336272	3337746
Teleodynamics	occupation		3348536	3349454
Active Inference Institute	organization		3432788	3434430
active inference theorists	occupation		3440372	3442394
control theory modeling	occupation		3496136	3498094
Nishith Srivastava	person_name		3572166	3574022
decision theory	occupation		3618684	3619414
advisor	occupation		3673712	3674454
Staffel	person_name		3679318	3680038
Stauffel	person_name		3687972	3688554
Stauffel	person_name		3691332	3692350
Australia	location		3694488	3695518
caretaker	occupation		3705288	3706370
staffel	person_name		3714412	3714866
bad	location		3717068	3717426
alcatraz	location		3717458	3718498
staffel	person_name		3719500	3720146
staffel	person_name		3728064	3728726
alcatraz	location		3760978	3761634
Alex Kiefer	person_name		3812476	3813590
mathematics	occupation		3957548	3958194
mathematics	occupation		3978272	3978806
agent	occupation		4233444	4233662
$20	money_amount		4282708	4283374
$20	money_amount		4292328	4293298
dollar bill	money_amount		4304444	4304982
alignment researchers	occupation		4519600	4520810
transition operators	occupation		4532370	4533694
transition operator	occupation		4852862	4853956
operator	occupation		4854478	4854804
computational neuroscience	occupation		4957660	4959412
A-V-E-L	person_name		5235804	5237184
French	nationality		5237878	5238556
Gwen Carlo	person_name		5238748	5240020
philosophy	occupation		5721618	5722436
Aristotle	person_name		5738600	5739824
Deacon	person_name		5765154	5766300
operator	occupation		5794458	5795280
Aristotle	person_name		5992586	5993728
computational neuroscience	occupation		6298430	6300250
computational neuroscience	occupation		6324172	6325538
AI	occupation		6326044	6326422
Dave Douglas	person_name		6369116	6369794
Deacon	person_name		6372332	6372914
galileo	person_name		6373714	6374562
science	occupation		6383152	6383494
Galileo	person_name		6387312	6387974
Newton	person_name		6396260	6396874
Fourier	person_name		6397172	6397754
Galilean	person_name		6408248	6409118
Carnap	person_name		6413512	6414090
science	occupation		6431328	6431926
Bohm	person_name		6438960	6439542
Heisenberg	person_name		6439872	6440806
Powelly	person_name		6442832	6443330
Jung	person_name		6443636	6444202
science	occupation		6451832	6452222
Thomas	person_name		6475116	6475682
