"Start Time","End Time","Transcript"
"00;00;23;18","00;00;23;21","All"
"00;00;23;21","00;00;24;05","right."
"00;00;24;15","00;00;24;26","Hello"
"00;00;24;26","00;00;25;03","and"
"00;00;25;03","00;00;25;16","welcome"
"00;00;25;16","00;00;26;11","everyone"
"00;00;26;11","00;00;27;08","to"
"00;00;27;10","00;00;27;19","Active"
"00;00;27;19","00;00;28;03","Flab"
"00;00;28;03","00;00;28;11","Live"
"00;00;28;11","00;00;28;19","Stream"
"00;00;28;19","00;00;28;28","number"
"00;00;28;28","00;00;30;13","38.1."
"00;00;30;13","00;00;30;20","It's"
"00;00;30;20","00;00;32;24","February 16th,"
"00;00;32;24","00;00;34;20","2022."
"00;00;35;15","00;00;35;28","Welcome"
"00;00;35;28","00;00;36;06","to"
"00;00;36;06","00;00;36;20","the Active"
"00;00;36;20","00;00;37;06","Lab"
"00;00;37;14","00;00;38;23","we are a participatory"
"00;00;38;23","00;00;39;07","online"
"00;00;39;07","00;00;39;20","lab"
"00;00;39;20","00;00;39;29","that is"
"00;00;39;29","00;00;40;23","communicating,"
"00;00;40;23","00;00;41;09","learning"
"00;00;41;09","00;00;41;13","and"
"00;00;41;13","00;00;42;05","practicing"
"00;00;42;05","00;00;42;20","applied"
"00;00;42;20","00;00;43;00","active"
"00;00;43;00","00;00;43;22","inference."
"00;00;43;22","00;00;43;24","You"
"00;00;43;24","00;00;43;29","can"
"00;00;43;29","00;00;44;06","find"
"00;00;44;06","00;00;44;21","us at"
"00;00;44;21","00;00;44;23","the"
"00;00;44;23","00;00;45;02","links"
"00;00;45;02","00;00;45;11","on this"
"00;00;45;11","00;00;45;27","slide"
"00;00;46;28","00;00;48;01","this is a recorded"
"00;00;48;01","00;00;48;07","and"
"00;00;48;07","00;00;48;27","an archived"
"00;00;48;27","00;00;49;03","live"
"00;00;49;03","00;00;49;21","stream."
"00;00;49;24","00;00;50;01","So"
"00;00;50;01","00;00;50;08","please"
"00;00;50;08","00;00;50;17","provide"
"00;00;50;17","00;00;50;20","us"
"00;00;50;20","00;00;51;07","with feedback"
"00;00;51;07","00;00;51;12","so"
"00;00;51;12","00;00;51;16","that"
