docLabel	start	end	count	rank	text
3Symp_2_08	1545128	1822148	3	0.08	agents actions
3Symp_2_08	934088	1437410	4	0.08	other agents
3Symp_2_08	1247682	1248790	1	0.08	information agents
3Symp_2_08	494488	604866	2	0.08	agents beliefs
3Symp_2_08	664828	666360	1	0.07	active inference agents
3Symp_2_08	846252	1586610	3	0.07	individual agents
3Symp_2_08	578110	579398	1	0.07	Different agents
3Symp_2_08	1023028	1691384	2	0.07	agents preferences
3Symp_2_08	1503116	1609574	4	0.07	multiple agents
3Symp_2_08	1552796	1554018	1	0.07	multi agent systems
3Symp_2_08	1732354	1733416	1	0.06	shared potential goals
3Symp_2_08	1787458	1788216	1	0.06	shared retentions
3Symp_2_08	949730	1680180	3	0.06	shared goals
3Symp_2_08	1620138	1621152	1	0.06	goal oriented actions
3Symp_2_08	91916	1733112	7	0.06	shared potential
